Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;16/06/2023;17:45:00;4.826,500;4.839,000;4.826,500;4.829,500;1.324.716.650,00;27.419
WDOFUT;16/06/2023;17:30:00;4.828,000;4.828,000;4.824,000;4.826,500;994.210.085,00;20.602
WDOFUT;16/06/2023;17:15:00;4.829,500;4.830,000;4.826,000;4.828,000;1.242.326.805,00;25.734
WDOFUT;16/06/2023;17:00:00;4.831,500;4.832,000;4.829,000;4.829,500;922.763.110,00;19.105
WDOFUT;16/06/2023;16:45:00;4.829,500;4.833,500;4.828,500;4.832,000;1.569.319.940,00;32.486
WDOFUT;16/06/2023;16:30:00;4.829,000;4.830,500;4.826,000;4.829,500;1.245.929.320,00;25.805
WDOFUT;16/06/2023;16:15:00;4.829,500;4.831,500;4.828,000;4.829,000;2.339.244.325,00;48.435
WDOFUT;16/06/2023;16:00:00;4.825,500;4.829,500;4.825,000;4.829,000;1.771.478.380,00;36.699
WDOFUT;16/06/2023;15:45:00;4.824,000;4.826,500;4.822,500;4.825,500;1.423.699.925,00;29.508
WDOFUT;16/06/2023;15:30:00;4.826,000;4.829,000;4.821,500;4.824,500;3.007.282.990,00;62.320
WDOFUT;16/06/2023;15:15:00;4.835,000;4.835,000;4.825,500;4.826,000;3.068.221.045,00;63.527
WDOFUT;16/06/2023;15:00:00;4.834,000;4.836,500;4.832,500;4.835,000;1.645.808.205,00;34.044
WDOFUT;16/06/2023;14:45:00;4.839,500;4.839,500;4.833,000;4.834,000;2.074.100.235,00;42.883
WDOFUT;16/06/2023;14:30:00;4.839,500;4.843,000;4.837,500;4.839,000;1.529.449.185,00;31.600
WDOFUT;16/06/2023;14:15:00;4.840,500;4.844,500;4.839,000;4.840,000;1.207.606.930,00;24.941
WDOFUT;16/06/2023;14:00:00;4.836,500;4.845,500;4.836,000;4.841,000;2.612.615.880,00;53.969
WDOFUT;16/06/2023;13:45:00;4.847,000;4.850,000;4.835,500;4.837,000;3.689.004.670,00;76.170
WDOFUT;16/06/2023;13:30:00;4.843,500;4.847,000;4.840,500;4.847,000;1.733.135.930,00;35.781
WDOFUT;16/06/2023;13:15:00;4.844,500;4.845,000;4.842,000;4.843,500;1.173.889.555,00;24.237
WDOFUT;16/06/2023;13:00:00;4.843,000;4.848,500;4.842,000;4.844,500;3.020.845.060,00;62.347
WDOFUT;16/06/2023;12:45:00;4.839,500;4.843,500;4.837,500;4.843,000;2.079.926.860,00;42.975
WDOFUT;16/06/2023;12:30:00;4.843,000;4.846,000;4.839,000;4.840,000;2.818.492.265,00;58.204
WDOFUT;16/06/2023;12:15:00;4.838,000;4.844,000;4.832,500;4.842,500;3.226.022.840,00;66.682
WDOFUT;16/06/2023;12:00:00;4.838,500;4.842,000;4.835,500;4.838,000;7.432.770.785,00;153.631
WDOFUT;16/06/2023;11:45:00;4.829,000;4.839,500;4.828,500;4.838,500;8.481.559.710,00;175.448
WDOFUT;16/06/2023;11:30:00;4.831,000;4.833,000;4.824,000;4.828,500;4.607.609.405,00;95.449
WDOFUT;16/06/2023;11:15:00;4.835,000;4.836,000;4.826,500;4.831,000;4.210.828.070,00;87.148
WDOFUT;16/06/2023;11:00:00;4.839,000;4.839,000;4.825,000;4.835,500;9.941.137.520,00;205.751
WDOFUT;16/06/2023;10:45:00;4.844,000;4.846,500;4.834,500;4.839,000;7.097.904.705,00;146.639
WDOFUT;16/06/2023;10:30:00;4.855,000;4.858,500;4.844,000;4.844,500;5.748.842.970,00;118.477
WDOFUT;16/06/2023;10:15:00;4.853,500;4.857,000;4.850,500;4.854,500;4.223.059.770,00;87.008
WDOFUT;16/06/2023;10:00:00;4.842,000;4.861,500;4.841,500;4.853,500;10.367.828.860,00;213.649
WDOFUT;16/06/2023;09:45:00;4.841,000;4.847,500;4.840,500;4.842,500;4.080.727.095,00;84.246
WDOFUT;16/06/2023;09:30:00;4.835,500;4.844,500;4.835,000;4.841,000;5.510.173.430,00;113.829
WDOFUT;16/06/2023;09:15:00;4.833,000;4.841,000;4.831,500;4.835,000;7.413.810.905,00;153.278
WDOFUT;16/06/2023;09:00:00;4.823,500;4.835,000;4.819,500;4.832,500;5.598.606.280,00;115.985
WDOFUT;15/06/2023;17:45:00;4.826,500;4.829,500;4.824,000;4.826,500;1.146.034.855,00;23.741
WDOFUT;15/06/2023;17:30:00;4.819,000;4.828,500;4.817,500;4.826,000;2.084.409.955,00;43.211
WDOFUT;15/06/2023;17:15:00;4.819,500;4.822,000;4.818,500;4.818,500;1.154.127.195,00;23.943
WDOFUT;15/06/2023;17:00:00;4.815,000;4.820,500;4.812,500;4.819,000;1.778.193.695,00;36.917
WDOFUT;15/06/2023;16:45:00;4.814,500;4.816,000;4.814,000;4.815,000;870.709.715,00;18.083
WDOFUT;15/06/2023;16:30:00;4.816,000;4.818,000;4.813,500;4.815,000;1.488.085.200,00;30.901
WDOFUT;15/06/2023;16:15:00;4.814,000;4.817,000;4.813,000;4.815,500;1.350.760.415,00;28.052
WDOFUT;15/06/2023;16:00:00;4.811,000;4.814,500;4.811,000;4.813,500;1.284.703.415,00;26.693
WDOFUT;15/06/2023;15:45:00;4.812,000;4.813,000;4.810,500;4.811,000;1.478.103.335,00;30.720
WDOFUT;15/06/2023;15:30:00;4.818,000;4.818,000;4.809,000;4.812,500;2.719.045.930,00;56.502
WDOFUT;15/06/2023;15:15:00;4.815,000;4.820,000;4.814,000;4.818,000;2.610.952.595,00;54.200
WDOFUT;15/06/2023;15:00:00;4.814,000;4.815,000;4.811,000;4.815,000;1.718.303.480,00;35.701
WDOFUT;15/06/2023;14:45:00;4.816,000;4.817,000;4.813,000;4.814,000;1.856.030.060,00;38.547
WDOFUT;15/06/2023;14:30:00;4.813,500;4.817,500;4.808,500;4.816,500;4.294.641.225,00;89.238
WDOFUT;15/06/2023;14:15:00;4.820,500;4.823,000;4.812,500;4.813,000;3.717.414.675,00;77.178
WDOFUT;15/06/2023;14:00:00;4.820,500;4.823,500;4.817,500;4.820,500;1.678.387.840,00;34.819
WDOFUT;15/06/2023;13:45:00;4.820,500;4.826,000;4.820,000;4.821,000;1.524.774.210,00;31.614
WDOFUT;15/06/2023;13:30:00;4.828,500;4.831,000;4.817,000;4.820,500;5.297.815.875,00;109.796
WDOFUT;15/06/2023;13:15:00;4.825,500;4.830,500;4.825,000;4.828,000;1.805.825.420,00;37.406
WDOFUT;15/06/2023;13:00:00;4.825,500;4.828,500;4.824,500;4.826,000;2.126.536.480,00;44.060
WDOFUT;15/06/2023;12:45:00;4.817,000;4.826,000;4.816,500;4.825,500;2.742.421.600,00;56.863
WDOFUT;15/06/2023;12:30:00;4.821,000;4.824,500;4.815,500;4.817,000;2.572.912.180,00;53.369
WDOFUT;15/06/2023;12:15:00;4.828,000;4.829,000;4.818,000;4.821,000;4.740.890.125,00;98.325
WDOFUT;15/06/2023;12:00:00;4.831,000;4.838,500;4.826,500;4.828,500;5.202.015.625,00;107.667
WDOFUT;15/06/2023;11:45:00;4.834,000;4.836,000;4.829,000;4.830,500;3.095.939.545,00;64.069
WDOFUT;15/06/2023;11:30:00;4.822,500;4.836,000;4.822,000;4.834,000;3.974.016.645,00;82.273
WDOFUT;15/06/2023;11:15:00;4.827,000;4.832,000;4.820,500;4.822,500;4.723.431.120,00;97.874
WDOFUT;15/06/2023;11:00:00;4.833,500;4.838,500;4.822,000;4.827,000;7.595.435.040,00;157.226
WDOFUT;15/06/2023;10:45:00;4.836,500;4.837,500;4.828,500;4.833,500;5.525.196.310,00;114.347
WDOFUT;15/06/2023;10:30:00;4.829,000;4.840,500;4.826,000;4.837,000;6.117.336.290,00;126.548
WDOFUT;15/06/2023;10:15:00;4.849,000;4.850,000;4.823,000;4.829,000;9.198.050.040,00;190.242
WDOFUT;15/06/2023;10:00:00;4.846,000;4.851,500;4.842,000;4.849,000;5.567.593.015,00;114.875
WDOFUT;15/06/2023;09:45:00;4.853,500;4.856,500;4.841,000;4.846,000;6.505.223.265,00;134.166
WDOFUT;15/06/2023;09:30:00;4.849,000;4.858,500;4.842,000;4.853,000;8.293.429.520,00;170.967
WDOFUT;15/06/2023;09:15:00;4.843,500;4.854,500;4.838,500;4.848,500;5.952.138.900,00;122.796
WDOFUT;15/06/2023;09:00:00;4.840,000;4.851,500;4.833,500;4.843,500;7.006.728.300,00;144.682
WDOFUT;14/06/2023;17:45:00;4.817,000;4.832,500;4.816,500;4.832,500;1.835.008.010,00;38.052
WDOFUT;14/06/2023;17:30:00;4.819,000;4.819,500;4.816,500;4.817,000;1.326.843.330,00;27.538
WDOFUT;14/06/2023;17:15:00;4.812,500;4.820,500;4.811,500;4.819,000;2.715.859.925,00;56.394
WDOFUT;14/06/2023;17:00:00;4.824,500;4.825,000;4.811,500;4.812,000;7.291.412.540,00;151.347
WDOFUT;14/06/2023;16:45:00;4.833,500;4.833,500;4.824,000;4.824,500;4.773.564.055,00;98.883
WDOFUT;14/06/2023;16:30:00;4.838,500;4.844,500;4.829,000;4.833,500;5.078.914.160,00;105.038
WDOFUT;14/06/2023;16:15:00;4.857,000;4.860,000;4.828,500;4.839,000;10.990.869.330,00;226.977
WDOFUT;14/06/2023;16:00:00;4.852,500;4.857,000;4.851,000;4.857,000;2.583.469.600,00;53.224
WDOFUT;14/06/2023;15:45:00;4.855,000;4.861,000;4.848,500;4.852,500;7.310.067.865,00;150.607
WDOFUT;14/06/2023;15:30:00;4.878,500;4.882,500;4.855,000;4.855,000;9.336.746.340,00;191.866
WDOFUT;14/06/2023;15:15:00;4.869,000;4.880,500;4.866,000;4.878,500;6.555.154.980,00;134.485
WDOFUT;14/06/2023;15:00:00;4.852,000;4.883,000;4.852,000;4.868,500;15.727.008.280,00;322.896
WDOFUT;14/06/2023;14:45:00;4.858,000;4.859,500;4.852,000;4.852,000;2.477.907.140,00;51.021
WDOFUT;14/06/2023;14:30:00;4.858,500;4.860,000;4.856,500;4.857,500;1.124.759.415,00;23.152
WDOFUT;14/06/2023;14:15:00;4.856,500;4.860,500;4.856,000;4.859,000;2.204.895.600,00;45.383
WDOFUT;14/06/2023;14:00:00;4.856,500;4.859,000;4.854,000;4.856,500;2.791.440.175,00;57.477
WDOFUT;14/06/2023;13:45:00;4.852,500;4.857,000;4.852,000;4.856,000;2.292.854.870,00;47.227
WDOFUT;14/06/2023;13:30:00;4.850,500;4.854,000;4.850,000;4.852,500;2.635.837.930,00;54.326
WDOFUT;14/06/2023;13:15:00;4.855,500;4.856,000;4.847,000;4.850,500;5.075.099.330,00;104.642
WDOFUT;14/06/2023;13:00:00;4.858,500;4.860,000;4.855,500;4.855,500;1.905.578.990,00;39.227
WDOFUT;14/06/2023;12:45:00;4.857,000;4.859,000;4.852,500;4.858,000;2.810.443.635,00;57.879
WDOFUT;14/06/2023;12:30:00;4.857,000;4.860,500;4.855,000;4.856,500;2.313.096.310,00;47.612
WDOFUT;14/06/2023;12:15:00;4.856,500;4.858,500;4.854,500;4.857,500;2.438.744.550,00;50.219
WDOFUT;14/06/2023;12:00:00;4.855,000;4.857,500;4.854,500;4.856,500;2.778.240.615,00;57.215
WDOFUT;14/06/2023;11:45:00;4.859,500;4.860,500;4.854,500;4.855,000;3.347.669.705,00;68.913
WDOFUT;14/06/2023;11:30:00;4.859,000;4.861,000;4.855,500;4.859,500;3.072.230.120,00;63.240
WDOFUT;14/06/2023;11:15:00;4.860,500;4.861,000;4.856,500;4.859,500;4.674.321.035,00;96.200
WDOFUT;14/06/2023;11:00:00;4.863,500;4.866,500;4.860,500;4.861,000;4.260.062.525,00;87.601
WDOFUT;14/06/2023;10:45:00;4.867,000;4.867,000;4.859,500;4.863,500;7.202.197.415,00;148.129
WDOFUT;14/06/2023;10:30:00;4.869,500;4.870,500;4.863,000;4.867,000;4.696.456.780,00;96.530
WDOFUT;14/06/2023;10:15:00;4.868,000;4.872,000;4.865,000;4.869,000;3.633.403.635,00;74.628
WDOFUT;14/06/2023;10:00:00;4.870,500;4.872,000;4.863,000;4.867,500;5.992.681.420,00;123.124
WDOFUT;14/06/2023;09:45:00;4.866,000;4.876,500;4.863,000;4.870,000;6.884.760.350,00;141.363
WDOFUT;14/06/2023;09:30:00;4.871,000;4.873,000;4.864,500;4.865,500;7.296.650.765,00;149.915
WDOFUT;14/06/2023;09:15:00;4.870,500;4.872,000;4.866,000;4.870,500;4.177.688.385,00;85.814
WDOFUT;14/06/2023;09:00:00;4.875,000;4.878,500;4.867,500;4.870,500;5.613.149.730,00;115.194
WDOFUT;13/06/2023;17:45:00;4.881,000;4.883,500;4.878,500;4.880,000;1.052.689.175,00;21.566
WDOFUT;13/06/2023;17:30:00;4.880,000;4.883,500;4.879,000;4.881,000;1.589.002.905,00;32.552
