Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PETR4;19/11/2021;10:30:00;11,45;11,54;11,43;11,54;73.533.078,00;2.834.600
PETR4;19/11/2021;10:00:00;11,57;11,63;11,43;11,45;203.050.005,00;7.831.600
PETR4;18/11/2021;17:30:00;11,81;11,81;11,71;11,76;246.845.744,00;9.311.400
PETR4;18/11/2021;17:00:00;11,77;11,82;11,75;11,81;88.089.821,00;3.313.700
PETR4;18/11/2021;16:30:00;11,72;11,78;11,70;11,77;67.875.706,00;2.565.400
PETR4;18/11/2021;16:00:00;11,73;11,75;11,71;11,72;113.822.494,00;4.301.900
PETR4;18/11/2021;15:30:00;11,70;11,77;11,70;11,74;98.055.855,00;3.702.400
PETR4;18/11/2021;15:00:00;11,64;11,72;11,60;11,70;116.218.539,00;4.419.700
PETR4;18/11/2021;14:30:00;11,70;11,71;11,64;11,64;76.083.076,00;2.887.000
PETR4;18/11/2021;14:00:00;11,61;11,70;11,61;11,70;178.415.820,00;6.772.700
PETR4;18/11/2021;13:30:00;11,61;11,66;11,60;11,61;65.035.656,00;2.478.200
PETR4;18/11/2021;13:00:00;11,61;11,62;11,58;11,61;62.767.817,00;2.397.600
PETR4;18/11/2021;12:30:00;11,62;11,67;11,59;11,61;58.820.474,00;2.242.100
PETR4;18/11/2021;12:00:00;11,68;11,68;11,55;11,62;149.624.470,00;5.713.400
PETR4;18/11/2021;11:30:00;11,74;11,77;11,68;11,68;130.936.504,00;4.945.500
PETR4;18/11/2021;11:00:00;11,74;11,75;11,69;11,74;67.072.009,00;2.537.100
PETR4;18/11/2021;10:30:00;11,70;11,81;11,70;11,74;103.886.069,00;3.919.400
PETR4;18/11/2021;10:00:00;11,83;11,86;11,67;11,71;65.974.259,00;2.485.500
PETR4;17/11/2021;17:30:00;11,81;11,81;11,74;11,78;299.566.798,00;11.276.300
PETR4;17/11/2021;17:00:00;11,85;11,87;11,76;11,81;131.341.730,00;4.931.500
PETR4;17/11/2021;16:30:00;11,88;11,92;11,84;11,85;109.603.889,00;4.089.200
PETR4;17/11/2021;16:00:00;11,90;11,92;11,87;11,88;169.559.932,00;6.321.200
PETR4;17/11/2021;15:30:00;11,88;11,94;11,88;11,91;88.279.088,00;3.287.600
PETR4;17/11/2021;15:00:00;12,03;12,04;11,87;11,88;512.254.471,00;19.022.000
PETR4;17/11/2021;14:30:00;12,11;12,12;12,03;12,04;61.999.022,00;2.278.200
PETR4;17/11/2021;14:00:00;12,07;12,13;12,06;12,11;110.104.116,00;4.036.700
PETR4;17/11/2021;13:30:00;12,06;12,08;12,03;12,07;117.798.439,00;4.330.300
PETR4;17/11/2021;13:00:00;12,14;12,15;12,05;12,06;104.056.480,00;3.807.200
PETR4;17/11/2021;12:30:00;12,07;12,15;12,07;12,14;47.262.854,00;1.728.000
PETR4;17/11/2021;12:00:00;12,10;12,15;12,05;12,07;47.815.223,00;1.752.300
PETR4;17/11/2021;11:30:00;12,10;12,16;12,07;12,10;91.869.989,00;3.361.200
PETR4;17/11/2021;11:00:00;11,99;12,11;11,96;12,11;100.106.836,00;3.688.400
PETR4;17/11/2021;10:30:00;12,14;12,14;11,93;11,99;160.263.186,00;5.899.000
PETR4;17/11/2021;10:00:00;12,14;12,16;12,08;12,14;62.851.966,00;2.297.700
PETR4;16/11/2021;17:30:00;12,06;12,12;12,06;12,09;156.016.179,00;5.718.800
PETR4;16/11/2021;17:00:00;12,07;12,09;12,04;12,07;74.359.341,00;2.732.400
PETR4;16/11/2021;16:30:00;12,13;12,13;12,05;12,07;122.659.697,00;4.497.600
PETR4;16/11/2021;16:00:00;12,15;12,15;12,08;12,13;70.945.242,00;2.595.800
PETR4;16/11/2021;15:30:00;12,16;12,19;12,15;12,15;85.022.229,00;3.096.100
PETR4;16/11/2021;15:00:00;12,08;12,18;12,08;12,17;106.495.973,00;3.892.500
PETR4;16/11/2021;14:30:00;12,04;12,09;12,04;12,08;62.448.032,00;2.294.300
