Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PETR4;23/06/2023;31,20;31,28;29,89;30,16;2.303.505.134,00;75.657.400
PETR4;22/06/2023;31,46;31,69;31,08;31,45;1.344.642.861,00;42.910.400
PETR4;21/06/2023;30,93;32,00;30,85;31,85;2.808.701.400,00;88.870.500
PETR4;20/06/2023;30,30;30,75;29,90;30,57;1.685.415.820,00;55.465.600
PETR4;19/06/2023;29,63;30,46;29,55;30,42;1.039.905.112,00;34.453.100
PETR4;16/06/2023;29,23;29,92;29,04;29,64;2.792.423.019,00;94.337.700
PETR4;15/06/2023;30,20;30,85;29,28;29,39;3.613.785.846,00;120.304.000
PETR4;14/06/2023;28,94;30,10;28,88;30,10;2.910.194.078,00;97.889.200
PETR4;13/06/2023;29,24;29,24;28,59;28,86;2.275.128.675,00;78.942.800
PETR4;12/06/2023;28,46;29,19;28,29;29,02;3.623.622.670,00;118.828.100
PETR4;09/06/2023;27,41;28,62;27,33;28,52;2.372.999.385,00;79.437.600
PETR4;07/06/2023;26,98;27,37;26,78;27,19;2.356.196.933,00;81.813.300
PETR4;06/06/2023;25,85;26,61;25,63;26,42;2.094.047.099,00;75.238.300
PETR4;05/06/2023;25,94;25,96;25,65;25,87;1.069.117.521,00;39.007.800
PETR4;02/06/2023;25,83;25,99;25,53;25,60;1.084.281.744,00;39.684.100
PETR4;01/06/2023;24,77;25,43;24,64;25,39;1.685.614.933,00;62.971.000
PETR4;31/05/2023;24,74;24,83;24,36;24,60;1.278.785.941,00;48.878.300
PETR4;30/05/2023;25,16;25,24;24,73;24,85;1.207.755.878,00;45.649.600
PETR4;29/05/2023;25,19;25,26;25,01;25,14;478.089.194,00;17.917.700
PETR4;26/05/2023;25,25;25,34;24,99;25,24;1.064.973.578,00;39.809.900
PETR4;25/05/2023;25,24;25,28;24,67;24,91;1.300.108.799,00;49.026.400
PETR4;24/05/2023;24,72;25,33;24,53;25,10;1.449.068.760,00;54.639.300
PETR4;23/05/2023;24,16;24,89;24,03;24,72;1.521.780.980,00;58.129.100
PETR4;22/05/2023;24,37;24,50;24,02;24,13;969.642.783,00;37.756.200
PETR4;19/05/2023;24,56;24,66;24,15;24,41;1.759.228.673,00;67.865.900
PETR4;18/05/2023;24,10;24,35;23,87;24,31;1.606.999.268,00;62.821.200
PETR4;17/05/2023;25,05;25,20;24,03;24,17;2.770.243.434,00;106.826.400
PETR4;16/05/2023;24,59;25,46;24,56;24,77;3.107.625.458,00;117.199.600
PETR4;15/05/2023;24,54;24,63;23,92;24,17;2.101.107.748,00;81.864.400
PETR4;12/05/2023;24,09;25,18;24,00;24,72;3.064.683.973,00;117.050.200
PETR4;11/05/2023;22,73;24,00;22,54;23,95;3.368.146.582,00;136.305.900
PETR4;10/05/2023;23,16;23,38;22,91;23,10;1.015.713.795,00;41.346.300
PETR4;09/05/2023;22,99;23,36;22,83;23,16;828.083.729,00;33.712.700
PETR4;08/05/2023;23,03;23,20;22,80;23,08;1.447.506.496,00;59.179.200
PETR4;05/05/2023;21,94;22,76;21,83;22,60;1.974.553.100,00;83.124.700
PETR4;04/05/2023;21,56;22,02;21,29;21,68;1.328.759.007,00;57.772.200
PETR4;03/05/2023;21,28;21,65;21,12;21,34;1.158.314.858,00;50.965.500
PETR4;02/05/2023;22,32;22,36;21,32;21,42;1.549.208.707,00;67.556.900
PETR4;28/04/2023;22,23;22,65;21,80;22,32;1.910.841.035,00;80.808.800
PETR4;27/04/2023;22,54;22,82;21,75;21,91;3.039.092.727,00;115.096.700
PETR4;26/04/2023;22,77;22,85;22,46;22,46;1.072.842.274,00;39.876.900
PETR4;25/04/2023;22,80;23,09;22,43;22,74;1.452.172.580,00;53.637.900
PETR4;24/04/2023;22,33;22,89;22,25;22,84;1.180.887.094,00;43.700.900
PETR4;20/04/2023;22,26;22,65;22,07;22,41;1.449.266.611,00;54.299.300
PETR4;19/04/2023;22,80;22,93;22,21;22,26;1.954.409.118,00;72.888.000
PETR4;18/04/2023;22,42;23,19;22,26;22,99;2.704.676.134,00;99.279.800
PETR4;17/04/2023;22,03;22,50;22,00;22,42;1.312.177.524,00;49.274.600
PETR4;14/04/2023;21,66;22,16;21,59;22,08;1.000.067.368,00;38.187.200
PETR4;13/04/2023;21,70;21,90;21,66;21,85;1.006.116.847,00;38.751.300
PETR4;12/04/2023;21,81;21,95;21,14;21,70;1.842.476.095,00;71.451.500
PETR4;11/04/2023;20,74;21,58;20,68;21,54;2.028.490.050,00;80.224.100
PETR4;10/04/2023;20,17;20,70;20,17;20,58;1.011.658.573,00;41.395.800
PETR4;06/04/2023;20,43;20,50;20,11;20,15;709.029.538,00;29.352.000
PETR4;05/04/2023;20,31;20,59;19,54;20,44;2.237.385.795,00;93.476.800
PETR4;04/04/2023;20,68;20,79;20,23;20,38;1.396.666.691,00;57.318.200
PETR4;03/04/2023;20,22;20,57;19,98;20,56;1.780.459.092,00;73.531.900
PETR4;31/03/2023;20,15;20,33;19,49;19,69;1.405.262.548,00;59.386.300
PETR4;30/03/2023;20,36;20,38;19,88;20,12;1.338.084.263,00;55.943.100
PETR4;29/03/2023;19,91;20,18;19,70;20,06;1.163.485.213,00;48.955.700
PETR4;28/03/2023;19,49;19,85;19,44;19,80;677.127.092,00;28.872.900
PETR4;27/03/2023;19,40;19,61;19,17;19,46;901.697.769,00;39.018.600
PETR4;24/03/2023;19,07;19,42;18,87;19,13;1.185.477.902,00;51.892.700
PETR4;23/03/2023;19,62;19,87;18,97;19,14;1.714.587.167,00;74.319.100
PETR4;22/03/2023;19,64;19,83;19,34;19,59;1.082.809.641,00;46.384.300
PETR4;21/03/2023;19,48;19,81;19,38;19,65;1.013.618.367,00;43.298.700
PETR4;20/03/2023;19,74;19,85;19,22;19,25;1.323.513.561,00;57.210.500
PETR4;17/03/2023;19,39;19,74;19,19;19,74;2.138.881.228,00;91.793.300
PETR4;16/03/2023;19,65;19,75;19,28;19,53;1.550.204.149,00;66.604.800
PETR4;15/03/2023;19,59;19,71;19,14;19,59;2.160.697.569,00;93.298.100
PETR4;14/03/2023;20,38;20,76;19,81;19,95;1.412.968.888,00;58.543.000
PETR4;13/03/2023;20,61;20,87;20,23;20,31;1.424.758.478,00;58.323.200
PETR4;10/03/2023;21,12;21,48;20,94;20,97;1.212.555.050,00;48.118.600
PETR4;09/03/2023;21,28;22,02;21,22;21,25;1.749.948.409,00;68.042.300
PETR4;08/03/2023;21,11;21,76;21,10;21,34;1.687.083.219,00;66.220.400
PETR4;07/03/2023;21,59;21,64;20,93;21,07;1.496.308.556,00;59.052.500
PETR4;06/03/2023;21,58;21,93;21,30;21,79;1.296.620.675,00;50.227.400
PETR4;03/03/2023;20,85;21,61;20,53;21,58;2.204.375.636,00;87.591.800
PETR4;02/03/2023;21,34;21,55;20,46;20,69;3.106.793.934,00;124.516.200
PETR4;01/03/2023;21,25;21,35;20,31;21,24;2.706.572.490,00;109.257.700
PETR4;28/02/2023;22,00;22,60;21,19;21,19;3.376.106.071,00;130.248.100
PETR4;27/02/2023;21,69;22,45;21,67;21,95;2.007.274.822,00;76.250.600
PETR4;24/02/2023;22,39;22,42;21,72;21,80;1.686.877.161,00;64.409.100
PETR4;23/02/2023;21,63;22,49;21,63;22,29;1.955.748.410,00;73.913.400
PETR4;22/02/2023;21,83;21,92;21,57;21,63;999.503.130,00;38.608.500
PETR4;17/02/2023;22,39;22,39;22,14;22,20;1.602.198.768,00;60.410.000
PETR4;16/02/2023;22,33;22,63;22,24;22,54;1.181.417.100,00;44.115.700
PETR4;15/02/2023;22,31;22,50;22,08;22,45;1.928.390.264,00;72.554.100
PETR4;14/02/2023;22,54;22,72;22,33;22,42;959.047.958,00;35.839.000
PETR4;13/02/2023;22,41;22,58;22,14;22,50;979.796.100,00;36.726.900
PETR4;10/02/2023;21,81;22,49;21,77;22,43;1.449.099.743,00;54.683.100
PETR4;09/02/2023;21,87;22,10;21,65;21,77;995.071.465,00;38.198.300
PETR4;08/02/2023;21,66;21,95;21,46;21,87;1.259.356.320,00;48.713.100
PETR4;07/02/2023;21,75;21,95;21,37;21,51;1.424.289.543,00;55.311.800
PETR4;06/02/2023;20,88;21,72;20,78;21,64;2.101.484.086,00;82.794.500
PETR4;03/02/2023;20,60;21,31;20,50;20,81;1.773.597.709,00;71.170.700
PETR4;02/02/2023;21,42;21,67;20,50;20,59;2.094.980.971,00;83.823.000
PETR4;01/02/2023;21,89;22,23;21,37;21,58;1.459.080.103,00;56.349.200
PETR4;31/01/2023;21,52;22,00;21,42;21,89;1.400.646.729,00;54.048.900
PETR4;30/01/2023;21,70;21,89;21,42;21,62;1.046.885.235,00;40.683.200
PETR4;27/01/2023;21,98;22,02;21,36;21,51;1.226.536.934,00;47.681.900
PETR4;26/01/2023;22,74;22,84;21,66;22,00;1.929.306.254,00;73.344.800
PETR4;25/01/2023;22,29;22,73;21,84;22,62;1.379.936.536,00;51.832.900
PETR4;24/01/2023;23,06;23,11;22,14;22,33;1.762.789.702,00;65.794.000
PETR4;23/01/2023;22,05;23,17;21,94;22,49;2.374.021.553,00;87.678.100
PETR4;20/01/2023;21,74;22,33;21,34;22,14;2.956.228.140,00;113.606.800
PETR4;19/01/2023;20,99;21,79;20,81;21,69;1.931.117.754,00;75.553.300
PETR4;18/01/2023;21,69;21,85;20,99;21,05;1.776.941.608,00;69.692.900
PETR4;17/01/2023;20,24;21,51;20,24;21,42;2.298.146.813,00;91.797.500
PETR4;16/01/2023;20,49;20,57;20,01;20,18;770.044.022,00;31.973.700
PETR4;13/01/2023;20,52;20,70;20,36;20,63;978.930.247,00;40.002.700
PETR4;12/01/2023;20,39;20,69;20,24;20,68;1.421.123.989,00;58.130.000
PETR4;11/01/2023;20,27;20,67;20,19;20,38;1.301.372.166,00;53.536.500
PETR4;10/01/2023;20,11;20,24;19,62;20,22;1.254.871.900,00;52.741.100
PETR4;09/01/2023;19,73;20,15;19,52;20,04;1.102.685.057,00;46.385.200
PETR4;06/01/2023;20,10;20,42;19,77;19,93;1.236.647.287,00;51.851.500
PETR4;05/01/2023;19,59;20,18;19,44;20,05;1.748.887.039,00;73.886.000
PETR4;04/01/2023;18,44;19,81;18,33;19,35;2.964.416.659,00;129.504.000
PETR4;03/01/2023;19,26;19,39;18,58;18,76;2.170.654.516,00;96.750.300
PETR4;02/01/2023;19,76;19,99;19,14;19,24;1.811.378.585,00;78.424.700
PETR4;29/12/2022;20,98;21,03;20,51;20,57;1.424.781.558,00;57.901.800
PETR4;28/12/2022;21,07;21,26;20,78;20,82;1.432.443.649,00;57.293.500
PETR4;27/12/2022;21,20;21,25;20,61;21,08;1.264.727.125,00;50.803.200
PETR4;26/12/2022;21,09;21,24;20,84;20,94;717.904.245,00;28.765.200
PETR4;23/12/2022;20,26;21,17;20,26;21,09;1.698.359.927,00;68.387.900
PETR4;22/12/2022;20,06;20,62;19,90;20,14;1.967.333.040,00;81.894.800
PETR4;21/12/2022;19,73;19,91;19,18;19,79;1.731.624.885,00;74.252.800
PETR4;20/12/2022;18,80;19,51;18,65;19,37;1.640.599.685,00;71.875.500
PETR4;19/12/2022;18,55;18,90;18,17;18,79;1.398.740.069,00;63.074.100
PETR4;16/12/2022;18,44;18,56;18,06;18,51;1.963.774.168,00;89.835.200
PETR4;15/12/2022;17,63;18,78;17,49;18,50;2.889.938.489,00;132.385.600
PETR4;14/12/2022;18,89;18,97;17,44;18,02;6.883.232.755,00;319.501.600
PETR4;13/12/2022;20,23;20,32;19,57;19,58;2.425.630.074,00;102.533.100
PETR4;12/12/2022;20,64;20,70;19,42;20,07;2.635.974.882,00;111.293.100
PETR4;09/12/2022;20,98;21,03;20,56;20,74;1.524.037.252,00;61.586.200
PETR4;08/12/2022;21,45;21,65;20,69;20,80;1.396.779.996,00;55.567.700
PETR4;07/12/2022;21,27;21,89;21,21;21,28;1.464.944.133,00;57.008.400
PETR4;06/12/2022;21,68;22,16;21,34;21,53;1.933.716.630,00;74.991.200
PETR4;05/12/2022;21,83;22,31;21,45;21,51;1.455.305.478,00;56.065.400
PETR4;02/12/2022;21,57;22,21;21,25;21,75;1.721.239.111,00;66.301.000
PETR4;01/12/2022;22,31;22,49;21,46;21,48;1.851.482.504,00;71.259.400
PETR4;30/11/2022;21,49;22,38;21,41;22,38;3.171.010.728,00;120.774.700
PETR4;29/11/2022;20,65;21,73;20,55;21,31;2.438.443.091,00;96.151.500
PETR4;28/11/2022;19,85;20,61;19,76;20,45;1.357.814.395,00;56.067.400
PETR4;25/11/2022;20,37;20,43;19,81;20,03;1.401.747.461,00;58.635.900
PETR4;24/11/2022;19,75;20,68;19,52;20,36;2.273.647.692,00;94.233.800
PETR4;23/11/2022;19,31;19,85;19,14;19,68;1.804.180.111,00;77.317.300
PETR4;22/11/2022;19,31;19,67;18,72;19,59;3.753.607.383,00;164.261.300
PETR4;21/11/2022;20,00;20,33;19,21;19,75;4.413.911.390,00;164.898.100
PETR4;18/11/2022;20,20;20,35;19,33;19,69;3.388.356.008,00;127.175.600
PETR4;17/11/2022;19,91;20,13;19,58;20,03;2.730.715.922,00;101.525.800
PETR4;16/11/2022;20,51;20,73;19,86;20,02;2.338.592.070,00;85.549.900
PETR4;14/11/2022;20,10;20,78;19,97;20,42;1.848.709.716,00;66.639.500
PETR4;11/11/2022;19,02;20,17;18,95;19,90;3.863.818.494,00;146.365.800
