Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;22/04/2021;11:45:00;6.432,142;6.435,068;6.431,557;6.433,898;712.985.050,00;12.969
WDOFUT;22/04/2021;11:40:00;6.427,461;6.432,727;6.425,706;6.432,142;1.950.244.030,00;35.493
WDOFUT;22/04/2021;11:35:00;6.420,440;6.428,046;6.418,685;6.428,046;2.159.642.390,00;39.335
WDOFUT;22/04/2021;11:30:00;6.436,823;6.437,993;6.415,174;6.419,855;4.423.135.895,00;80.576
WDOFUT;22/04/2021;11:25:00;6.440,334;6.440,334;6.433,898;6.437,408;1.529.883.655,00;27.816
WDOFUT;22/04/2021;11:20:00;6.426,291;6.442,089;6.424,536;6.440,334;2.261.506.380,00;41.135
WDOFUT;22/04/2021;11:15:00;6.431,557;6.436,823;6.425,706;6.426,291;2.332.190.265,00;42.431
WDOFUT;22/04/2021;11:10:00;6.430,972;6.433,312;6.422,195;6.432,142;2.648.371.835,00;48.220
WDOFUT;22/04/2021;11:05:00;6.440,334;6.444,430;6.427,461;6.431,557;2.975.904.090,00;54.119
WDOFUT;22/04/2021;11:00:00;6.437,408;6.442,674;6.434,483;6.440,334;2.161.839.835,00;39.291
WDOFUT;22/04/2021;10:55:00;6.443,844;6.445,015;6.431,557;6.436,823;2.535.757.450,00;46.095
WDOFUT;22/04/2021;10:50:00;6.434,483;6.445,600;6.431,557;6.443,844;3.252.880.450,00;59.113
WDOFUT;22/04/2021;10:45:00;6.425,706;6.436,238;6.422,780;6.435,068;2.440.551.850,00;44.417
WDOFUT;22/04/2021;10:40:00;6.433,898;6.433,898;6.422,195;6.425,706;3.186.467.400,00;58.015
WDOFUT;22/04/2021;10:35:00;6.432,727;6.439,749;6.429,217;6.433,312;2.630.733.825,00;47.836
WDOFUT;22/04/2021;10:30:00;6.431,557;6.436,238;6.428,632;6.432,727;3.369.940.535,00;61.305
WDOFUT;22/04/2021;10:25:00;6.426,876;6.433,898;6.425,121;6.432,142;1.918.184.090,00;34.912
WDOFUT;22/04/2021;10:20:00;6.428,046;6.429,217;6.422,780;6.426,876;1.674.035.885,00;30.488
WDOFUT;22/04/2021;10:15:00;6.430,387;6.432,142;6.423,951;6.428,046;1.650.851.355,00;30.056
WDOFUT;22/04/2021;10:10:00;6.426,291;6.432,727;6.423,366;6.429,802;2.025.259.130,00;36.867
WDOFUT;22/04/2021;10:05:00;6.422,780;6.431,557;6.421,025;6.426,876;2.105.382.875,00;38.334
WDOFUT;22/04/2021;10:00:00;6.427,461;6.429,217;6.421,610;6.423,366;2.665.773.740,00;48.551
WDOFUT;22/04/2021;09:55:00;6.429,217;6.437,408;6.425,121;6.426,876;3.327.769.715,00;60.556
WDOFUT;22/04/2021;09:50:00;6.426,876;6.435,068;6.424,536;6.429,217;4.156.253.780,00;75.636
WDOFUT;22/04/2021;09:45:00;6.432,142;6.433,312;6.418,100;6.426,876;5.719.703.265,00;104.170
WDOFUT;22/04/2021;09:40:00;6.459,642;6.460,813;6.430,972;6.432,727;6.048.520.225,00;109.860
WDOFUT;22/04/2021;09:35:00;6.448,525;6.460,813;6.447,940;6.459,642;2.751.325.550,00;49.896
WDOFUT;22/04/2021;09:30:00;6.465,494;6.469,589;6.448,525;6.449,110;4.260.745.050,00;77.212
WDOFUT;22/04/2021;09:25:00;6.462,568;6.467,249;6.457,302;6.464,909;2.633.192.330,00;47.691
WDOFUT;22/04/2021;09:20:00;6.467,249;6.468,419;6.459,642;6.461,983;3.526.669.775,00;63.849
WDOFUT;22/04/2021;09:15:00;6.469,004;6.479,536;6.464,909;6.467,249;3.691.846.075,00;66.743
WDOFUT;22/04/2021;09:10:00;6.473,100;6.478,951;6.466,079;6.469,004;3.456.290.770,00;62.503
WDOFUT;22/04/2021;09:05:00;6.485,387;6.488,313;6.471,345;6.473,100;4.523.250.840,00;81.700
WDOFUT;22/04/2021;09:00:00;6.504,111;6.510,547;6.483,047;6.485,387;4.241.975.395,00;76.397
WDOFUT;20/04/2021;17:55:00;6.518,739;6.524,005;6.515,813;6.521,079;526.324.460,00;9.448
WDOFUT;20/04/2021;17:50:00;6.519,324;6.524,590;6.515,813;6.518,154;801.996.470,00;14.394
WDOFUT;20/04/2021;17:45:00;6.517,569;6.522,835;6.516,398;6.519,324;708.311.350,00;12.715
WDOFUT;20/04/2021;17:40:00;6.513,473;6.519,324;6.512,303;6.517,569;700.063.445,00;12.572
WDOFUT;20/04/2021;17:35:00;6.509,962;6.515,228;6.507,037;6.513,473;468.372.745,00;8.418
WDOFUT;20/04/2021;17:30:00;6.508,207;6.511,718;6.505,281;6.509,962;555.879.145,00;9.995
WDOFUT;20/04/2021;17:25:00;6.510,547;6.512,888;6.507,037;6.507,622;558.065.390,00;10.031
WDOFUT;20/04/2021;17:20:00;6.511,132;6.513,473;6.509,962;6.509,962;359.231.980,00;6.456
WDOFUT;20/04/2021;17:15:00;6.510,547;6.513,473;6.504,111;6.511,132;809.005.930,00;14.544
WDOFUT;20/04/2021;17:10:00;6.509,962;6.515,813;6.509,377;6.510,547;744.927.170,00;13.385
WDOFUT;20/04/2021;17:05:00;6.507,037;6.516,984;6.504,696;6.510,547;1.897.227.930,00;34.096
WDOFUT;20/04/2021;17:00:00;6.497,090;6.511,718;6.494,749;6.507,037;1.314.897.560,00;23.655
WDOFUT;20/04/2021;16:55:00;6.501,185;6.508,792;6.495,334;6.496,505;1.361.588.560,00;24.503
WDOFUT;20/04/2021;16:50:00;6.498,845;6.504,696;6.498,260;6.501,771;588.063.825,00;10.585
WDOFUT;20/04/2021;16:45:00;6.500,015;6.502,941;6.492,994;6.498,845;1.372.357.120,00;24.718
WDOFUT;20/04/2021;16:40:00;6.502,941;6.506,451;6.498,845;6.500,600;1.116.358.175,00;20.093
WDOFUT;20/04/2021;16:35:00;6.504,696;6.508,792;6.502,356;6.502,941;595.987.440,00;10.721
WDOFUT;20/04/2021;16:30:00;6.507,037;6.509,962;6.503,526;6.504,696;630.839.625,00;11.346
WDOFUT;20/04/2021;16:25:00;6.505,281;6.511,718;6.504,696;6.507,622;778.066.380,00;13.989
WDOFUT;20/04/2021;16:20:00;6.513,473;6.516,984;6.504,696;6.505,866;1.082.886.240,00;19.465
WDOFUT;20/04/2021;16:15:00;6.508,792;6.522,835;6.508,792;6.513,473;1.954.938.295,00;35.106
WDOFUT;20/04/2021;16:10:00;6.509,962;6.510,547;6.501,771;6.509,377;1.110.283.280,00;19.969
WDOFUT;20/04/2021;16:05:00;6.501,771;6.511,718;6.500,600;6.509,962;1.099.178.685,00;19.768
WDOFUT;20/04/2021;16:00:00;6.509,962;6.514,058;6.500,600;6.501,771;1.553.030.555,00;27.930
WDOFUT;20/04/2021;15:55:00;6.513,473;6.515,228;6.507,037;6.509,962;1.553.988.855,00;27.928
WDOFUT;20/04/2021;15:50:00;6.511,132;6.515,813;6.505,866;6.512,888;2.084.148.305,00;37.461
WDOFUT;20/04/2021;15:45:00;6.502,941;6.516,398;6.498,845;6.511,132;3.659.685.590,00;65.801
WDOFUT;20/04/2021;15:40:00;6.494,164;6.502,941;6.494,164;6.502,941;2.646.933.490,00;47.659
WDOFUT;20/04/2021;15:35:00;6.488,898;6.498,845;6.488,898;6.494,749;1.659.114.775,00;29.900
WDOFUT;20/04/2021;15:30:00;6.483,047;6.492,409;6.481,292;6.488,898;1.492.514.730,00;26.922
WDOFUT;20/04/2021;15:25:00;6.481,877;6.486,558;6.478,951;6.482,462;1.293.687.680,00;23.354
WDOFUT;20/04/2021;15:20:00;6.480,121;6.484,217;6.472,515;6.481,877;2.332.285.630,00;42.131
WDOFUT;20/04/2021;15:15:00;6.492,409;6.492,409;6.479,536;6.480,121;1.663.073.400,00;30.002
WDOFUT;20/04/2021;15:10:00;6.481,292;6.494,164;6.480,707;6.491,824;2.653.566.635,00;47.857
WDOFUT;20/04/2021;15:05:00;6.481,292;6.483,047;6.479,536;6.481,292;836.950.215,00;15.112
WDOFUT;20/04/2021;15:00:00;6.474,270;6.483,047;6.474,270;6.481,292;1.768.985.010,00;31.947
