Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;16/06/2023;4.823,500;4.861,500;4.819,500;4.829,500;130.434.949.695,00;2.696.011
WDOFUT;15/06/2023;4.840,000;4.858,500;4.808,500;4.826,500;130.797.613.090,00;2.707.611
WDOFUT;14/06/2023;4.875,000;4.883,000;4.811,500;4.832,500;167.225.088.840,00;3.443.338
WDOFUT;13/06/2023;4.885,000;4.896,500;4.865,000;4.880,000;131.728.660.505,00;2.701.754
WDOFUT;12/06/2023;4.901,500;4.919,500;4.880,500;4.881,000;119.516.371.365,00;2.440.536
WDOFUT;09/06/2023;4.936,000;4.948,500;4.875,500;4.898,000;119.363.398.900,00;2.431.030
WDOFUT;07/06/2023;4.930,000;4.954,500;4.922,500;4.952,000;139.396.821.205,00;2.823.458
WDOFUT;06/06/2023;4.956,500;4.979,000;4.923,000;4.935,000;136.731.598.610,00;2.763.419
WDOFUT;05/06/2023;5.000,000;5.001,000;4.936,500;4.958,000;135.283.452.670,00;2.729.965
WDOFUT;02/06/2023;5.030,000;5.031,000;4.972,000;4.985,000;139.507.985.095,00;2.794.849
WDOFUT;01/06/2023;5.067,000;5.086,000;5.032,000;5.044,000;153.077.438.585,00;3.025.740
WDOFUT;31/05/2023;5.085,000;5.156,000;5.080,000;5.083,000;204.718.555.755,00;4.003.403
WDOFUT;30/05/2023;5.035,843;5.097,157;5.027,801;5.066,500;148.027.685.490,00;2.931.988
WDOFUT;29/05/2023;5.030,817;5.049,915;5.002,672;5.048,407;85.686.334.910,00;1.713.161
WDOFUT;26/05/2023;5.046,397;5.061,977;5.008,201;5.027,801;146.029.885.785,00;2.915.301
WDOFUT;25/05/2023;4.984,077;5.075,044;4.975,031;5.067,505;182.854.685.450,00;3.650.636
WDOFUT;24/05/2023;4.996,642;4.997,144;4.966,989;4.991,616;116.756.580.050,00;2.356.301
WDOFUT;23/05/2023;5.014,734;5.028,807;4.984,077;5.006,693;135.784.222.655,00;2.727.030
WDOFUT;22/05/2023;5.035,340;5.041,874;4.988,600;5.004,180;119.386.321.170,00;2.396.368
WDOFUT;19/05/2023;4.991,113;5.041,371;4.982,067;5.035,843;158.447.967.085,00;3.172.258
WDOFUT;18/05/2023;4.989,103;5.020,263;4.987,093;5.005,688;133.863.526.100,00;2.688.254
WDOFUT;17/05/2023;4.980,559;5.010,211;4.960,958;4.978,549;152.186.057.780,00;3.068.747
WDOFUT;16/05/2023;4.934,322;4.994,129;4.926,783;4.980,559;160.824.270.540,00;3.260.559
WDOFUT;15/05/2023;4.963,471;4.974,528;4.927,286;4.935,829;130.066.556.490,00;2.640.870
WDOFUT;12/05/2023;4.978,549;5.000,662;4.949,902;4.964,979;130.816.150.815,00;2.644.096
WDOFUT;11/05/2023;5.002,672;5.030,314;4.971,513;4.977,543;145.670.622.545,00;2.925.054
WDOFUT;10/05/2023;5.034,335;5.039,361;4.985,585;4.991,616;131.825.144.260,00;2.648.768
WDOFUT;09/05/2023;5.056,951;5.086,101;5.021,268;5.035,340;143.230.118.480,00;2.850.491
WDOFUT;08/05/2023;5.003,678;5.068,008;4.991,616;5.059,966;141.367.663.785,00;2.826.062
WDOFUT;05/05/2023;5.034,335;5.059,966;4.976,538;5.004,180;144.742.459.550,00;2.900.757
WDOFUT;04/05/2023;5.030,817;5.087,608;5.021,268;5.038,356;142.611.467.735,00;2.835.831
WDOFUT;03/05/2023;5.072,028;5.106,204;5.034,335;5.048,910;148.578.199.530,00;2.946.425
WDOFUT;02/05/2023;5.054,941;5.109,219;5.048,407;5.093,639;125.111.951.815,00;2.471.843
WDOFUT;28/04/2023;5.049,412;5.076,049;5.036,345;5.041,874;134.751.075.460,00;2.679.156
WDOFUT;27/04/2023;5.098,583;5.108,699;5.029,792;5.032,827;165.141.839.340,00;3.295.357
WDOFUT;26/04/2023;5.108,699;5.133,990;5.095,548;5.106,170;146.814.758.035,00;2.903.908
WDOFUT;25/04/2023;5.109,205;5.146,129;5.091,501;5.122,862;154.967.988.460,00;3.059.829
WDOFUT;24/04/2023;5.132,978;5.149,670;5.096,559;5.098,077;127.528.471.095,00;2.518.150
WDOFUT;20/04/2023;5.150,681;5.151,693;5.100,606;5.114,769;123.471.857.285,00;2.439.530
WDOFUT;19/04/2023;5.077,844;5.156,245;5.070,763;5.142,083;165.679.211.550,00;3.278.698
WDOFUT;18/04/2023;4.984,775;5.062,670;4.975,670;5.051,542;154.841.635.980,00;3.113.997
WDOFUT;17/04/2023;4.987,304;5.024,734;4.966,060;5.008,042;126.717.054.795,00;2.563.573
WDOFUT;14/04/2023;5.005,008;5.033,333;4.959,484;4.976,176;139.224.791.620,00;2.815.542
WDOFUT;13/04/2023;4.993,374;5.009,560;4.962,519;4.997,420;156.305.179.105,00;3.171.704
WDOFUT;12/04/2023;5.084,926;5.086,443;4.984,775;4.990,845;181.817.664.330,00;3.664.956
WDOFUT;11/04/2023;5.128,931;5.134,495;5.061,153;5.079,868;158.862.789.145,00;3.158.495
WDOFUT;10/04/2023;5.132,978;5.168,891;5.114,263;5.146,635;105.831.412.725,00;2.078.779
WDOFUT;06/04/2023;5.121,850;5.160,798;5.117,298;5.137,530;107.626.999.290,00;2.117.342
WDOFUT;05/04/2023;5.151,187;5.156,751;5.089,984;5.116,792;144.992.478.260,00;2.858.788
WDOFUT;04/04/2023;5.132,978;5.179,513;5.130,449;5.151,187;129.761.190.115,00;2.546.098
WDOFUT;03/04/2023;5.137,530;5.163,327;5.121,850;5.148,152;129.616.466.635,00;2.549.026
WDOFUT;31/03/2023;5.192,664;5.192,664;5.138,036;5.146,635;162.121.309.155,00;3.179.935
WDOFUT;30/03/2023;5.190,183;5.247,615;5.153,590;5.180,018;185.358.691.315,00;3.626.029
WDOFUT;29/03/2023;5.251,173;5.270,486;5.213,054;5.223,727;168.543.731.795,00;3.270.213
WDOFUT;28/03/2023;5.284,717;5.284,717;5.235,925;5.254,222;153.016.505.840,00;2.958.086
WDOFUT;27/03/2023;5.342,656;5.343,673;5.284,208;5.289,291;110.001.745.080,00;2.102.793
WDOFUT;24/03/2023;5.417,876;5.437,190;5.332,491;5.341,640;176.692.127.640,00;3.335.365
WDOFUT;23/03/2023;5.301,489;5.397,547;5.297,931;5.393,989;174.199.357.435,00;3.304.686
WDOFUT;22/03/2023;5.343,165;5.376,200;5.299,456;5.338,082;167.073.315.445,00;3.176.944
WDOFUT;21/03/2023;5.322,835;5.352,821;5.314,195;5.341,132;128.820.201.145,00;2.452.743
WDOFUT;20/03/2023;5.373,151;5.384,841;5.332,491;5.338,082;129.237.376.940,00;2.455.183
WDOFUT;17/03/2023;5.341,640;5.387,382;5.334,016;5.381,283;123.425.395.935,00;2.336.903
WDOFUT;16/03/2023;5.382,299;5.416,860;5.328,426;5.331,983;174.907.945.540,00;3.303.909
WDOFUT;15/03/2023;5.412,794;5.435,157;5.376,200;5.393,989;199.224.907.885,00;3.745.531
WDOFUT;14/03/2023;5.342,656;5.368,069;5.325,884;5.360,445;163.630.843.820,00;3.110.303
WDOFUT;13/03/2023;5.322,835;5.390,940;5.318,261;5.353,838;208.999.792.420,00;3.967.710
WDOFUT;10/03/2023;5.260,321;5.331,475;5.260,321;5.321,310;183.178.476.445,00;3.515.759
WDOFUT;09/03/2023;5.244,057;5.280,142;5.218,137;5.273,027;172.629.176.450,00;3.344.680
WDOFUT;08/03/2023;5.294,373;5.297,931;5.210,513;5.253,714;176.206.427.645,00;3.410.498
WDOFUT;07/03/2023;5.282,175;5.319,277;5.267,436;5.305,046;140.452.244.510,00;2.694.768
WDOFUT;06/03/2023;5.324,360;5.333,508;5.265,912;5.271,502;134.614.283.910,00;2.580.555
WDOFUT;03/03/2023;5.311,654;5.347,739;5.299,456;5.313,178;133.118.578.475,00;2.542.097
WDOFUT;02/03/2023;5.311,145;5.347,231;5.298,947;5.326,901;155.315.740.750,00;2.964.490
WDOFUT;01/03/2023;5.339,099;5.350,788;5.292,848;5.297,423;160.448.182.480,00;3.064.395
WDOFUT;28/02/2023;5.318,261;5.367,560;5.298,947;5.357,904;161.645.529.720,00;3.080.005
WDOFUT;27/02/2023;5.311,585;5.335,115;5.291,636;5.322,327;169.671.166.300,00;3.265.559
WDOFUT;24/02/2023;5.281,405;5.339,718;5.270,152;5.335,626;149.735.819.975,00;2.886.498
WDOFUT;23/02/2023;5.266,571;5.300,331;5.233,323;5.260,945;161.217.819.520,00;3.134.764
WDOFUT;22/02/2023;5.311,585;5.339,207;5.276,290;5.278,848;93.223.481.385,00;1.797.931
WDOFUT;17/02/2023;5.364,271;5.383,197;5.276,290;5.294,705;152.995.849.415,00;2.940.690
WDOFUT;16/02/2023;5.335,115;5.391,893;5.326,419;5.348,414;178.078.624.525,00;3.397.641
WDOFUT;15/02/2023;5.329,488;5.370,409;5.320,792;5.348,414;173.071.919.065,00;3.310.906
WDOFUT;14/02/2023;5.286,009;5.360,690;5.258,387;5.323,350;222.267.589.825,00;4.290.412
WDOFUT;13/02/2023;5.358,644;5.363,248;5.289,078;5.290,613;153.625.756.485,00;2.953.559
WDOFUT;10/02/2023;5.443,556;5.446,114;5.344,322;5.352,506;158.857.815.675,00;3.016.873
WDOFUT;09/02/2023;5.319,769;5.431,791;5.308,516;5.431,280;208.047.273.445,00;3.961.034
WDOFUT;08/02/2023;5.329,999;5.383,709;5.302,377;5.337,672;168.832.160.125,00;3.234.284
WDOFUT;07/02/2023;5.278,848;5.357,621;5.269,640;5.353,018;188.088.249.520,00;3.620.969
WDOFUT;06/02/2023;5.300,843;5.354,041;5.277,313;5.285,497;171.748.305.175,00;3.302.552
WDOFUT;03/02/2023;5.237,415;5.303,401;5.187,286;5.295,216;181.192.343.575,00;3.532.401
WDOFUT;02/02/2023;5.169,383;5.195,982;5.077,822;5.190,867;197.793.288.860,00;3.936.172
WDOFUT;01/02/2023;5.202,120;5.253,783;5.183,194;5.193,936;176.337.269.220,00;3.461.491
WDOFUT;31/01/2023;5.285,497;5.285,497;5.213,374;5.215,931;139.716.821.705,00;2.726.780
