Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;16/06/2023;17:30:00;121.145;121.265;121.060;121.075;5.914.753.294,68;244.065
WINFUT;16/06/2023;17:00:00;121.095;121.280;121.035;121.150;10.388.669.064,06;428.773
WINFUT;16/06/2023;16:30:00;121.235;121.390;121.050;121.095;16.613.170.919,39;685.257
WINFUT;16/06/2023;16:00:00;121.505;121.515;121.185;121.235;15.106.437.811,55;622.398
WINFUT;16/06/2023;15:30:00;121.485;121.595;121.440;121.500;13.590.055.830,53;559.185
WINFUT;16/06/2023;15:00:00;121.505;121.515;121.250;121.485;15.317.577.180,79;630.948
WINFUT;16/06/2023;14:30:00;121.615;121.615;121.490;121.505;8.413.453.534,78;346.083
WINFUT;16/06/2023;14:00:00;121.750;121.780;121.480;121.610;13.170.734.990,34;541.610
WINFUT;16/06/2023;13:30:00;121.355;121.790;121.300;121.745;14.584.527.420,04;600.064
WINFUT;16/06/2023;13:00:00;121.410;121.465;121.330;121.355;8.947.700.394,06;368.525
WINFUT;16/06/2023;12:30:00;121.620;121.780;121.375;121.410;16.929.920.548,37;696.596
WINFUT;16/06/2023;12:00:00;121.730;121.745;121.470;121.625;15.223.055.215,03;625.777
WINFUT;16/06/2023;11:30:00;121.655;121.805;121.565;121.725;19.290.400.147,78;792.655
WINFUT;16/06/2023;11:00:00;121.590;122.065;121.525;121.650;34.629.060.489,44;1.421.438
WINFUT;16/06/2023;10:30:00;121.090;121.600;120.910;121.580;32.657.778.073,16;1.346.467
WINFUT;16/06/2023;10:00:00;121.115;121.450;120.760;121.090;33.571.984.917,86;1.385.946
WINFUT;16/06/2023;09:30:00;121.450;121.455;121.020;121.110;20.429.278.103,37;842.640
WINFUT;16/06/2023;09:00:00;121.850;121.920;121.345;121.450;17.766.920.978,41;730.923
WINFUT;15/06/2023;17:30:00;121.850;121.905;121.670;121.855;5.041.981.853,51;206.947
WINFUT;15/06/2023;17:00:00;121.935;121.945;121.630;121.845;11.791.409.737,38;484.133
WINFUT;15/06/2023;16:30:00;121.945;121.955;121.715;121.935;15.205.146.084,71;624.084
WINFUT;15/06/2023;16:00:00;121.980;122.035;121.910;121.950;11.372.220.100,65;466.230
WINFUT;15/06/2023;15:30:00;121.885;122.165;121.860;121.980;19.570.366.836,06;801.940
WINFUT;15/06/2023;15:00:00;121.570;121.900;121.485;121.885;14.449.426.311,92;593.842
WINFUT;15/06/2023;14:30:00;121.525;121.670;121.470;121.570;11.783.859.567,59;484.654
WINFUT;15/06/2023;14:00:00;121.535;121.620;121.195;121.525;19.896.396.274,91;819.287
WINFUT;15/06/2023;13:30:00;121.680;121.810;121.415;121.540;17.470.426.395,87;718.310
WINFUT;15/06/2023;13:00:00;121.680;121.745;121.530;121.680;13.145.575.729,72;540.306
WINFUT;15/06/2023;12:30:00;122.040;122.065;121.630;121.680;17.970.594.836,38;737.542
WINFUT;15/06/2023;12:00:00;121.945;122.090;121.385;122.040;24.874.259.446,37;1.020.981
WINFUT;15/06/2023;11:30:00;122.135;122.165;121.935;121.950;15.395.185.215,50;630.609
WINFUT;15/06/2023;11:00:00;121.675;122.255;121.620;122.140;26.481.872.983,23;1.085.048
WINFUT;15/06/2023;10:30:00;121.855;122.125;121.610;121.675;34.412.533.881,81;1.411.279
WINFUT;15/06/2023;10:00:00;121.335;121.965;121.140;121.855;34.851.412.646,93;1.434.272
WINFUT;15/06/2023;09:30:00;121.195;121.480;121.045;121.335;24.550.438.639,00;1.012.056
WINFUT;15/06/2023;09:00:00;120.850;121.470;120.830;121.200;18.001.576.392,15;742.568
WINFUT;14/06/2023;17:30:00;121.420;121.560;121.330;121.330;4.843.238.860,17;199.376
WINFUT;14/06/2023;17:00:00;121.375;121.750;121.275;121.425;14.371.820.679,20;591.329
WINFUT;14/06/2023;16:30:00;121.035;121.745;120.925;121.375;28.428.958.576,49;1.171.700
WINFUT;14/06/2023;16:00:00;120.650;121.560;120.280;121.035;31.943.792.100,81;1.322.185
WINFUT;14/06/2023;15:30:00;120.190;120.970;120.050;120.650;32.447.559.478,32;1.345.277
WINFUT;14/06/2023;15:00:00;120.930;121.000;119.865;120.190;39.474.872.517,45;1.640.489
WINFUT;14/06/2023;14:30:00;121.125;121.295;120.910;120.930;16.334.488.348,15;674.256
WINFUT;14/06/2023;14:00:00;121.275;121.660;121.065;121.130;26.297.578.633,04;1.083.157
WINFUT;14/06/2023;13:30:00;121.285;121.470;121.200;121.275;15.685.949.811,58;646.448
WINFUT;14/06/2023;13:00:00;120.945;121.425;120.800;121.290;21.738.376.325,03;897.484
WINFUT;14/06/2023;12:30:00;121.145;121.235;120.825;120.940;17.158.144.651,17;708.735
WINFUT;14/06/2023;12:00:00;120.895;121.215;120.845;121.145;19.268.611.977,67;795.850
WINFUT;14/06/2023;11:30:00;120.700;120.985;120.580;120.895;20.622.913.732,10;853.425
WINFUT;14/06/2023;11:00:00;120.740;120.940;120.555;120.700;24.774.573.940,01;1.025.969
WINFUT;14/06/2023;10:30:00;119.975;120.895;119.945;120.735;32.833.750.736,90;1.362.322
WINFUT;14/06/2023;10:00:00;119.685;120.350;119.685;119.975;31.465.805.218,81;1.310.629
WINFUT;14/06/2023;09:30:00;119.905;120.130;119.645;119.680;20.646.088.170,53;861.253
WINFUT;14/06/2023;09:00:00;119.900;120.210;119.800;119.910;17.403.101.477,97;725.122
WINFUT;13/06/2023;17:30:00;119.129;119.470;119.129;119.450;4.804.198.807,42;205.351
WINFUT;13/06/2023;17:00:00;119.114;119.261;119.012;119.124;8.557.503.741,02;366.134
WINFUT;13/06/2023;16:30:00;118.910;119.144;118.905;119.109;14.031.140.989,48;600.787
