Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;16/06/2023;121.850;122.065;120.760;121.075;312.545.474.192,00;12.869.350
WINFUT;15/06/2023;120.850;122.255;120.830;121.855;336.264.677.850,00;13.814.088
WINFUT;14/06/2023;119.900;121.750;119.645;121.330;415.739.618.935,00;17.215.006
WINFUT;13/06/2023;120.235;120.505;118.680;119.450;337.190.069.452,00;14.367.994
WINFUT;12/06/2023;119.725;120.327;119.078;120.072;319.310.969.998,00;13.591.159
WINFUT;09/06/2023;118.614;120.123;118.594;119.414;306.206.605.892,00;13.063.160
WINFUT;07/06/2023;117.839;118.522;117.095;118.334;347.240.525.550,00;15.008.118
WINFUT;06/06/2023;115.000;117.534;114.985;117.534;351.833.404.936,00;15.390.964
WINFUT;05/06/2023;115.138;115.699;114.175;115.220;285.878.580.947,00;12.665.261
WINFUT;02/06/2023;114.047;115.673;113.971;115.393;312.294.469.379,00;13.826.100
WINFUT;01/06/2023;111.662;113.742;110.821;113.736;345.317.990.829,00;15.686.602
WINFUT;31/05/2023;111.040;111.789;110.780;110.913;334.974.276.303,00;15.347.464
WINFUT;30/05/2023;113.329;114.149;111.168;111.438;339.724.248.982,00;15.427.355
WINFUT;29/05/2023;113.966;114.093;112.794;113.013;240.629.716.942,00;10.825.378
WINFUT;26/05/2023;113.456;114.582;112.528;113.680;363.669.384.827,00;16.279.227
WINFUT;25/05/2023;112.432;114.047;112.335;112.799;363.344.917.464,00;16.370.477
WINFUT;24/05/2023;112.809;113.227;111.275;112.060;325.233.880.617,00;14.801.225
WINFUT;23/05/2023;113.018;114.323;112.569;113.247;367.691.484.466,00;16.519.457
WINFUT;22/05/2023;113.405;114.730;112.982;113.410;324.326.986.761,00;14.547.005
WINFUT;19/05/2023;113.232;114.297;112.727;113.609;332.120.580.004,00;14.900.013
WINFUT;18/05/2023;112.590;113.426;111.672;113.293;334.837.908.823,00;15.174.470
WINFUT;17/05/2023;111.519;112.962;111.264;112.839;339.854.338.866,00;15.416.756
WINFUT;16/05/2023;111.978;113.405;110.877;111.163;353.404.450.448,00;16.042.390
WINFUT;15/05/2023;112.233;112.513;111.463;112.258;280.736.061.735,00;12.777.001
WINFUT;12/05/2023;111.417;112.029;110.536;111.774;295.906.427.837,00;13.534.981
WINFUT;11/05/2023;110.413;112.060;109.547;111.417;335.337.380.573,00;15.446.774
WINFUT;10/05/2023;110.347;111.112;109.674;110.994;313.088.985.514,00;14.443.038
WINFUT;09/05/2023;108.869;111.168;108.634;110.806;317.139.030.269,00;14.687.061
WINFUT;08/05/2023;109.175;110.128;108.609;109.093;326.991.016.958,00;15.217.819
WINFUT;05/05/2023;106.117;109.017;105.765;108.645;322.313.136.660,00;15.330.440
WINFUT;04/05/2023;105.148;106.830;104.302;106.377;350.394.103.494,00;16.924.831
WINFUT;03/05/2023;105.189;105.775;104.715;105.097;320.202.242.440,00;15.510.378
WINFUT;02/05/2023;107.212;107.620;104.893;104.893;285.634.825.747,00;13.743.189
WINFUT;28/04/2023;106.219;108.023;105.887;107.289;289.934.825.967,00;13.801.594
WINFUT;27/04/2023;106.478;106.728;105.429;106.478;280.385.548.064,00;13.468.748
WINFUT;26/04/2023;107.202;107.916;105.760;106.239;272.004.266.758,00;13.017.439
WINFUT;25/04/2023;107.416;107.554;106.193;107.554;291.846.935.688,00;13.933.826
WINFUT;24/04/2023;107.697;108.650;106.886;107.834;275.903.966.518,00;13.057.161
WINFUT;20/04/2023;107.544;108.482;106.764;108.196;300.433.353.960,00;14.189.001
WINFUT;19/04/2023;109.001;109.226;107.355;107.901;304.129.986.594,00;14.322.098
WINFUT;18/04/2023;110.520;111.494;108.996;109.888;331.613.082.362,00;15.351.955
WINFUT;17/04/2023;110.989;111.010;109.628;110.021;298.568.497.378,00;13.810.002
WINFUT;14/04/2023;110.347;111.045;108.833;110.908;318.974.834.686,00;14.758.874
WINFUT;13/04/2023;111.112;111.519;110.311;110.449;302.506.921.923,00;13.913.833
WINFUT;12/04/2023;110.607;112.620;110.281;111.010;341.546.557.761,00;15.630.331
WINFUT;11/04/2023;106.474;111.055;106.412;110.806;348.555.518.461,00;16.568.733
WINFUT;10/04/2023;105.051;106.318;104.755;106.074;254.803.382.035,00;12.514.558
WINFUT;06/04/2023;104.916;105.664;104.402;105.259;263.515.747.594,00;13.045.537
WINFUT;05/04/2023;106.116;106.323;103.934;104.791;338.154.657.334,00;16.719.091
WINFUT;04/04/2023;106.147;107.326;105.726;106.271;305.120.775.351,00;14.901.985
WINFUT;03/04/2023;106.204;106.474;104.770;105.726;290.107.466.881,00;14.284.286
WINFUT;31/03/2023;108.032;108.733;105.612;105.846;318.807.651.916,00;15.450.971
WINFUT;30/03/2023;107.700;108.588;107.025;108.500;295.410.331.474,00;14.229.652
