OutPut |T+1|;OutPut_class |T+1|
11.68;1
11.68;1
11.71;1
11.73;1
11.69;0
11.66;0
11.61;0
11.65;1
11.66;1
11.66;1
11.67;1
11.66;0
11.7;1
11.7;1
11.71;1
11.66;0
11.68;1
11.74;1
11.73;0
11.69;0
11.66;0
11.66;1
11.67;1
11.68;1
11.64;0
11.64;1
11.66;1
11.59;0
11.61;1
11.58;0
11.61;1
11.34;0
11.4;1
11.39;0
11.39;1
11.4;1
11.41;1
11.39;0
11.41;1
11.36;0
11.39;1
11.41;1
11.45;1
11.47;1
11.44;0
11.45;1
11.42;0
11.86;1
11.87;1
11.88;1
11.84;0
11.89;1
11.88;0
11.86;0
11.84;0
11.84;1
11.85;1
11.82;0
11.83;1
11.98;1
12.02;1
12.04;1
11.98;0
11.98;1
12.01;1
11.99;0
12.0;1
11.93;0
11.92;0
11.89;0
11.91;1
11.85;0
11.84;0
11.84;1
11.84;1
11.71;0
11.75;1
11.71;0
11.73;1
11.85;1
11.89;1
11.93;1
11.9;0
11.92;1
11.92;1
11.92;1
11.92;1
11.92;1
11.92;1
11.93;1
11.92;0
11.97;1
11.94;0
11.93;0
11.94;1
11.99;1
12.0;1
12.0;1
12.0;1
11.98;0
12.02;1
11.98;0
12.0;1
12.02;1
12.02;1
12.01;0
12.0;0
12.0;1
12.1;1
12.08;0
12.09;1
12.14;1
12.15;1
12.16;1
12.17;1
12.17;1
12.16;0
12.14;0
12.14;1
12.12;0
12.12;1
12.12;1
12.12;1
12.09;0
12.08;0
12.11;1
12.07;0
12.08;1
12.06;0
12.05;0
12.0;0
11.99;0
11.98;0
11.98;1
11.97;0
11.97;1
11.97;1
11.99;1
12.0;1
12.0;1
12.01;1
12.0;0
12.03;1
11.95;0
11.94;0
11.93;0
11.91;0
11.93;1
11.91;0
11.91;1
11.92;1
11.93;1
11.91;0
11.94;1
11.92;0
11.92;1
11.97;1
11.94;0
11.99;1
11.96;0
11.97;1
11.98;1
12.0;1
11.98;0
12.0;1
11.99;0
12.01;1
12.02;1
12.02;1
12.0;0
12.03;1
12.07;1
12.07;1
12.08;1
12.1;1
12.14;1
12.09;0
12.08;0
12.09;1
12.11;1
12.14;1
12.13;0
12.12;0
12.15;1
12.15;1
12.13;0
12.13;1
12.15;1
12.18;1
12.21;1
12.22;1
12.28;1
12.24;0
12.26;1
12.24;0
12.25;1
12.26;1
12.29;1
12.27;0
12.28;1
12.29;1
12.29;1
12.31;1
12.3;0
12.29;0
12.3;1
12.3;1
12.25;0
12.22;0
12.26;1
12.27;1
12.29;1
12.3;1
12.27;0
12.27;1
12.29;1
12.28;0
12.3;1
12.3;1
12.3;1
12.26;0
12.3;1
12.29;0
12.3;1
12.27;0
12.3;1
12.28;0
12.27;0
12.26;0
12.28;1
12.3;1
12.33;1
12.33;1
12.36;1
12.33;0
12.32;0
12.32;1
12.32;1
12.33;1
12.34;1
12.34;1
12.31;0
12.28;0
12.24;0
12.29;1
12.29;1
12.31;1
12.32;1
12.34;1
12.34;1
12.36;1
12.37;1
12.38;1
12.38;1
12.42;1
12.42;1
12.41;0
12.41;1
12.42;1
12.42;1
12.41;0
12.38;0
12.38;1
12.38;1
12.4;1
12.4;1
12.42;1
12.39;0
12.37;0
12.4;1
12.41;1
12.47;1
12.46;0
12.47;1
12.51;1
12.51;1
12.5;0
12.49;0
12.49;1
12.47;0
12.43;0
12.47;1
12.44;0
12.42;0
12.37;0
12.35;0
12.32;0
12.32;1
12.44;1
12.39;0
12.41;1
12.43;1
12.45;1
12.45;1
12.45;1
12.44;0
12.44;1
12.47;1
12.49;1
12.51;1
12.52;1
12.52;1
12.48;0
12.43;0
12.41;0
12.4;0
12.38;0
12.38;1
12.37;0
12.36;0
12.35;0
12.34;0
12.36;1
12.37;1
12.36;0
12.41;1
12.32;0
12.32;1
12.3;0
12.21;0
12.22;1
12.24;1
12.23;0
12.25;1
12.25;1
12.27;1
12.26;0
12.27;1
12.29;1
12.26;0
12.26;1
12.33;1
12.41;1
12.42;1
12.43;1
12.35;0
12.32;0
12.3;0
12.29;0
12.32;1
12.33;1
12.32;0
12.33;1
12.31;0
12.35;1
12.3;0
12.33;1
12.32;0
12.36;1
12.4;1
12.45;1
12.37;0
12.35;0
12.37;1
12.35;0
12.35;1
12.31;0
12.32;1
12.29;0
12.28;0
12.29;1
12.27;0
12.29;1
12.27;0
12.27;1
12.24;0
12.23;0
12.2;0
12.18;0
12.17;0
12.15;0
12.12;0
12.13;1
12.12;0
12.13;1
12.11;0
12.11;1
12.09;0
12.07;0
12.06;0
12.05;0
12.06;1
12.07;1
12.11;1
12.04;0
12.04;1
12.04;1
12.07;1
12.06;0
12.07;1
12.05;0
12.07;1
12.09;1
12.07;0
12.07;1
12.08;1
12.1;1
12.18;1
12.2;1
12.25;1
12.21;0
12.24;1
12.22;0
12.21;0
12.19;0
12.24;1
12.26;1
12.24;0
12.24;1
12.25;1
12.21;0
12.23;1
12.21;0
12.29;1
12.23;0
