OutPut |T+1|;OutPut_class |T+1|
5590.229;0
5581.589;0
5574.03;0
5561.611;0
5570.79;1
5575.65;1
5580.509;1
5587.529;1
5589.149;1
5583.749;0
5585.909;1
5585.369;0
5585.369;1
5573.49;0
5567.55;0
5563.23;0
5564.31;1
5563.23;0
5571.87;1
5588.069;1
5596.708;1
5592.388;0
5602.648;1
5588.609;0
5578.349;0
5573.49;0
5585.909;1
5592.388;1
5554.051;0
5567.01;1
5570.79;1
5577.269;1
5582.129;1
5581.049;0
5578.349;0
5579.429;1
5579.429;1
5570.25;0
5572.41;1
5577.809;1
5570.79;0
5562.15;0
5561.071;0
5558.371;0
5560.531;1
5559.451;0
5563.77;1
5567.01;1
5563.77;0
5561.071;0
5561.611;1
5558.911;0
5551.891;0
5552.431;1
5556.751;1
5568.63;1
5581.049;1
5584.829;1
5584.289;0
5595.088;1
5612.907;1
5598.868;0
5595.088;0
5589.149;0
5624.246;1
5623.166;0
5623.166;1
5624.786;1
5622.626;0
5622.626;1
5619.926;0
5618.307;0
5612.907;0
5606.427;0
5606.427;1
5608.047;1
5603.728;0
5590.229;0
5587.529;0
5585.369;0
5582.129;0
5578.889;0
5577.809;0
5579.969;1
5577.809;0
5580.509;1
5580.509;1
5584.289;1
5582.669;0
5601.568;1
5608.047;1
5607.507;0
5616.147;1
5620.466;1
5610.207;0
5613.447;1
5595.628;0
5575.11;0
5576.729;1
5578.349;1
5585.909;1
5578.889;0
5576.729;0
5578.889;1
5577.809;0
5573.49;0
5571.33;0
5573.49;1
5568.09;0
5551.351;0
5552.431;1
5551.351;0
5559.451;1
5553.511;0
5562.69;1
5559.451;0
5567.55;1
5558.371;0
5567.01;1
5566.47;0
5572.41;1
5568.09;0
5569.71;1
5571.87;1
5561.611;0
5565.39;1
5570.79;1
5560.531;0
5557.831;0
5563.23;1
5557.831;0
5540.012;0
5550.811;1
5549.191;0
5565.93;1
5563.77;0
5483.316;0
5480.616;0
5471.437;0
5461.718;0
5451.458;0
5469.277;1
5446.599;0
5480.616;1
5495.195;1
5482.236;0
5540.012;1
5542.172;1
5531.913;0
5530.293;0
5535.152;1
5539.472;1
5543.252;1
5546.492;1
5548.111;1
5544.872;0
5545.952;1
5552.971;1
5551.351;0
5559.451;1
5550.811;0
5559.991;1
5543.252;0
5535.692;0
5534.072;0
5550.811;1
5564.31;1
5554.591;0
5541.092;0
5531.373;0
5528.133;0
5531.373;1
5554.591;1
5558.911;1
5566.47;1
5567.55;1
5571.33;1
5573.49;1
5579.969;1
5582.129;1
5581.049;0
5579.969;0
5570.79;0
5570.25;0
5574.03;1
5568.63;0
5551.891;0
5568.63;1
5579.429;1
5588.609;1
5571.33;0
5567.01;0
5570.25;1
5561.611;0
5557.291;0
5554.591;0
5558.911;1
5560.531;1
5558.911;0
5555.131;0
5550.271;0
5556.751;1
5554.051;0
5532.993;0
5542.172;1
5537.312;0
5557.291;1
5537.852;0
5552.971;1
5548.651;0
5556.751;1
5553.511;0
5549.731;0
5569.17;1
5559.991;0
5545.952;0
5547.032;1
