OutPut |T+1|;OutPut_class |T+1|
113.699;0
113.53;0
113.704;1
113.825;1
113.651;0
113.646;0
113.551;0
113.53;0
113.604;1
113.54;0
113.546;1
113.593;1
113.604;1
113.746;1
113.657;0
113.931;1
113.852;0
113.72;0
113.883;1
113.931;1
113.978;1
113.999;1
114.068;1
114.079;1
113.868;0
113.788;0
113.73;0
113.794;1
113.999;1
114.226;1
114.121;0
114.231;1
114.295;1
114.152;0
114.216;1
114.363;1
114.284;0
114.279;0
114.458;1
114.121;0
114.152;1
114.2;1
114.29;1
114.3;1
114.295;0
114.231;0
114.11;0
114.094;0
114.063;0
114.068;1
114.042;0
113.936;0
114.042;1
114.105;1
114.026;0
113.941;0
113.957;1
113.926;0
113.915;0
114.005;1
113.989;0
114.105;1
114.163;1
114.094;0
114.015;0
114.063;1
114.057;0
113.894;0
113.846;0
113.936;1
113.899;0
113.804;0
113.825;1
113.825;1
113.815;0
113.82;1
113.788;0
113.773;0
113.783;1
113.815;1
113.804;0
113.825;1
113.741;0
113.757;1
113.788;1
113.836;1
113.889;1
113.994;1
113.931;0
113.994;1
114.01;1
114.01;1
113.926;0
113.852;0
113.894;1
113.962;1
113.978;1
113.947;0
113.873;0
113.936;1
114.036;1
113.994;0
113.999;1
114.02;1
113.984;0
114.068;1
114.047;0
114.247;1
114.131;0
114.057;0
114.305;1
114.084;0
114.305;1
114.295;0
114.369;1
114.479;1
114.479;1
114.548;1
114.638;1
114.664;1
114.559;0
114.532;0
114.411;0
114.189;0
114.348;1
114.295;0
114.189;0
113.773;0
113.646;0
113.335;0
113.298;0
113.155;0
113.414;1
113.461;1
113.424;0
113.472;1
113.282;0
113.198;0
113.14;0
113.055;0
113.266;1
114.042;1
114.015;0
114.015;1
114.137;1
114.221;1
114.3;1
114.29;0
114.137;0
114.142;1
114.216;1
113.973;0
113.926;0
114.02;1
114.147;1
114.094;0
114.279;1
114.253;0
114.284;1
114.268;0
114.305;1
114.448;1
114.353;0
114.358;1
114.427;1
114.374;0
114.342;0
114.495;1
114.627;1
114.501;0
114.516;1
114.464;0
114.49;1
114.606;1
114.659;1
114.822;1
114.648;0
114.511;0
114.685;1
114.764;1
114.843;1
114.843;1
115.06;1
115.06;1
114.875;0
115.028;1
115.017;0
115.102;1
115.35;1
115.223;0
115.239;1
115.186;0
114.97;0
114.88;0
114.859;0
114.917;1
114.981;1
115.112;1
114.886;0
114.743;0
114.706;0
114.812;1
114.754;0
114.727;0
114.574;0
114.738;1
114.996;1
114.87;0
114.986;1
114.896;0
115.054;1
115.097;1
114.817;0
115.139;1
115.028;0
115.012;0
115.049;1
114.938;0
114.738;0
114.854;1
114.954;1
115.239;1
115.498;1
115.513;1
115.498;0
115.228;0
115.17;0
115.798;1
115.935;1
116.104;1
116.22;1
116.062;0
115.92;0
115.745;0
115.777;1
115.777;1
115.84;1
115.872;1
116.162;1
116.104;0
115.925;0
116.12;1
116.225;1
116.189;0
116.189;1
116.162;0
116.21;1
116.342;1
116.262;0
116.394;1
116.6;1
116.753;1
116.647;0
116.764;1
116.516;0
116.31;0
116.183;0
116.241;1
116.262;1
116.083;0
116.041;0
116.02;0
116.057;1
116.167;1
116.067;0
116.162;1
116.199;1
116.252;1
116.32;1
116.225;0
116.136;0
116.331;1
116.167;0
116.247;1
116.305;1
116.458;1
116.426;0
116.289;0
116.289;1
116.468;1
116.088;0
115.825;0
115.898;1
115.877;0
116.041;1
115.888;0
116.009;1
115.798;0
115.656;0
115.709;1
115.803;1
115.397;0
115.381;0
115.302;0
115.339;1
115.186;0
115.081;0
115.049;0
114.907;0
115.002;1
115.097;1
115.228;1
115.313;1
115.297;0
115.207;0
115.165;0
115.181;1
115.165;0
115.244;1
115.323;1
114.933;0
114.859;0
114.712;0
114.748;1
114.864;1
115.086;1
115.065;0
115.039;0
115.044;1
115.091;1
114.88;0
114.88;1
114.917;1
115.123;1
115.065;0
115.281;1
115.265;0
115.197;0
115.308;1
115.308;1
115.276;0
115.286;1
115.308;1
115.392;1
115.223;0
115.107;0
114.754;0
114.859;1
114.706;0
114.748;1
114.595;0
114.77;1
114.58;0
114.875;1
114.822;0
114.901;1
114.775;0
114.659;0
114.727;1
114.907;1
114.738;0
114.78;1
115.065;1
114.891;0
114.806;0
114.954;1
114.965;1
115.044;1
115.123;1
115.234;1
115.144;0
115.017;0
114.854;0
114.88;1
114.801;0
114.696;0
114.595;0
114.047;0
113.92;0
113.889;0
113.936;1
114.036;1
114.105;1
114.253;1
114.105;0
113.994;0
114.01;1
114.163;1
114.274;1
114.189;0
114.189;1
114.142;0
113.968;0
113.915;0
114.02;1
114.105;1
114.126;1
114.147;1
114.142;0
114.284;1
114.11;0
114.089;0
114.163;1
114.189;1
114.3;1
114.221;0
113.778;0
113.762;0
113.635;0
113.657;1
113.646;0
113.393;0
113.609;1
114.079;1
114.089;1
114.079;0
114.326;1
114.305;0
114.548;1
114.548;1
114.49;0
114.073;0
113.91;0
113.751;0
113.883;1
114.173;1
114.168;0
114.2;1
113.999;0
114.047;1
113.984;0
113.999;1
113.973;0
114.031;1
114.02;0
114.11;1
114.031;0
114.168;1
114.158;0
114.205;1
114.195;0
114.057;0
114.042;0
113.968;0
114.015;1
114.01;0
114.073;1
114.057;0
114.084;1
114.147;1
114.163;1
113.984;0
114.305;1
114.411;1
114.559;1
114.553;0
114.411;0
114.78;1
114.833;1
114.891;1
114.759;0
114.822;1
114.817;0
114.812;0
114.643;0
114.891;1
114.891;1
114.664;0
114.864;1
114.748;0
114.532;0
114.717;1
114.764;1
114.39;0
114.722;1
114.648;0
114.622;0
114.975;1
115.149;1
115.202;1
115.313;1
115.308;0
115.418;1
115.387;0
115.492;1
115.334;0
115.445;1
115.445;1
115.571;1
115.571;1
114.996;0
115.239;1
115.17;0
115.081;0
115.07;0
114.954;0
115.007;1
114.965;0
115.002;1
114.97;0
114.849;0
114.743;0
114.611;0
114.653;1
114.664;1
114.748;1
114.706;0
114.812;1
114.87;1
114.87;1
114.891;1
114.954;1
114.949;0
114.949;1
114.875;0
114.843;0
114.717;0
114.822;1
114.696;0
