OutPut |T+1|;OutPut_class |T+1|
6503.091;0
6547.633;1
6551.735;1
6549.391;0
6629.097;1
6626.753;0
6633.199;1
6621.478;0
6629.683;1
6639.06;1
6596.863;0
6587.486;0
6589.244;1
6569.903;0
6544.116;0
6542.358;0
6523.017;0
6554.665;1
6574.592;1
6588.658;1
6613.273;1
6605.654;0
6588.658;0
6578.695;0
6629.683;1
6605.068;0
6610.343;1
6560.526;0
6513.054;0
6517.157;1
6521.259;1
6529.464;1
6540.014;1
6517.157;0
6536.497;1
6514.812;0
6520.673;1
6531.222;1
6496.644;0
6499.574;1
6500.16;1
6501.333;1
6498.402;0
6517.743;1
6525.362;1
6558.768;1
6570.489;1
6568.145;0
6656.056;1
6654.884;0
6633.786;0
6658.987;1
6707.631;1
6657.229;0
6753.345;1
6705.287;0
6724.041;1
6780.89;1
6807.85;1
6811.952;1
6796.128;0
6797.301;1
6792.612;0
6814.883;1
6817.813;1
6871.732;1
6878.765;1
6868.802;0
6895.175;1
6824.846;0
6778.546;0
6775.03;0
6714.664;0
6728.73;1
6709.389;0
6724.627;1
6714.664;0
6743.968;1
6677.741;0
6666.606;0
6667.778;1
6677.155;1
6677.155;1
6678.327;1
6663.675;0
6661.917;0
6682.43;1
6686.532;1
6651.954;0
6651.368;0
6642.577;0
6646.093;1
6590.416;0
6534.153;0
6518.329;0
6573.42;1
6572.248;0
6598.035;1
6589.83;0
6599.793;1
6644.335;1
6752.759;1
6761.55;1
6761.55;1
6758.034;0
6740.451;0
6709.975;0
6703.529;0
6664.848;0
6647.265;0
6649.61;1
6620.892;0
6687.118;1
6701.77;1
6688.291;0
6683.602;0
6652.54;0
6651.954;0
6619.72;0
6611.515;0
6572.834;0
6575.178;1
6564.043;0
6539.427;0
6539.427;1
6564.629;1
6554.079;0
6551.149;0
6575.764;1
6575.178;0
6572.834;0
6552.907;0
6547.046;0
6539.427;0
6538.255;0
6503.677;0
6448.0;0
6473.201;1
6493.714;1
6477.877;0
6465.559;0
6467.319;1
6468.492;1
6442.684;0
6458.52;1
6399.865;0
6384.615;0
6385.202;1
6340.624;0
6352.941;1
6359.393;1
6363.499;1
6358.807;0
6365.259;1
6363.499;0
6372.297;1
6361.739;0
6335.345;0
6384.615;1
6383.442;0
6387.548;1
6387.548;1
6386.961;0
6368.778;0
6359.393;0
6420.981;1
6409.837;0
6389.894;0
6413.356;1
6406.317;0
6399.865;0
6385.788;0
6403.385;1
6428.02;1
6446.789;1
6442.097;0
6485.502;1
6466.146;0
6314.815;0
6322.441;1
6317.162;0
6346.489;1
6334.758;0
6331.825;0
6311.296;0
6308.95;0
6330.066;1
6350.008;1
6371.711;1
6374.057;1
6384.615;1
6375.23;0
6389.307;1
6383.442;0
6393.413;1
6359.98;0
6363.499;1
6337.691;0
6351.182;1
6351.182;1
6355.287;1
6354.114;0
6345.903;0
6344.729;0
6303.084;0
6310.709;1
6306.017;0
6309.536;1
6299.565;0
6303.084;1
6296.046;0
6312.469;1
6338.864;1
6334.758;0
6300.152;0
6320.094;1
6322.441;1
6327.719;1
6320.681;0
6326.546;1
6308.363;0
6310.709;1
6299.565;0
6272.584;0
6324.2;1
6320.681;0
6303.084;0
6321.854;1
6290.18;0
6294.286;1
6321.854;1
6337.691;1
6341.797;1
6357.047;1
6314.815;0
6317.748;1
6316.575;0
6308.95;0
6281.382;0
6371.124;1
6372.297;1
6361.153;0
6348.835;0
6344.729;0
6300.738;0
6289.007;0
6304.257;1
6311.296;1
6263.785;0
6238.564;0
6258.506;1
6300.738;1
6331.239;1
6326.546;0
6305.431;0
6311.296;1
6319.508;1
6308.363;0
6288.421;0
6285.488;0
6294.286;1
6300.738;1
6342.97;1
6391.654;1
6369.951;0
6376.403;1
6395.173;1
6389.894;0
6367.605;0
6366.432;0
6361.739;0
6338.864;0
6308.363;0
6309.536;1
6283.728;0
6312.469;1
6301.911;0
6308.95;1
6297.805;0
6293.699;0
6298.392;1
6260.853;0
6256.747;0
6270.824;1
6301.325;1
6290.767;0
6286.074;0
6289.007;1
6291.94;1
6304.844;1
6297.219;0
6338.864;1
6324.787;0
6347.662;1
6376.403;1
6391.654;1
6394.0;1
6406.317;1
6406.317;1
6426.26;1
6422.154;0
6423.327;1
6407.49;0
6375.23;0
6411.596;1
6422.154;1
6428.606;1
6423.327;0
6422.154;0
6395.173;0
6408.664;1
6429.193;1
6435.645;1
6426.26;0
6388.721;0
6385.199;0
6381.09;0
6375.807;0
6354.676;0
6338.24;0
6379.916;1
6380.503;1
6341.762;0
6381.677;1
6357.024;0
6350.567;0
6345.284;0
6340.001;0
6319.457;0
6355.85;1
6349.98;0
6328.849;0
6294.217;0
6309.478;1
6287.76;0
6282.477;0
6250.193;0
6274.846;1
6281.89;1
6304.195;1
6282.477;0
6326.501;1
6362.307;1
6355.263;0
6421.005;1
6424.527;1
6431.571;1
6417.483;0
6423.353;1
6403.982;0
6403.982;1
6375.807;0
6367.002;0
6357.611;0
6284.238;0
6294.217;1
6296.565;1
6294.217;0
6310.065;1
6314.174;1
6306.543;0
6277.194;0
6199.125;0
6183.864;0
6214.974;1
6234.344;1
6235.518;1
6254.889;1
6218.496;0
6214.387;0
6220.844;1
6224.953;1
6243.736;1
6241.388;0
6295.391;1
6285.412;0
6277.781;0
6278.955;1
6270.15;0
6266.628;0
6252.541;0
6237.866;0
6196.777;0
6179.755;0
6224.366;1
6220.844;0
6230.235;1
6217.322;0
6186.212;0
6183.277;0
6155.102;0
6188.56;1
6226.714;1
6221.431;0
6215.561;0
6224.366;1
6227.888;1
6205.582;0
6175.059;0
6176.82;1
6182.103;1
6186.212;1
6196.777;1
6183.864;0
6103.447;0
6113.426;1
6119.883;1
6102.86;0
6107.556;1
6142.775;1
6141.601;0
6196.19;1
6190.908;0
6190.321;0
6225.54;1
6234.931;1
6239.04;1
6223.192;0
6229.062;1
6217.909;0
6204.408;0
6276.02;1
6192.082;0
6253.715;1
6256.65;1
6250.78;0
6249.019;0
6286.586;1
6328.849;1
6358.198;1
6388.721;1
6422.766;1
6427.462;1
6417.483;0
6443.897;1
6470.311;1
6463.268;0
6432.745;0
6446.832;1
6441.549;0
6464.442;1
6451.528;0
6458.572;1
6440.375;0
6365.829;0
6369.35;1
6362.307;0
6373.459;1
6311.239;0
6328.262;1
6334.718;1
6337.066;1
6263.107;0
6309.478;1
6364.068;1
6345.284;0
6342.936;0
6328.849;0
6340.001;1
6347.045;1
6318.283;0
6295.391;0
6259.585;0
6250.193;0
6247.845;0
6226.714;0
6229.649;1
6170.95;0
6212.626;1
6271.324;1
6264.867;0
6268.389;1
6226.714;0
6228.475;1
6216.148;0
6200.299;0
6185.625;0
6184.451;0
6203.234;1
6232.583;1
6243.149;1
6220.257;0
6287.173;1
6271.911;0
6224.953;0
6193.843;0
6190.908;0
6162.732;0
6177.407;1
6166.254;0
6126.927;0
6028.9;0
6058.837;1
6031.248;0
6107.556;1
6097.577;0
6095.229;0
6081.729;0
6069.402;0
6079.968;1
6080.555;1
6115.774;1
6128.687;1
6096.403;0
6121.644;1
6108.142;0
6081.725;0
6094.64;1
6084.66;0
6066.462;0
6092.292;1
6109.316;1
6085.834;0
6108.729;1
6149.822;1
6159.214;1
6150.409;0
6171.542;1
6185.044;1
6229.659;1
6219.679;0
6173.89;0
6110.49;0
6085.247;0
6128.688;1
6110.49;0
6103.445;0
6109.316;1
6120.47;1
6115.186;0
6104.032;0
6065.875;0
6068.223;1
6049.438;0
6057.656;1
6060.592;1
6060.592;1
6060.592;1
6052.96;0
6057.069;1
6037.11;0
6060.005;1
6022.434;0
6045.329;1
6009.519;0
6018.912;1
6014.216;0
6006.584;0
6025.956;1
6023.021;0
6047.677;1
6048.851;1
6074.093;1
6078.203;1
5990.147;0
5968.426;0
5966.078;0
5970.188;1
5981.928;1
5965.491;0
5978.993;1
5980.754;1
5978.406;0
5983.102;1
5937.9;0
5945.532;1
5959.621;1
5966.665;1
5942.01;0
5936.726;0
5935.552;0
5949.641;1
5954.338;1
5944.945;0
5967.839;1
5969.601;1
5996.017;1
5999.54;1
6022.434;1
6020.086;0
6017.738;0
5985.451;0
5992.495;1
5987.212;0
5969.601;0
5967.252;0
5971.949;1
5966.665;0
5979.58;1
6001.301;1
5991.321;0
6010.106;1
5970.188;0
5994.256;1
6008.345;1
6007.758;0
6020.086;1
6008.932;0
6009.519;1
6001.301;0
6006.584;1
5961.969;0
5897.395;0
5886.241;0
5953.163;1
5940.836;0
5926.747;0
5939.075;1
5943.184;1
5936.139;0
5944.358;1
5962.556;1
5971.949;1
5938.487;0
5902.678;0
5893.872;0
5919.702;1
5920.876;1
5943.184;1
5953.163;1
5938.487;0
5968.426;1
5999.54;1
5991.321;0
6072.919;1
6069.397;0
6072.332;1
6094.053;1
6058.83;0
6048.851;0
6015.39;0
5980.754;0
5985.451;1
6014.803;1
6011.28;0
6011.28;1
6020.673;1
6010.693;0
6009.519;0
5966.665;0
5944.358;0
5984.277;1
6000.714;1
5986.625;0
5987.212;1
5995.43;1
6014.803;1
5964.317;0
5951.402;0
5955.512;1
5954.925;0
5998.952;1
5989.56;0
6023.021;1
6057.069;1
6022.434;0
6016.564;0
6018.325;1
6069.984;1
6060.005;0
6072.332;1
6065.875;0
6073.506;1
6058.83;0
6050.612;0
6055.308;1
6032.414;0
6036.523;1
6032.414;0
6017.151;0
6020.086;1
6041.806;1
6076.442;1
6115.773;1
6128.688;1
6142.777;1
6154.518;1
6165.085;1
6146.886;0
6150.409;1
6136.907;0
6144.538;1
6135.733;0
6150.996;1
6115.186;0
6128.101;1
6139.255;1
6136.32;0
6172.129;1
6179.761;1
6166.259;0
6185.044;1
6203.829;1
6223.788;1
6263.707;1
6295.994;1
6277.796;0
6291.885;1
6314.78;1
6317.128;1
6324.172;1
6232.594;0
6242.574;1
6273.1;1
6274.274;1
6260.782;0
6247.877;0
6250.223;1
6276.034;1
6274.86;0
6250.223;0
6270.754;1
6304.19;1
6276.034;0
6261.369;0
6256.089;0
6259.609;1
6239.078;0
6220.893;0
6231.452;1
6236.731;1
6243.771;1
6257.849;1
6277.207;1
6243.771;0
6238.491;0
6240.838;1
6246.117;1
6240.838;0
6247.877;1
6267.821;1
6243.771;0
6283.659;1
6298.324;1
6305.364;1
6306.537;1
6306.537;1
6314.163;1
6321.788;1
6326.481;1
6320.615;0
6327.068;1
6335.28;1
6353.465;1
6384.555;1
6376.342;0
6376.929;1
6391.594;1
6371.063;0
6379.275;1
6361.677;0
6327.068;0
6273.687;0
6299.498;1
6313.576;1
6324.135;1
6320.615;0
6317.682;0
6310.643;0
