OutPut |T+1|;OutPut_class |T+1|
9.83;1
9.83;1
9.82;0
9.81;0
9.81;1
9.83;1
9.84;1
9.85;1
9.85;1
9.81;0
9.82;1
9.85;1
9.85;1
9.85;1
9.84;0
9.79;0
9.81;1
9.8;0
9.89;1
9.9;1
9.98;1
10.01;1
9.95;0
9.97;1
9.97;1
9.95;0
9.94;0
9.95;1
9.95;1
9.95;1
9.95;1
9.91;0
9.93;1
9.98;1
9.98;1
9.98;1
9.97;0
9.96;0
9.94;0
9.94;1
9.96;1
9.91;0
9.85;0
9.83;0
9.88;1
9.87;0
9.85;0
9.81;0
9.84;1
9.83;0
9.81;0
9.84;1
9.82;0
9.84;1
9.83;0
9.82;0
9.83;1
9.84;1
9.85;1
9.82;0
9.87;1
9.86;0
9.83;0
9.83;1
9.85;1
9.88;1
9.88;1
9.88;1
9.82;0
9.8;0
9.87;1
9.88;1
9.89;1
9.85;0
9.87;1
9.91;1
9.96;1
9.91;0
9.84;0
9.86;1
9.85;0
9.85;1
9.87;1
9.86;0
9.81;0
9.84;1
9.84;1
9.83;0
9.82;0
9.88;1
9.91;1
9.91;1
9.9;0
9.94;1
9.94;1
9.99;1
9.97;0
9.94;0
9.97;1
10.03;1
10.07;1
10.06;0
10.05;0
10.07;1
10.12;1
10.14;1
10.12;0
10.12;1
10.15;1
10.13;0
10.12;0
10.11;0
10.11;1
10.08;0
10.1;1
10.09;0
10.13;1
10.12;0
10.1;0
10.11;1
10.1;0
10.13;1
10.12;0
10.12;1
10.14;1
10.11;0
10.12;1
10.14;1
10.13;0
10.12;0
10.14;1
10.13;0
10.21;1
10.18;0
10.23;1
10.25;1
10.2;0
10.2;1
10.19;0
10.18;0
10.17;0
10.18;1
10.18;1
10.16;0
10.15;0
10.2;1
10.2;1
10.2;1
10.19;0
10.18;0
10.18;1
10.15;0
10.15;1
10.16;1
10.18;1
10.21;1
10.21;1
10.21;1
10.22;1
10.25;1
10.24;0
10.17;0
10.14;0
10.13;0
10.15;1
9.98;0
10.0;1
9.96;0
9.95;0
