OutPut |T+1|;OutPut_class |T+1|
20.37;1
20.39;1
20.39;1
20.37;0
20.38;1
20.38;1
20.36;0
20.33;0
20.31;0
20.29;0
20.31;1
20.33;1
20.34;1
20.35;1
20.34;0
20.34;1
20.4;1
20.4;1
20.4;1
20.4;1
20.4;1
20.43;1
20.43;1
20.43;1
20.42;0
20.42;1
20.41;0
20.41;1
20.39;0
20.41;1
20.42;1
20.41;0
20.41;1
20.43;1
20.43;1
20.43;1
20.45;1
20.44;0
20.44;1
20.39;0
20.41;1
20.41;1
20.42;1
20.41;0
20.42;1
20.43;1
20.44;1
20.43;0
20.41;0
20.41;1
20.42;1
20.46;1
20.47;1
20.46;0
20.48;1
20.48;1
20.47;0
20.47;1
20.48;1
20.48;1
20.48;1
20.45;0
20.48;1
20.45;0
20.43;0
20.41;0
20.4;0
20.39;0
20.42;1
20.42;1
20.42;1
20.39;0
20.37;0
20.33;0
20.33;1
20.34;1
20.35;1
20.41;1
20.4;0
20.39;0
20.42;1
20.48;1
20.46;0
20.48;1
20.48;1
20.48;1
20.48;1
20.49;1
20.46;0
20.46;1
20.48;1
20.49;1
20.52;1
20.51;0
20.5;0
20.52;1
20.53;1
20.52;0
20.52;1
20.48;0
20.48;1
20.49;1
20.51;1
20.49;0
20.53;1
20.48;0
20.49;1
20.52;1
20.33;0
20.36;1
20.28;0
20.28;1
20.28;1
20.29;1
20.3;1
20.31;1
20.33;1
20.33;1
20.34;1
20.36;1
20.37;1
20.36;0
20.36;1
20.36;1
20.37;1
20.37;1
20.39;1
20.38;0
20.37;0
20.36;0
20.36;1
20.34;0
20.35;1
20.35;1
20.34;0
20.33;0
20.33;1
20.33;1
20.32;0
20.32;1
20.33;1
20.33;1
20.33;1
20.32;0
20.33;1
20.33;1
20.33;1
20.34;1
20.34;1
20.33;0
20.34;1
20.34;1
20.35;1
20.33;0
20.34;1
20.33;0
20.34;1
20.34;1
20.35;1
20.35;1
20.35;1
20.34;0
20.36;1
20.35;0
20.36;1
20.35;0
20.36;1
20.36;1
20.36;1
20.36;1
20.36;1
20.37;1
20.38;1
20.37;0
20.39;1
20.36;0
20.36;1
20.39;1
20.39;1
20.38;0
20.39;1
20.39;1
20.37;0
20.39;1
20.37;0
20.36;0
20.36;1
20.35;0
20.37;1
20.36;0
20.37;1
20.37;1
20.37;1
20.37;1
20.37;1
20.36;0
20.36;1
20.38;1
20.38;1
20.37;0
20.37;1
20.36;0
20.36;1
20.35;0
20.34;0
20.35;1
20.34;0
20.34;1
20.36;1
20.37;1
20.37;1
20.36;0
20.37;1
20.38;1
20.37;0
20.37;1
20.36;0
20.33;0
20.32;0
20.31;0
20.28;0
20.31;1
20.31;1
20.31;1
20.31;1
20.3;0
20.3;1
20.3;1
20.3;1
20.3;1
20.28;0
20.3;1
20.3;1
20.3;1
20.33;1
20.33;1
20.33;1
20.34;1
20.3;0
20.33;1
20.3;0
20.29;0
20.28;0
20.31;1
20.31;1
20.34;1
20.34;1
20.36;1
20.35;0
20.34;0
20.34;1
20.34;1
20.35;1
20.37;1
20.4;1
20.39;0
20.4;1
20.4;1
20.4;1
20.41;1
20.42;1
20.44;1
20.43;0
20.43;1
20.43;1
20.43;1
20.43;1
20.43;1
20.45;1
20.45;1
20.46;1
20.46;1
20.48;1
20.48;1
