OutPut |T+1|;OutPut_class |T+1|
6323.866;0
6330.849;1
6300.009;0
6310.483;1
6308.156;0
6306.41;0
6311.647;1
6304.664;0
6301.755;0
6315.138;1
6348.887;1
6352.96;1
6412.894;1
6419.876;1
6424.532;1
6416.967;0
6400.093;0
6387.291;0
6399.511;1
6371.58;0
6355.87;0
6377.981;1
6400.093;1
6407.657;1
6413.476;1
6398.929;0
6397.183;0
6426.277;1
6412.312;0
6401.838;0
6418.131;1
6448.389;1
6482.719;1
6476.901;0
6475.155;0
6483.301;1
6480.392;0
6486.211;1
6483.301;0
6483.301;1
6507.74;1
6533.925;1
6476.901;0
6455.953;0
6445.479;0
6454.207;1
6463.517;1
6472.828;1
6475.737;1
6469.336;0
6511.232;1
6553.127;1
6557.782;1
6573.493;1
6571.165;0
6567.092;0
6535.671;0
6529.852;0
6538.58;1
6553.127;1
6496.685;0
6537.998;1
6534.507;0
6580.475;1
6566.51;0
6569.42;1
6624.698;1
6655.538;1
6643.318;0
6650.301;1
6634.008;0
6631.099;0
6640.409;1
6638.081;0
6644.482;1
6642.736;0
6624.698;0
6608.987;0
6592.695;0
6603.75;1
6570.583;0
6608.987;1
6607.242;0
6589.785;0
6596.768;1
6613.06;1
6596.768;0
6611.315;1
6589.654;0
6579.116;0
6560.967;0
6572.091;1
6573.262;1
6580.287;1
6556.869;0
6577.36;1
6487.203;0
6506.522;1
6520.572;1
6521.743;1
6534.037;1
6541.063;1
6544.575;1
6514.133;0
6512.962;0
6522.914;1
6529.354;1
6521.743;0
6540.477;1
6553.357;1
6541.063;0
6533.452;0
6545.746;1
6527.012;0
6513.547;0
6508.278;0
6494.228;0
6507.107;1
6525.256;1
6564.48;1
6550.43;0
6563.895;1
6579.116;1
6624.194;1
6593.752;0
6625.951;1
6650.539;1
6689.763;1
6707.326;1
6715.522;1
6672.785;0
6689.763;1
6635.318;0
6645.27;1
6648.197;1
6661.662;1
6627.707;0
6620.682;0
6596.094;0
6603.704;1
6624.194;1
6564.48;0
6522.914;0
6498.326;0
6510.035;1
6500.668;0
6507.693;1
6510.035;1
6529.939;1
6534.037;1
6551.6;1
6563.309;1
6564.48;1
6542.234;0
6528.183;0
6514.133;0
6506.522;0
6505.937;0
6527.012;1
6467.883;0
6476.079;1
6463.2;0
6469.054;1
6474.323;1
6477.836;1
6491.301;1
6484.275;0
6464.371;0
6410.511;0
6401.144;0
6403.485;1
6394.704;0
6392.362;0
6391.191;0
6386.508;0
6402.315;1
6440.953;1
6471.981;1
6474.909;1
6479.592;1
6477.836;0
6460.858;0
6461.444;1
6456.175;0
