OutPut |T+1|;OutPut_class |T+1|
146.228;0
145.951;0
145.546;0
145.377;0
145.094;0
145.221;1
145.311;1
145.42;1
145.209;0
145.172;0
145.034;0
145.046;1
145.269;1
145.257;0
146.312;1
145.866;0
145.751;0
145.981;1
146.101;1
146.125;1
145.764;0
146.071;1
145.758;0
145.516;0
145.667;1
145.89;1
145.878;0
145.776;0
145.003;0
144.509;0
144.099;0
144.032;0
142.434;0
142.217;0
142.729;1
143.073;1
142.772;0
142.687;0
142.699;1
142.621;0
142.603;0
142.416;0
142.325;0
142.307;0
143.176;1
142.862;0
143.14;1
142.989;0
143.501;1
143.918;1
143.489;0
143.158;0
143.224;1
143.556;1
143.363;0
143.471;1
143.194;0
142.735;0
143.188;1
143.218;1
142.494;0
142.277;0
142.018;0
141.571;0
141.487;0
141.058;0
140.793;0
141.469;1
142.41;1
142.416;1
142.295;0
142.633;1
142.343;0
141.71;0
141.891;1
142.084;1
141.776;0
141.257;0
141.095;0
140.365;0
140.286;0
140.154;0
140.395;1
140.057;0
139.267;0
139.574;1
141.107;1
141.004;0
141.42;1
142.313;1
142.778;1
143.743;1
143.803;1
143.851;1
143.103;0
142.108;0
142.361;1
142.452;1
142.138;0
141.782;0
142.802;1
141.993;0
142.772;1
142.693;0
142.597;0
142.962;1
143.327;1
142.877;0
142.591;0
141.848;0
141.951;1
142.262;1
142.098;0
142.785;1
143.26;1
143.942;1
143.796;0
144.325;1
143.887;0
143.844;0
144.648;1
144.721;1
145.615;1
145.22;0
144.97;0
145.08;1
145.08;1
144.879;0
145.183;1
145.165;0
145.043;0
144.568;0
144.928;1
144.818;0
145.439;1
145.341;0
145.658;1
146.753;1
146.729;0
146.26;0
147.52;1
147.484;0
147.392;0
147.368;0
147.149;0
146.985;0
146.802;0
147.137;1
147.283;1
146.985;0
147.149;1
146.954;0
146.583;0
146.193;0
146.333;1
147.149;1
147.581;1
146.966;0
146.918;0
146.65;0
146.814;1
147.192;1
147.356;1
147.301;0
147.368;1
147.593;1
148.062;1
148.171;1
147.745;0
147.703;0
147.301;0
147.173;0
147.77;1
148.019;1
148.184;1
148.384;1
148.658;1
148.506;0
148.774;1
148.938;1
149.23;1
149.206;0
149.437;1
149.243;0
149.243;1
148.884;0
148.61;0
148.269;0
147.666;0
147.52;0
147.788;1
148.208;1
149.133;1
148.451;0
149.048;1
148.756;0
148.823;1
149.109;1
149.236;1
149.2;0
149.249;1
149.663;1
149.93;1
149.79;0
149.93;1
150.095;1
150.295;1
149.784;0
150.101;1
150.095;0
150.076;0
150.052;0
149.736;0
149.644;0
149.699;1
150.082;1
150.052;0
150.308;1
150.314;1
149.876;0
149.778;0
149.906;1
149.796;0
149.991;1
148.975;0
149.474;1
150.326;1
150.046;0
148.914;0
148.944;1
149.803;1
149.65;0
149.675;1
149.614;0
149.632;1
149.638;1
149.608;0
150.131;1
149.803;0
149.602;0
149.821;1
148.963;0
148.896;0
148.342;0
148.786;1
149.285;1
148.336;0
147.758;0
147.405;0
147.891;1
148.153;1
148.178;1
147.94;0
148.281;1
148.488;1
148.476;0
148.81;1
149.06;1
149.389;1
149.541;1
150.101;1
150.186;1
150.271;1
149.851;0
