OutPut |T+1|;OutPut_class |T+1|
121.23;1
121.26;1
121.275;1
121.115;0
121.215;1
121.33;1
121.405;1
121.525;1
121.475;0
121.43;0
121.425;0
121.455;1
121.45;0
121.375;0
121.67;1
121.53;0
121.375;0
121.175;0
121.19;1
121.43;1
121.58;1
121.175;0
121.035;0
120.54;0
120.41;0
120.47;1
120.605;1
120.61;1
120.65;1
120.815;1
120.885;1
120.72;0
120.355;0
120.145;0
120.19;1
120.145;0
120.14;0
120.33;1
120.18;0
120.455;1
120.93;1
121.145;1
121.17;1
121.19;1
121.225;1
121.235;1
121.13;0
121.22;1
121.295;1
121.575;1
121.525;0
121.54;1
121.275;0
121.32;1
121.42;1
121.315;0
121.31;0
121.24;0
121.29;1
121.225;0
121.26;1
120.96;0
120.86;0
120.875;1
120.94;1
121.075;1
121.155;1
121.1;0
120.855;0
121.075;1
121.145;1
121.13;0
121.09;0
121.0;0
121.025;1
121.0;0
120.895;0
120.89;0
120.885;0
120.895;1
120.835;0
120.8;0
120.7;0
120.925;1
120.77;0
120.78;1
120.745;0
120.63;0
120.735;1
120.72;0
120.665;0
120.565;0
120.47;0
120.105;0
119.975;0
120.08;1
120.175;1
120.095;0
119.815;0
119.985;1
119.68;0
119.665;0
119.695;1
119.92;1
120.095;1
120.035;0
119.91;0
119.935;1
120.13;1
120.04;0
120.005;0
119.835;0
119.45;0
119.226;0
119.221;0
119.236;1
119.185;0
119.124;0
119.195;1
119.073;0
119.083;1
119.119;1
119.124;1
119.109;0
118.996;0
118.971;0
118.981;1
119.068;1
119.063;0
118.905;0
118.981;1
118.874;0
118.94;1
118.915;0
118.94;1
118.961;1
118.935;0
118.854;0
118.793;0
118.966;1
118.991;1
119.037;1
119.185;1
119.19;1
119.165;0
119.297;1
119.368;1
119.272;0
119.282;1
119.241;0
119.175;0
119.109;0
119.251;1
119.394;1
119.394;1
119.44;1
119.409;0
119.389;0
119.44;1
119.317;0
119.297;0
119.323;1
119.261;0
119.409;1
119.475;1
119.532;1
119.547;1
119.475;0
119.501;1
119.511;1
119.552;1
119.419;0
119.562;1
119.557;0
119.475;0
119.526;1
119.613;1
119.858;1
119.837;0
119.853;1
119.827;0
119.669;0
119.797;1
119.919;1
119.827;0
119.929;1
119.873;0
119.791;0
119.751;0
119.842;1
119.848;1
119.526;0
119.542;1
119.822;1
119.868;1
119.776;0
120.107;1
119.965;0
120.26;1
120.036;0
120.138;1
120.016;0
120.067;1
120.113;1
120.102;0
120.143;1
120.357;1
120.434;1
120.245;0
120.25;1
120.128;0
119.934;0
120.021;1
119.944;0
119.863;0
119.888;1
119.842;0
119.96;1
120.031;1
120.072;1
119.985;0
119.955;0
119.96;1
119.919;0
119.96;1
119.985;1
119.985;1
119.863;0
119.705;0
119.893;1
119.863;0
119.827;0
119.883;1
119.939;1
119.98;1
119.97;0
119.863;0
119.797;0
119.832;1
119.822;0
119.853;1
119.853;1
119.761;0
119.791;1
119.741;0
119.7;0
119.628;0
119.695;1
119.649;0
119.761;1
119.695;0
119.664;0
119.715;1
119.628;0
119.669;1
119.695;1
119.644;0
119.664;1
119.618;0
119.628;1
119.73;1
119.7;0
119.756;1
119.776;1
119.746;0
119.705;0
119.73;1
119.766;1
119.776;1
119.751;0
119.73;0
119.659;0
119.664;1
119.72;1
119.786;1
119.827;1
119.751;0
119.848;1
119.853;1
119.919;1
119.899;0
119.914;1
119.868;0
120.021;1
120.164;1
120.051;0
120.057;1
120.113;1
119.853;0
119.832;0
119.858;1
119.761;0
119.858;1
119.807;0
119.562;0
119.475;0
119.45;0
119.481;1
119.537;1
119.399;0
119.475;1
119.384;0
119.384;1
119.481;1
119.317;0
119.292;0
119.139;0
119.486;1
119.348;0
119.547;1
119.425;0
119.567;1
119.644;1
119.746;1
119.863;1
119.888;1
119.939;1
120.128;1
120.204;1
120.271;1
120.087;0
120.158;1
120.194;1
120.25;1
120.092;0
120.041;0
119.414;0
119.353;0
119.557;1
119.618;1
119.516;0
119.501;0
119.506;1
119.465;0
119.43;0
119.537;1
119.572;1
119.613;1
119.501;0
119.526;1
119.394;0
119.445;1
119.516;1
119.343;0
119.287;0
119.368;1
119.394;1
119.404;1
119.44;1
119.414;0
119.368;0
119.302;0
119.292;0
119.261;0
119.557;1
119.526;0
119.603;1
119.628;1
119.603;0
119.644;1
119.628;0
119.613;0
119.562;0
119.649;1
119.613;0
119.583;0
119.633;1
119.613;0
119.695;1
119.812;1
119.832;1
119.822;0
119.878;1
119.791;0
119.771;0
119.797;1
119.791;0
119.802;1
119.817;1
119.832;1
120.011;1
120.087;1
119.837;0
119.827;0
119.817;0
119.863;1
119.848;0
119.791;0
119.904;1
119.904;1
119.751;0
119.817;1
119.776;0
119.817;1
119.802;0
119.848;1
119.715;0
119.802;1
119.771;0
119.802;1
119.934;1
119.883;0
119.909;1
120.016;1
119.756;0
119.684;0
119.593;0
119.45;0
119.358;0
119.114;0
119.022;0
119.017;0
119.027;1
118.991;0
118.966;0
118.92;0
118.935;1
118.976;1
119.063;1
119.088;1
118.966;0
119.068;1
119.063;0
119.236;1
119.358;1
119.236;0
119.267;1
119.267;1
119.149;0
119.205;1
119.119;0
119.068;0
118.869;0
118.334;0
118.16;0
118.104;0
118.074;0
118.104;1
118.069;0
118.053;0
118.043;0
118.079;1
118.11;1
118.053;0
118.053;1
117.89;0
117.992;1
117.88;0
117.952;1
117.895;0
117.763;0
117.799;1
117.875;1
117.768;0
117.814;1
117.778;0
117.834;1
117.86;1
117.758;0
117.748;0
117.753;1
117.87;1
117.901;1
117.987;1
117.794;0
117.732;0
117.697;0
117.61;0
117.411;0
117.33;0
117.411;1
117.457;1
117.284;0
117.299;1
117.33;1
117.192;0
117.274;1
117.228;0
117.472;1
117.595;1
117.651;1
117.641;0
117.681;1
117.824;1
117.824;1
117.717;0
117.737;1
117.799;1
117.829;1
117.783;0
117.743;0
117.773;1
117.722;0
117.829;1
117.977;1
117.936;0
118.059;1
118.191;1
118.145;0
117.962;0
117.788;0
117.972;1
117.87;0
117.748;0
117.783;1
117.804;1
117.661;0
117.646;0
117.748;1
117.722;0
118.028;1
118.15;1
118.278;1
118.344;1
118.339;0
118.293;0
118.288;0
118.227;0
118.318;1
118.084;0
118.359;1
118.262;0
118.273;1
118.038;0
118.094;1
118.038;0
117.997;0
118.283;1
118.257;0
118.14;0
117.967;0
117.967;1
118.023;1
118.104;1
117.87;0
118.038;1
118.247;1
117.875;0
117.921;1
118.059;1
117.534;0
117.437;0
117.427;0
117.427;1
117.294;0
117.314;1
117.279;0
117.284;1
117.258;0
117.248;0
117.192;0
117.243;1
117.131;0
117.197;1
117.228;1
117.212;0
117.304;1
117.243;0
117.207;0
117.085;0
117.151;1
117.014;0
116.922;0
116.983;1
116.902;0
117.004;1
116.942;0
117.019;1
116.958;0
116.907;0
116.886;0
116.942;1
116.907;0
117.151;1
117.141;0
117.218;1
117.258;1
117.187;0
117.187;1
117.156;0
117.126;0
117.167;1
117.085;0
117.167;1
117.121;0
117.075;0
116.978;0
117.095;1
117.116;1
117.049;0
117.004;0
116.998;0
116.993;0
116.891;0
116.881;0
116.993;1
117.044;1
116.881;0
116.891;1
116.922;1
116.947;1
116.942;0
117.085;1
116.846;0
116.652;0
116.586;0
116.494;0
116.575;1
