OutPut |T+1|;OutPut_class |T+1|
12.9;0
12.92;1
12.82;0
12.77;0
12.71;0
12.77;1
12.75;0
12.74;0
12.66;0
12.79;1
12.84;1
12.66;0
12.72;1
12.72;1
12.66;0
12.74;1
12.82;1
12.82;1
12.79;0
12.81;1
12.85;1
12.81;0
12.82;1
12.72;0
12.8;1
12.79;0
12.85;1
12.76;0
12.75;0
12.81;1
12.82;1
12.84;1
12.8;0
12.81;1
12.8;0
12.8;1
12.8;1
12.83;1
12.77;0
12.8;1
12.87;1
12.77;0
12.89;1
12.87;0
12.89;1
12.84;0
12.63;0
12.61;0
12.59;0
12.59;1
12.59;1
12.59;1
12.6;1
12.64;1
12.62;0
12.56;0
12.43;0
12.03;0
12.05;1
12.06;1
12.07;1
11.93;0
11.82;0
11.91;1
11.72;0
11.56;0
11.61;1
11.52;0
11.52;1
11.71;1
11.85;1
11.95;1
12.09;1
12.17;1
12.2;1
12.11;0
11.96;0
12.03;1
12.16;1
12.29;1
12.27;0
12.27;1
12.27;1
12.31;1
12.34;1
12.36;1
12.45;1
12.42;0
12.59;1
12.61;1
12.66;1
12.65;0
12.63;0
12.57;0
12.63;1
12.66;1
12.62;0
12.63;1
12.58;0
12.6;1
12.58;0
12.51;0
12.49;0
12.42;0
12.51;1
12.48;0
12.56;1
12.66;1
12.75;1
12.64;0
12.61;0
12.66;1
12.56;0
12.62;1
12.71;1
12.73;1
12.89;1
13.07;1
13.05;0
13.06;1
13.09;1
13.07;0
13.05;0
13.08;1
13.09;1
13.07;0
13.0;0
12.97;0
12.95;0
13.08;1
13.05;0
13.01;0
13.14;1
13.12;0
13.13;1
13.14;1
13.14;1
13.15;1
13.12;0
13.12;1
13.13;1
13.16;1
13.13;0
13.11;0
13.12;1
13.18;1
13.1;0
13.13;1
13.16;1
13.13;0
13.17;1
13.17;1
13.16;0
13.23;1
13.27;1
13.28;1
13.28;1
13.28;1
13.32;1
13.28;0
13.29;1
13.31;1
13.1;0
13.13;1
13.13;1
13.11;0
13.13;1
13.1;0
13.12;1
13.15;1
13.09;0
13.08;0
13.04;0
13.01;0
12.96;0
12.99;1
