OutPut |T+1|;OutPut_class |T+1|
6496.505;0
6504.696;1
6505.866;1
6507.037;1
6498.26;0
6498.845;1
6506.451;1
6503.526;0
6493.579;0
6504.111;1
6518.739;1
6518.739;1
6535.122;1
6543.899;1
6558.527;1
6562.037;1
6558.527;0
6553.26;0
6551.505;0
6556.771;1
6564.963;1
6568.473;1
6577.835;1
6573.154;0
6571.984;0
6571.399;0
6562.622;0
6551.505;0
6545.069;0
6538.048;0
6531.026;0
6522.25;0
6528.686;1
6552.09;1
6542.143;0
6534.537;0
6551.505;1
6528.101;0
6524.005;0
6522.25;0
6515.228;0
6543.314;1
6546.824;1
6546.239;0
6543.899;0
6545.069;1
6543.899;0
6537.462;0
6535.707;0
6533.952;0
6537.462;1
6539.803;1
6539.803;1
6540.388;1
6541.558;1
6544.484;1
6540.388;0
6538.633;0
6540.388;1
6539.803;0
6540.388;1
6541.558;1
6547.994;1
6542.143;0
6539.803;0
6533.952;0
6540.388;1
6538.048;0
6543.314;1
6542.728;0
6537.462;0
6542.143;1
6538.633;0
6537.462;0
6537.462;1
6536.877;0
6535.707;0
6534.537;0
6528.101;0
6529.856;1
6529.856;1
6537.462;1
6552.09;1
6559.697;1
6555.601;0
6550.335;0
6552.09;1
6548.58;0
6548.58;1
6545.654;0
6554.431;1
6552.675;0
6549.75;0
6544.484;0
6542.728;0
6540.973;0
6536.292;0
6534.537;0
6555.016;1
6561.452;1
6563.207;1
6571.399;1
6564.963;0
6577.25;1
6581.931;1
6574.91;0
6575.495;1
6567.303;0
6563.793;0
6556.771;0
6570.814;1
6576.665;1
6586.027;1
6585.442;0
6580.176;0
6587.782;1
6598.314;1
6598.314;1
6610.016;1
6610.602;1
6608.261;0
6601.825;0
6613.527;1
6620.548;1
6629.91;1
6641.027;1
6642.783;1
6636.932;0
6641.612;1
6642.783;1
6632.251;0
6640.442;1
6645.123;1
6634.591;0
6634.006;0
6627.57;0
6625.814;0
6628.155;1
6636.932;1
6630.495;0
6627.57;0
6626.985;0
6621.134;0
6610.016;0
6600.07;0
6591.878;0
6587.782;0
6584.271;0
6592.463;1
6579.005;0
6579.591;1
6574.325;0
6580.176;1
6586.612;1
6586.027;0
6582.516;0
6583.686;1
6583.686;1
6582.516;0
6577.835;0
6586.612;1
6591.293;1
6591.293;1
6585.442;0
6586.027;1
6585.442;0
6586.027;1
6586.612;1
6585.442;0
6587.782;1
6579.591;0
6576.08;0
6579.005;1
6578.42;0
6576.08;0
6572.569;0
6569.644;0
6582.516;1
6581.346;0
6582.516;1
6584.857;1
6590.708;1
6590.708;1
6571.399;0
6572.569;1
6571.984;0
6576.08;1
6577.25;1
6571.399;0
6579.005;1
6579.591;1
6582.516;1
6591.293;1
6592.463;1
6589.537;0
6580.176;0
6579.591;0
6581.346;1
6585.442;1
6584.857;0
6579.005;0
6576.08;0
6577.25;1
6577.25;1
6570.229;0
6567.303;0
6574.91;1
6570.814;0
6572.569;1
6575.495;1
6576.08;1
6581.931;1
6581.346;0
6577.835;0
6579.005;1
6577.835;0
6576.08;0
6576.08;1
6578.42;1
6584.271;1
6590.123;1
6590.708;1
6597.144;1
6595.389;0
6587.197;0
6593.633;1
6598.314;1
6598.314;1
6603.58;1
6607.091;1
6605.336;0
6604.75;0
6605.921;1
6594.803;0
6591.293;0
6594.218;1
6593.633;0
6582.516;0
6579.005;0
6574.91;0
6578.42;1
6571.399;0
6560.867;0
6568.473;1
6572.569;1
6570.229;0
6557.356;0
6570.229;1
6579.005;1
6581.346;1
6583.101;1
6595.389;1
6605.921;1
6603.58;0
6618.793;1
6624.059;1
6628.155;1
6625.814;0
6623.474;0
6624.644;1
6617.623;0
6628.155;1
6632.251;1
6629.325;0
6635.761;1
6635.761;1
6640.442;1
6643.953;1
6641.612;0
6641.612;1
6649.804;1
6647.464;0
6646.879;0
6648.049;1
6646.879;0
6645.708;0
6646.293;1
6648.634;1
6655.07;1
6662.091;1
6665.602;1
6671.453;1
6665.017;0
6665.017;1
6653.315;0
6650.974;0
6649.219;0
6652.145;1
6653.315;1
6658.581;1
6655.07;0
6662.091;1
6655.07;0
6665.017;1
6658.581;0
6657.411;0
6653.9;0
6649.804;0
6654.485;1
6657.996;1
6655.07;0
6653.315;0
6655.07;1
6655.07;1
6655.655;1
6651.559;0
6644.538;0
6638.687;0
6644.538;1
6643.953;0
6642.783;0
6647.464;1
6642.783;0
6638.102;0
6653.315;1
6651.559;0
6653.315;1
6655.655;1
6658.581;1
6657.411;0
6663.847;1
6669.698;1
6669.113;0
6662.677;0
6666.772;1
6663.847;0
6661.506;0
6665.017;1
6665.017;1
6657.411;0
6653.9;0
6648.634;0
6653.9;1
6655.07;1
6651.559;0
6653.315;1
6657.411;1
6642.783;0
6653.315;1
6656.825;1
6650.389;0
6653.315;1
6655.07;1
6668.528;1
6689.007;1
6689.007;1
6692.517;1
6710.656;1
6708.9;0
6711.241;1
6714.166;1
6701.879;0
6697.783;0
6699.539;1
6707.145;1
6687.836;0
6681.985;0
6668.528;0
6661.506;0
6676.134;1
6680.815;1
6680.815;1
6677.304;0
6691.932;1
6689.007;0
6697.198;1
6694.858;0
6687.251;0
6684.911;0
6680.23;0
6682.57;1
6687.251;1
6686.081;0
6686.081;1
6686.081;1
6687.836;1
6690.177;1
6697.783;1
6693.688;0
6697.198;1
6703.049;1
6693.688;0
6686.081;0
6679.645;0
6673.209;0
6675.549;1
6666.772;0
6673.794;1
6668.528;0
6670.283;1
6673.209;1
6674.964;1
6675.549;1
6670.283;0
6673.794;1
6673.209;0
6659.166;0
6656.24;0
6655.07;0
6653.9;0
6650.389;0
6650.974;1
6647.464;0
6650.974;1
6646.879;0
6649.804;1
6646.293;0
6649.804;1
6647.464;0
6638.102;0
6638.687;1
6648.634;1
6657.411;1
6670.868;1
6669.698;0
6670.283;1
6674.379;1
6684.911;1
6684.326;0
6687.251;1
6681.985;0
6680.23;0
6672.623;0
6673.794;1
6668.528;0
6667.943;0
6668.528;1
6679.06;1
6669.113;0
6672.623;1
6676.134;1
6680.815;1
6683.155;1
6687.251;1
6691.932;1
6695.443;1
6703.049;1
6696.613;0
6704.22;1
6699.539;0
6705.39;1
6712.996;1
6706.56;0
6709.486;1
6718.262;1
6712.411;0
6701.879;0
6700.709;0
6696.028;0
6690.762;0
6692.517;1
6700.124;1
6709.486;1
6708.9;0
6719.432;1
6718.847;0
6701.879;0
6708.9;1
6700.709;0
6690.177;0
6686.081;0
6680.815;0
6676.134;0
6673.209;0
6673.209;1
6681.985;1
6698.954;1
6715.337;1
6716.507;1
6718.262;1
6717.677;0
6732.305;1
6739.326;1
6720.603;0
6712.996;0
6704.805;0
6703.634;0
6703.634;1
6705.975;1
6699.539;0
6693.102;0
6696.613;1
6692.517;0
6702.464;1
6700.709;0
6707.73;1
6712.996;1
6714.166;1
6706.56;0
6704.805;0
6708.315;1
6707.73;0
6703.634;0
6710.656;1
6715.922;1
6713.581;0
6712.996;0
6711.826;0
6717.677;1
6720.018;1
6712.996;0
6698.954;0
6671.453;0
6669.698;0
6670.283;1
6672.038;1
6672.038;1
6678.475;1
6677.304;0
6676.134;0
6678.475;1
6675.549;0
6679.645;1
6676.134;0
6678.475;1
6674.379;0
6679.06;1
6677.889;0
6672.623;0
6668.528;0
6660.336;0
6662.091;1
6657.411;0
6668.528;1
6673.794;1
6678.475;1
6675.549;0
6683.155;1
6677.304;0
6673.209;0
6673.794;1
6676.719;1
6672.038;0
6676.719;1
6674.379;0
6670.283;0
6672.623;1
6672.038;0
6674.964;1
6667.943;0
6671.453;1
6672.623;1
6668.528;0
6646.293;0
6633.421;0
6633.421;1
6632.836;0
6628.155;0
6628.74;1
6621.134;0
6616.453;0
6615.868;0
6619.378;1
6620.548;1
6613.527;0
6604.75;0
6608.261;1
6607.091;0
6612.357;1
6610.602;0
6610.016;0
6607.091;0
6612.942;1
6612.357;0
6609.431;0
6610.602;1
6611.187;1
6608.261;0
6606.506;0
6603.58;0
6605.336;1
6601.825;0
6603.58;1
6611.187;1
6617.623;1
6620.548;1
6635.176;1
6636.932;1
6639.272;1
6641.027;1
6634.006;0
6666.772;1
6652.73;0
6644.538;0
6656.825;1
6653.315;0
6641.612;0
6647.464;1
6652.145;1
6656.825;1
6657.996;1
6656.825;0
6655.07;0
6648.049;0
6646.293;0
6650.389;1
6652.73;1
6655.07;1
6655.07;1
6653.9;0
6654.485;1
6656.24;1
6653.315;0
6650.974;0
6655.655;1
6651.559;0
6653.315;1
6650.389;0
6643.953;0
6647.464;1
6642.198;0
6642.783;1
6640.442;0
6646.879;1
6648.049;1
6647.464;0
6648.634;1
6649.804;1
6638.687;0
6636.932;0
6637.517;1
6630.495;0
6631.08;1
6631.08;1
6633.421;1
6629.91;0
6631.08;1
6631.666;1
6628.74;0
6628.74;1
6626.985;0
6624.644;0
6625.229;1
6632.251;1
6634.591;1
6636.346;1
6635.761;0
6632.836;0
6630.495;0
6618.793;0
6624.644;1
6624.644;1
6625.229;1
6627.57;1
6640.442;1
6626.4;0
6631.666;1
6622.889;0
6619.378;0
6612.357;0
6615.282;1
6613.527;0
6611.187;0
6611.772;1
6602.995;0
6610.016;1
6605.921;0
6607.091;1
6608.261;1
6603.58;0
6604.75;1
6612.942;1
6615.868;1
6614.697;0
6614.112;0
6604.75;0
6594.803;0
6593.048;0
6597.729;1
6598.899;1
6586.612;0
6594.803;1
6594.803;1
6601.24;1
6601.825;1
6605.336;1
6600.07;0
6594.803;0
6601.24;1
6602.995;1
6598.899;0
6594.803;0
6592.463;0
6595.389;1
6590.123;0
6568.473;0
6568.473;1
6567.303;0
6560.282;0
6528.101;0
6529.856;1
6531.026;1
6532.196;1
6540.388;1
6541.558;1
6539.803;0
6533.367;0
6529.856;0
6533.367;1
6532.782;0
6533.952;1
6531.611;0
6533.952;1
6531.026;0
6527.516;0
6529.856;1
6531.026;1
6529.856;0
6532.782;1
6525.175;0
6526.345;1
6525.175;0
6523.42;0
6525.76;1
6528.686;1
6532.196;1
6533.367;1
6522.835;0
6512.888;0
6516.398;1
6516.984;1
6515.228;0
6507.037;0
6507.622;1
6501.185;0
6507.037;1
6502.356;0
6498.845;0
6497.09;0
6496.505;0
6493.579;0
6498.26;1
6501.771;1
6497.675;0
6494.749;0
6502.941;1
6498.845;0
6494.164;0
6496.505;1
6499.43;1
6503.526;1
6512.303;1
6525.175;1
6516.984;0
6529.856;1
6529.271;0
6527.516;0
6532.196;1
6533.367;1
6532.782;0
6524.005;0
6531.026;1
6540.388;1
6550.92;1
6550.92;1
6551.505;1
6562.037;1
6553.846;0
6547.409;0
6546.239;0
6546.824;1
6543.314;0
6549.75;1
6555.016;1
6549.165;0
6556.771;1
6559.112;1
6565.548;1
6570.229;1
6576.665;1
6570.814;0
6560.867;0
6540.388;0
6540.388;1
6547.409;1
6550.335;1
6548.58;0
6545.069;0
6540.388;0
6538.048;0
6533.952;0
6540.388;1
6542.143;1
6538.048;0
6553.846;1
6556.186;1
6555.016;0
6559.112;1
6553.26;0
6574.325;1
6569.644;0
6566.133;0
6563.207;0
6559.697;0
6568.473;1
