OutPut |T+1|;OutPut_class |T+1|
111.178;1
111.132;0
111.275;1
111.27;0
111.529;1
111.285;0
111.224;0
111.438;1
111.484;1
111.795;1
111.744;0
111.713;0
111.56;0
111.565;1
111.371;0
111.351;0
111.422;1
111.321;0
111.519;1
111.611;1
111.907;1
112.263;1
112.911;1
113.981;1
113.487;0
113.013;0
113.028;1
113.237;1
113.222;0
113.232;1
113.324;1
112.997;0
113.038;1
113.196;1
113.237;1
113.252;1
113.186;0
113.39;1
113.13;0
113.155;1
113.176;1
113.716;1
113.691;0
113.68;0
113.675;0
113.731;1
113.864;1
113.665;0
113.971;1
114.108;1
114.205;1
114.047;0
113.589;0
113.217;0
112.615;0
113.818;1
114.328;1
114.333;1
114.042;0
114.45;1
113.905;0
112.799;0
112.758;0
112.911;1
112.885;0
112.895;1
113.099;1
113.038;0
113.232;1
113.069;0
113.191;1
112.809;0
113.089;1
113.385;1
112.635;0
113.155;1
113.441;1
113.288;0
113.431;1
112.06;0
111.886;0
111.642;0
111.667;1
111.642;0
111.769;1
111.672;0
111.698;1
111.586;0
111.54;0
112.111;1
112.223;1
112.121;0
112.07;0
111.769;0
112.284;1
112.263;0
112.59;1
113.247;1
113.008;0
112.788;0
112.967;1
112.865;0
112.875;1
113.849;1
113.915;1
113.859;0
113.782;0
114.068;1
114.129;1
113.93;0
113.798;0
113.507;0
113.578;1
113.018;0
113.038;1
113.41;1
113.252;0
113.237;0
113.482;1
113.619;1
113.64;1
113.736;1
113.543;0
113.538;0
113.594;1
113.584;0
113.767;1
113.578;0
113.645;1
113.415;0
114.343;1
113.599;0
113.589;0
113.609;1
113.803;1
113.813;1
113.604;0
113.68;1
113.93;1
113.95;1
114.047;1
113.905;0
113.721;0
113.721;1
113.93;1
113.742;0
113.538;0
113.354;0
112.972;0
113.996;1
113.39;0
113.293;0
113.247;0
113.268;1
112.946;0
112.987;1
112.962;0
112.61;0
112.483;0
112.365;0
112.503;1
112.401;0
112.386;0
112.116;0
112.467;1
112.126;0
112.488;1
111.953;0
112.146;1
112.839;1
112.748;0
112.692;0
112.498;0
112.452;0
112.381;0
112.513;1
112.483;0
112.585;1
112.498;0
112.212;0
112.309;1
112.212;0
112.503;1
112.284;0
112.564;1
111.886;0
111.713;0
111.163;0
110.948;0
111.02;1
111.749;1
112.009;1
112.33;1
112.274;0
112.437;1
112.437;1
112.223;0
112.411;1
112.309;0
112.253;0
112.717;1
113.364;1
113.079;0
112.248;0
112.029;0
112.258;1
112.309;1
112.258;0
112.228;0
112.228;1
112.131;0
111.968;0
111.866;0
111.947;1
112.07;1
111.825;0
111.774;0
111.795;1
111.815;1
111.937;1
112.029;1
112.08;1
111.932;0
111.774;0
111.8;1
111.784;0
111.54;0
111.626;1
111.499;0
111.494;0
111.529;1
111.56;1
111.443;0
111.642;1
111.662;1
111.784;1
111.886;1
111.851;0
110.882;0
110.954;1
110.979;1
111.417;1
111.723;1
111.529;0
111.397;0
111.397;1
111.091;0
111.101;1
111.045;0
110.48;0
110.398;0
110.5;1
110.5;1
110.388;0
110.709;1
110.342;0
110.118;0
109.904;0
110.189;1
110.994;1
110.979;0
110.862;0
110.852;0
110.739;0
110.602;0
110.459;0
110.301;0
110.5;1
110.51;1
110.459;0
110.469;1
110.225;0
110.408;1
110.362;0
110.648;1
110.383;0
110.342;0
110.806;1
110.821;1
110.48;0
110.439;0
110.337;0
110.541;1
110.658;1
110.678;1
110.765;1
111.076;1
110.612;0
110.561;0
110.214;0
110.123;0
109.965;0
109.007;0
108.762;0
108.945;1
109.093;1
109.18;1
109.47;1
109.506;1
109.486;0
109.368;0
109.593;1
109.751;1
109.761;1
109.832;1
109.898;1
109.542;0
109.868;1
109.475;0
109.43;0
109.552;1
109.542;0
109.424;0
108.645;0
108.772;1
108.599;0
108.436;0
108.487;1
108.609;1
108.405;0
107.911;0
107.804;0
107.411;0
107.131;0
106.499;0
106.514;1
106.341;0
106.229;0
106.351;1
106.219;0
106.055;0
106.377;1
105.612;0
105.541;0
105.5;0
105.775;1
105.602;0
106.05;1
105.801;0
105.067;0
104.689;0
104.511;0
104.481;0
104.873;1
104.842;0
105.53;1
106.433;1
106.05;0
105.423;0
105.097;0
105.245;1
105.189;0
105.204;1
105.505;1
105.505;1
105.357;0
105.199;0
105.113;0
105.169;1
105.169;1
105.087;0
105.194;1
104.939;0
104.863;0
105.408;1
105.398;0
105.265;0
104.893;0
105.097;1
105.164;1
105.357;1
105.291;0
105.26;0
105.332;1
105.113;0
105.332;1
105.337;1
105.337;1
105.077;0
105.393;1
105.276;0
105.811;1
107.014;1
107.299;1
106.953;0
107.289;1
107.676;1
107.829;1
107.635;0
107.539;0
107.635;1
107.758;1
107.85;1
107.972;1
107.88;0
107.432;0
107.483;1
106.917;0
107.559;1
106.239;0
106.264;1
106.82;1
106.412;0
106.478;1
106.56;1
106.443;0
106.275;0
106.035;0
106.305;1
106.336;1
106.01;0
106.066;1
105.964;0
105.836;0
106.31;1
106.198;0
106.626;1
106.219;0
106.285;1
105.622;0
106.02;1
106.239;1
106.106;0
105.954;0
106.137;1
106.122;0
106.055;0
105.959;0
106.366;1
106.586;1
106.596;1
106.453;0
106.575;1
106.494;0
106.239;0
106.417;1
106.922;1
106.907;0
106.912;1
107.554;1
106.983;0
106.728;0
106.631;0
106.596;0
106.555;0
106.494;0
106.346;0
106.738;1
106.723;0
106.693;0
106.723;1
106.377;0
106.346;0
106.509;1
106.738;1
107.309;1
107.151;0
107.834;1
107.732;0
107.727;0
107.62;0
107.605;0
107.753;1
107.671;0
107.743;1
107.722;0
107.712;0
107.916;1
107.895;0
107.834;0
108.166;1
107.885;0
107.253;0
107.559;1
107.411;0
108.196;1
108.166;0
108.115;0
107.967;0
108.084;1
107.941;0
108.247;1
108.191;0
108.135;0
107.982;0
107.997;1
108.002;1
108.002;1
107.89;0
107.518;0
107.406;0
108.227;1
108.267;1
107.901;0
107.86;0
107.625;0
107.641;1
107.625;0
107.676;1
108.048;1
108.15;1
108.196;1
108.064;0
108.028;0
108.415;1
108.451;1
108.303;0
107.982;0
108.64;1
108.843;1
108.991;1
109.888;1
110.158;1
110.174;1
110.067;0
109.975;0
109.791;0
109.786;0
110.051;1
