low|T-2|_SMA_3,low|T-2|_SMA_5,low|T-2|_SMA_15,low|T-2|_SMA_30,low|T-2|_SMA_200,close|T-2|_SMA_3,close|T-2|_SMA_5,close|T-2|_SMA_15,close|T-2|_SMA_30,close|T-2|_SMA_200,high|T-2|,low|T-2|,close|T-2|,high|T-1|,low|T-1|,close|T-1|,high,low,close
105188.40149999999,104679.98086000001,105973.59378666668,106062.55993666666,95221.6127135,115591.65000000001,115032.946,116454.49866666667,116552.26366666667,104639.13484999999,116341.8697,104822.8727,115189.97,114907.9929,103530.9639,113770.29,113696.003,102438.97300000001,112570.3
104646.52076666667,104681.74990000001,105687.97451333333,106023.13661333335,95306.8108265,114996.17666666665,115034.89000000001,116140.63133333335,116508.94133333334,104732.75915,114907.9929,103530.9639,113770.29,113696.003,102438.97300000001,112570.3,116524.3161,104987.25510000001,115370.61
103597.60320000001,104307.02828,105306.30049333333,105882.60531333335,95380.448072,113843.52,114623.10800000001,115721.20933333333,116354.51133333333,104813.6792,113696.003,102438.97300000001,112570.3,116524.3161,104987.25510000001,115370.61,117840.8713,106173.45830000001,116674.13
103652.39733333334,104273.15808000001,105205.87107333334,105847.31642333334,95467.51054750002,113903.73333333334,114585.88799999999,115610.84733333332,116315.73233333332,104909.35225,116524.3161,104987.25510000001,115370.61,117840.8713,106173.45830000001,116674.13,116819.02399999999,105252.784,115662.4
104533.2288,104390.70460000001,105101.69245333334,105878.52305333335,95560.72357650001,114871.68000000001,114715.05999999998,115496.36533333334,116350.02533333334,105011.78415,117840.8713,106173.45830000001,116674.13,116819.02399999999,105252.784,115662.4,115524.51710000001,104086.44610000002,114380.71
105471.16580000002,104476.68686,104867.20183333334,105790.23182000002,95648.579845,115902.38,114809.546,115238.68333333333,116253.00200000001,105108.32949999999,116819.02399999999,105252.784,115662.4,115524.51710000001,104086.44610000002,114380.71,116462.1708,104931.26280000001,115309.08
105170.89613333334,104587.78330000001,104624.79906666667,105687.10243,95734.36140450001,115572.41333333333,114931.63,114972.30666666667,116139.673,105202.59495000001,115524.51710000001,104086.44610000002,114380.71,116462.1708,104931.26280000001,115309.08,116127.06289999999,104629.3339,114977.29
104756.83096666668,105086.24126000001,104674.98496000002,105648.19629000002,95822.181819,115117.39666666667,115479.38599999998,115027.456,116096.91900000001,105299.1009,116462.1708,104931.26280000001,115309.08,116127.06289999999,104629.3339,114977.29,117682.7659,106031.00690000001,116517.59
104549.01426666668,105014.65702,104583.88243333335,105597.09524000001,95913.0390855,114889.02666666666,115400.722,114927.34333333332,116040.764,105398.94404999999,116127.06289999999,104629.3339,114977.29,117682.7659,106031.00690000001,116517.59,115732.1024,104273.4784,114586.24
105197.20120000001,104986.16674000002,104652.60260000001,105607.79138000001,96015.38419200001,115601.31999999999,115369.41399999999,115002.86,116052.518,105511.41120000002,117682.7659,106031.00690000001,116517.59,115732.1024,104273.4784,114586.24,114818.2342,103450.0922,113681.42
104977.93973333335,104790.30562000001,104648.99111333334,105566.54532666667,96101.7870085,115360.37333333334,115154.182,114998.89133333332,116007.19266666667,105606.35935,115732.1024,104273.4784,114586.24,114818.2342,103450.0922,113681.42,106775.4729,96203.6439,105718.29
104584.85916666668,104663.03484000001,104644.18934666667,105511.27799333334,96187.661752,114928.41666666667,115014.324,114993.61466666668,115946.45933333335,105700.7272,114818.2342,103450.0922,113681.42,106775.4729,96203.6439,105718.29,104013.37539999999,93715.0214,102983.54
