OutPut |T+1|;OutPut_class |T+1|
19.11;1
18.96;0
18.87;0
18.86;0
18.7;0
18.64;0
18.79;1
18.61;0
18.61;1
18.61;1
18.58;0
18.63;1
18.58;0
18.58;1
18.61;1
18.52;0
18.51;0
18.5;0
18.47;0
18.49;1
18.48;0
18.4;0
18.37;0
18.34;0
18.35;1
18.44;1
18.48;1
18.47;0
18.45;0
18.44;0
18.49;1
18.51;1
18.66;1
18.51;0
18.45;0
18.45;1
18.45;1
18.51;1
18.54;1
18.81;1
18.85;1
18.87;1
18.85;0
18.87;1
18.88;1
18.88;1
18.86;0
18.81;0
18.76;0
18.76;1
18.81;1
18.79;0
18.8;1
18.83;1
18.82;0
18.79;0
18.77;0
18.76;0
18.8;1
18.9;1
18.85;0
18.79;0
18.74;0
18.79;1
18.87;1
19.04;1
19.05;1
19.01;0
18.99;0
18.97;0
19.11;1
19.16;1
19.22;1
19.18;0
19.18;1
19.18;1
19.14;0
19.17;1
19.18;1
19.04;0
19.04;1
19.08;1
19.06;0
19.04;0
18.99;0
18.98;0
18.98;1
19.01;1
19.04;1
19.06;1
19.15;1
19.16;1
19.14;0
19.05;0
19.01;0
18.84;0
18.64;0
18.47;0
18.43;0
18.47;1
18.48;1
18.49;1
18.47;0
18.61;1
18.68;1
18.68;1
18.64;0
18.73;1
18.72;0
18.66;0
18.67;1
18.66;0
18.62;0
18.64;1
18.68;1
18.72;1
18.66;0
18.68;1
18.66;0
18.73;1
18.65;0
18.55;0
18.62;1
18.66;1
18.64;0
18.77;1
18.78;1
18.61;0
18.62;1
18.76;1
18.77;1
18.89;1
18.89;1
19.03;1
18.82;0
18.93;1
18.92;0
18.81;0
18.73;0
18.77;1
18.86;1
18.79;0
18.96;1
19.02;1
19.01;0
19.15;1
19.18;1
19.17;0
19.21;1
19.28;1
19.4;1
19.37;0
19.35;0
19.39;1
19.42;1
19.6;1
19.65;1
19.8;1
19.78;0
19.77;0
19.79;1
19.57;0
19.62;1
19.67;1
19.66;0
19.59;0
19.48;0
19.52;1
19.56;1
19.54;0
19.43;0
19.46;1
19.52;1
19.43;0
19.48;1
19.52;1
19.45;0
19.37;0
19.47;1
19.54;1
19.5;0
19.6;1
19.69;1
19.7;1
19.74;1
19.72;0
19.76;1
19.71;0
19.66;0
19.47;0
19.49;1
19.54;1
19.77;1
19.76;0
19.76;1
19.71;0
19.83;1
19.83;1
19.76;0
19.44;0
19.55;1
19.52;0
19.53;1
19.64;1
19.57;0
19.67;1
19.51;0
19.53;1
19.61;1
19.62;1
19.66;1
19.69;1
19.71;1
19.67;0
19.69;1
19.68;0
19.61;0
19.58;0
19.56;0
19.52;0
19.42;0
19.35;0
19.39;1
19.46;1
19.44;0
19.25;0
19.22;0
19.3;1
