neighbors;weights;algorithm;distance;accuracy;f1_score;True Positive;False Positive;False Negative;True Negative
15;uniform;auto;chebyshev;0.6156462585034014;0.718204488778055;37;30;83;144
1;uniform;auto;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
1;uniform;auto;chebyshev;0.5748299319727891;0.6438746438746439;56;61;64;113
1;uniform;auto;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
1;uniform;ball_tree;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
1;uniform;ball_tree;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
1;uniform;ball_tree;chebyshev;0.5748299319727891;0.6438746438746439;56;61;64;113
1;uniform;ball_tree;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
1;uniform;kd_tree;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
1;uniform;kd_tree;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
1;uniform;kd_tree;chebyshev;0.5748299319727891;0.6438746438746439;56;61;64;113
1;uniform;kd_tree;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
1;uniform;brute;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
1;uniform;brute;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
1;uniform;brute;chebyshev;0.5714285714285714;0.6420454545454546;55;61;65;113
1;uniform;brute;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
1;distance;auto;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
1;distance;auto;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
1;distance;auto;chebyshev;0.5748299319727891;0.6438746438746439;56;61;64;113
1;distance;auto;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
1;distance;ball_tree;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
1;distance;ball_tree;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
1;distance;ball_tree;chebyshev;0.5748299319727891;0.6438746438746439;56;61;64;113
1;distance;ball_tree;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
1;distance;kd_tree;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
1;distance;kd_tree;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
1;distance;kd_tree;chebyshev;0.5748299319727891;0.6438746438746439;56;61;64;113
1;distance;kd_tree;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
1;distance;brute;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
1;distance;brute;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
1;distance;brute;chebyshev;0.5714285714285714;0.6420454545454546;55;61;65;113
1;distance;brute;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
2;uniform;auto;euclidean;0.5;0.4768683274021352;80;107;40;67
2;uniform;auto;manhattan;0.5136054421768708;0.5017421602787456;79;102;41;72
2;uniform;auto;chebyshev;0.5136054421768708;0.49110320284697506;82;105;38;69
2;uniform;auto;minkowski;0.5;0.4768683274021352;80;107;40;67
2;uniform;ball_tree;euclidean;0.5;0.4768683274021352;80;107;40;67
2;uniform;ball_tree;manhattan;0.5136054421768708;0.5017421602787456;79;102;41;72
2;uniform;ball_tree;chebyshev;0.5136054421768708;0.49110320284697506;82;105;38;69
2;uniform;ball_tree;minkowski;0.5;0.4768683274021352;80;107;40;67
2;uniform;kd_tree;euclidean;0.5;0.4768683274021352;80;107;40;67
2;uniform;kd_tree;manhattan;0.5136054421768708;0.5017421602787456;79;102;41;72
2;uniform;kd_tree;chebyshev;0.5136054421768708;0.49110320284697506;82;105;38;69
2;uniform;kd_tree;minkowski;0.5;0.4768683274021352;80;107;40;67
2;uniform;brute;euclidean;0.5;0.4768683274021352;80;107;40;67
2;uniform;brute;manhattan;0.5136054421768708;0.5017421602787456;79;102;41;72
2;uniform;brute;chebyshev;0.5136054421768708;0.49110320284697506;82;105;38;69
2;uniform;brute;minkowski;0.5;0.4768683274021352;80;107;40;67
2;distance;auto;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
2;distance;auto;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
2;distance;auto;chebyshev;0.5714285714285714;0.64;56;62;64;112
2;distance;auto;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
2;distance;ball_tree;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
2;distance;ball_tree;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
2;distance;ball_tree;chebyshev;0.5714285714285714;0.64;56;62;64;112
2;distance;ball_tree;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
2;distance;kd_tree;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
2;distance;kd_tree;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
2;distance;kd_tree;chebyshev;0.5714285714285714;0.64;56;62;64;112
2;distance;kd_tree;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
2;distance;brute;euclidean;0.5510204081632653;0.6228571428571428;53;65;67;109
2;distance;brute;manhattan;0.5476190476190477;0.621082621082621;52;65;68;109
2;distance;brute;chebyshev;0.5714285714285714;0.64;56;62;64;112
2;distance;brute;minkowski;0.5510204081632653;0.6228571428571428;53;65;67;109
3;uniform;auto;euclidean;0.5918367346938775;0.6808510638297872;46;46;74;128
3;uniform;auto;manhattan;0.5748299319727891;0.6684350132625995;43;48;77;126
3;uniform;auto;chebyshev;0.5714285714285714;0.6538461538461539;49;55;71;119
3;uniform;auto;minkowski;0.5918367346938775;0.6808510638297872;46;46;74;128
3;uniform;ball_tree;euclidean;0.5918367346938775;0.6808510638297872;46;46;74;128
3;uniform;ball_tree;manhattan;0.5748299319727891;0.6684350132625995;43;48;77;126
3;uniform;ball_tree;chebyshev;0.5714285714285714;0.6538461538461539;49;55;71;119
3;uniform;ball_tree;minkowski;0.5918367346938775;0.6808510638297872;46;46;74;128
3;uniform;kd_tree;euclidean;0.5918367346938775;0.6808510638297872;46;46;74;128
3;uniform;kd_tree;manhattan;0.5748299319727891;0.6684350132625995;43;48;77;126
3;uniform;kd_tree;chebyshev;0.5714285714285714;0.6538461538461539;49;55;71;119
3;uniform;kd_tree;minkowski;0.5918367346938775;0.6808510638297872;46;46;74;128
3;uniform;brute;euclidean;0.5918367346938775;0.6808510638297872;46;46;74;128
3;uniform;brute;manhattan;0.5748299319727891;0.6684350132625995;43;48;77;126
3;uniform;brute;chebyshev;0.5748299319727891;0.6575342465753424;49;54;71;120
3;uniform;brute;minkowski;0.5918367346938775;0.6808510638297872;46;46;74;128
3;distance;auto;euclidean;0.5918367346938775;0.6756756756756758;49;49;71;125
3;distance;auto;manhattan;0.5850340136054422;0.6702702702702703;48;50;72;124
3;distance;auto;chebyshev;0.564625850340136;0.6404494382022472;52;60;68;114
3;distance;auto;minkowski;0.5918367346938775;0.6756756756756758;49;49;71;125
3;distance;ball_tree;euclidean;0.5918367346938775;0.6756756756756758;49;49;71;125
3;distance;ball_tree;manhattan;0.5850340136054422;0.6702702702702703;48;50;72;124
3;distance;ball_tree;chebyshev;0.564625850340136;0.6404494382022472;52;60;68;114
3;distance;ball_tree;minkowski;0.5918367346938775;0.6756756756756758;49;49;71;125
3;distance;kd_tree;euclidean;0.5918367346938775;0.6756756756756758;49;49;71;125
3;distance;kd_tree;manhattan;0.5850340136054422;0.6702702702702703;48;50;72;124
3;distance;kd_tree;chebyshev;0.564625850340136;0.6404494382022472;52;60;68;114
3;distance;kd_tree;minkowski;0.5918367346938775;0.6756756756756758;49;49;71;125
3;distance;brute;euclidean;0.5918367346938775;0.6756756756756758;49;49;71;125
3;distance;brute;manhattan;0.5850340136054422;0.6702702702702703;48;50;72;124
3;distance;brute;chebyshev;0.5680272108843537;0.6442577030812325;52;59;68;115
3;distance;brute;minkowski;0.5918367346938775;0.6756756756756758;49;49;71;125
4;uniform;auto;euclidean;0.5204081632653061;0.5579937304075235;64;85;56;89
4;uniform;auto;manhattan;0.54421768707483;0.5812499999999999;67;81;53;93
4;uniform;auto;chebyshev;0.5408163265306123;0.5659163987138265;71;86;49;88
4;uniform;auto;minkowski;0.5204081632653061;0.5579937304075235;64;85;56;89
4;uniform;ball_tree;euclidean;0.5204081632653061;0.5579937304075235;64;85;56;89
4;uniform;ball_tree;manhattan;0.54421768707483;0.5812499999999999;67;81;53;93
4;uniform;ball_tree;chebyshev;0.5408163265306123;0.5659163987138265;71;86;49;88
4;uniform;ball_tree;minkowski;0.5204081632653061;0.5579937304075235;64;85;56;89
4;uniform;kd_tree;euclidean;0.5204081632653061;0.5579937304075235;64;85;56;89
4;uniform;kd_tree;manhattan;0.54421768707483;0.5812499999999999;67;81;53;93
4;uniform;kd_tree;chebyshev;0.5408163265306123;0.5659163987138265;71;86;49;88
4;uniform;kd_tree;minkowski;0.5204081632653061;0.5579937304075235;64;85;56;89
4;uniform;brute;euclidean;0.5204081632653061;0.5579937304075235;64;85;56;89
4;uniform;brute;manhattan;0.54421768707483;0.5812499999999999;67;81;53;93
4;uniform;brute;chebyshev;0.5340136054421769;0.5566343042071198;71;88;49;86
4;uniform;brute;minkowski;0.5204081632653061;0.5579937304075235;64;85;56;89
4;distance;auto;euclidean;0.5850340136054422;0.6737967914438503;46;48;74;126
4;distance;auto;manhattan;0.6020408163265306;0.6863270777479893;49;46;71;128
4;distance;auto;chebyshev;0.5782312925170068;0.6612021857923497;49;53;71;121
4;distance;auto;minkowski;0.5850340136054422;0.6737967914438503;46;48;74;126
4;distance;ball_tree;euclidean;0.5850340136054422;0.6737967914438503;46;48;74;126
4;distance;ball_tree;manhattan;0.6020408163265306;0.6863270777479893;49;46;71;128
4;distance;ball_tree;chebyshev;0.5782312925170068;0.6612021857923497;49;53;71;121
4;distance;ball_tree;minkowski;0.5850340136054422;0.6737967914438503;46;48;74;126
4;distance;kd_tree;euclidean;0.5850340136054422;0.6737967914438503;46;48;74;126
4;distance;kd_tree;manhattan;0.6020408163265306;0.6863270777479893;49;46;71;128
4;distance;kd_tree;chebyshev;0.5782312925170068;0.6612021857923497;49;53;71;121
4;distance;kd_tree;minkowski;0.5850340136054422;0.6737967914438503;46;48;74;126
4;distance;brute;euclidean;0.5850340136054422;0.6737967914438503;46;48;74;126
4;distance;brute;manhattan;0.6020408163265306;0.6863270777479893;49;46;71;128
4;distance;brute;chebyshev;0.5748299319727891;0.6575342465753424;49;54;71;120
4;distance;brute;minkowski;0.5850340136054422;0.6737967914438503;46;48;74;126
5;uniform;auto;euclidean;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;auto;manhattan;0.5544217687074829;0.6597402597402598;36;47;84;127
5;uniform;auto;chebyshev;0.5544217687074829;0.6449864498644986;44;55;76;119
5;uniform;auto;minkowski;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;ball_tree;euclidean;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;ball_tree;manhattan;0.5544217687074829;0.6597402597402598;36;47;84;127
