kernel;regularization;gamma;degree;coef0;accuracy;f1_score;True Positive;False Positive;False Negative;True Negative
poly;0.01;0.21000000000000002;2;-1;0.6054421768707483;0.7478260869565218;6;2;114;172
linear;0.51;default;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.01;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.01;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.01;2;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.01;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.01;3;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.01;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.01;4;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.01;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.21000000000000002;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.21000000000000002;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.21000000000000002;2;-1;0.6054421768707483;0.7478260869565218;6;2;114;172
poly;0.01;0.21000000000000002;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.21000000000000002;3;-1;0.5884353741496599;0.7386609071274297;2;3;118;171
poly;0.01;0.21000000000000002;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.21000000000000002;4;-1;0.5272108843537415;0.6584766584766585;21;40;99;134
poly;0.01;0.21000000000000002;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.41000000000000003;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.41000000000000003;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.41000000000000003;2;-1;0.5510204081632653;0.6842105263157895;19;31;101;143
poly;0.01;0.41000000000000003;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.41000000000000003;3;-1;0.54421768707483;0.6436170212765957;39;53;81;121
poly;0.01;0.41000000000000003;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.41000000000000003;4;-1;0.5306122448979592;0.6349206349206349;36;54;84;120
poly;0.01;0.41000000000000003;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.6100000000000001;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.6100000000000001;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.6100000000000001;2;-1;0.5238095238095238;0.6373056994818653;31;51;89;123
poly;0.01;0.6100000000000001;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.6100000000000001;3;-1;0.5238095238095238;0.5930232558139535;52;72;68;102
poly;0.01;0.6100000000000001;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.6100000000000001;4;-1;0.5204081632653061;0.6178861788617886;39;60;81;114
poly;0.01;0.6100000000000001;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.81;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.81;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.81;2;-1;0.5204081632653061;0.6178861788617886;39;60;81;114
poly;0.01;0.81;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.81;3;-1;0.5034013605442177;0.562874251497006;54;80;66;94
poly;0.01;0.81;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.01;0.81;4;-1;0.5204081632653061;0.6178861788617886;39;60;81;114
poly;0.01;0.81;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.01;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.01;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.01;2;-1;0.5238095238095238;0.641025641025641;29;49;91;125
poly;0.51;0.01;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.01;3;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.01;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.01;4;-1;0.5204081632653061;0.6178861788617886;39;60;81;114
poly;0.51;0.01;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.21000000000000002;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.21000000000000002;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.21000000000000002;2;-1;0.5204081632653061;0.6178861788617886;39;60;81;114
poly;0.51;0.21000000000000002;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.21000000000000002;3;-1;0.48299319727891155;0.5308641975308641;56;88;64;86
poly;0.51;0.21000000000000002;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.21000000000000002;4;-1;0.5102040816326531;0.6065573770491803;39;63;81;111
poly;0.51;0.21000000000000002;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.41000000000000003;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.41000000000000003;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.41000000000000003;2;-1;0.5102040816326531;0.6065573770491803;39;63;81;111
poly;0.51;0.41000000000000003;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.41000000000000003;3;-1;0.47959183673469385;0.5233644859813084;57;90;63;84
poly;0.51;0.41000000000000003;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.41000000000000003;4;-1;0.5136054421768708;0.6060606060606061;41;64;79;110
poly;0.51;0.41000000000000003;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.6100000000000001;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.6100000000000001;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.6100000000000001;2;-1;0.5102040816326531;0.6065573770491803;39;63;81;111
poly;0.51;0.6100000000000001;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.6100000000000001;3;-1;0.47619047619047616;0.5157232704402515;58;92;62;82
poly;0.51;0.6100000000000001;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.6100000000000001;4;-1;0.5136054421768708;0.6060606060606061;41;64;79;110
poly;0.51;0.6100000000000001;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.81;1;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.81;1;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.81;2;-1;0.5136054421768708;0.6060606060606061;41;64;79;110
poly;0.51;0.81;2;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.81;3;-1;0.47619047619047616;0.51875;57;91;63;83
poly;0.51;0.81;3;0;0.5918367346938775;0.7435897435897436;0;0;120;174
poly;0.51;0.81;4;-1;0.5136054421768708;0.6060606060606061;41;64;79;110
poly;0.51;0.81;4;0;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.01;0.01;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.01;0.21000000000000002;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.01;0.41000000000000003;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.01;0.6100000000000001;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.01;0.81;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.51;0.01;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.51;0.21000000000000002;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.51;0.41000000000000003;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.51;0.6100000000000001;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
rbf;0.51;0.81;default;default;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.01;default;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.01;default;0;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.21000000000000002;default;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.21000000000000002;default;0;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.41000000000000003;default;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.41000000000000003;default;0;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.6100000000000001;default;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.6100000000000001;default;0;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.81;default;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.01;0.81;default;0;0.5918367346938775;0.7435897435897436;0;0;120;174
