Loss;Optimizer;Epochs;Batch Size;MSE;MAE;RMSE;R2_Score
mae;adam;30;10;0.056568968166872555;0.19281809800336153;0.23784231786390023;-0.17814315211272325
mae;adam;10;30;0.12814352516295638;0.29755493527367005;0.3579714027166924;-1.6688027296692343
mae;adam;10;50;0.0988577910293632;0.2610738331282221;0.3144165883495386;-1.0588784506492068
mae;adam;10;70;0.12025503184150044;0.29361174395295236;0.3467780728960533;-1.504511693641414
mae;adam;10;90;0.07705366009599725;0.22472047961488067;0.27758541045234575;-0.6047710419523353
mae;adam;30;10;0.056568968166872555;0.19281809800336153;0.23784231786390023;-0.17814315211272325
mae;adam;30;30;0.14937148978881717;0.3344259941983385;0.38648607968310733;-2.1109105136308113
mae;adam;30;50;0.08490317334605797;0.24021167495623746;0.29138149108352435;-0.7682502529518525
mae;adam;30;70;0.11140188479949789;0.28408010366011643;0.3337692088846691;-1.320130134278088
mae;adam;30;90;0.08139535893939708;0.2345122740868809;0.28529871878330804;-0.6951941648524755
mae;adam;50;10;0.14093436242592422;0.32678122176605023;0.37541225662719674;-1.9351932582484461
mae;adam;50;30;0.11637208497930693;0.2899563519484333;0.3411335295442342;-1.4236428462158064
mae;adam;50;50;0.07405048488038038;0.2183834296505468;0.27212218740922317;-0.5422249070389948
mae;adam;50;70;0.08468709485350687;0.23621182123819992;0.29101047206845815;-0.7637500577995036
mae;adam;50;90;0.1157444187810166;0.2881080445789156;0.340212314270099;-1.4105706503230513
mae;adam;70;10;0.08646300154533003;0.23621872194770246;0.29404591740973046;-0.8007362779050329
mae;adam;70;30;0.07505897956319235;0.21685635547248688;0.27396893904819275;-0.5632284915659762
mae;adam;70;50;0.10991232831859676;0.27608319081416755;0.3315302826569494;-1.2891076351142003
mae;adam;70;70;0.10135489269851149;0.2640370834765791;0.3183628318420847;-1.1108847595314524
mae;adam;70;90;0.10848800849130674;0.2736081372475138;0.3293751789241362;-1.2594437981145572
mae;adam;90;10;0.09671620966517527;0.254623809477099;0.3109922984017052;-1.0142764453330164
mae;adam;90;30;0.07787323475290484;0.22122155468480123;0.279057762395001;-0.6218400517110507
mae;adam;90;50;0.1300630374690164;0.2986822456567466;0.36064253419281594;-1.7087797763091808
mae;adam;90;70;0.11058903195697901;0.2743214057091954;0.33254929252214477;-1.303201117519925
mae;adam;90;90;0.10803127446615951;0.27128911037834336;0.32868111364384706;-1.249931549942083
mae;sgd;10;10;0.332019451352087;0.5116968898383939;0.5762112905454795;-5.914859076530873
mae;sgd;10;30;0.5361612948758526;0.6772792215412166;0.7322303564288035;-10.16645359559152
mae;sgd;10;50;0.3591611725766227;0.5403539473345491;0.5993005694779729;-6.480130709255568
mae;sgd;10;70;0.3638443671837916;0.5477542503512636;0.6031951319297857;-6.57766605125034
mae;sgd;10;90;0.3791039704199916;0.5603714429115763;0.615714195402373;-6.895472750563874
mae;sgd;30;10;0.35595557877446415;0.5413125651872077;0.5966201293741807;-6.4133688695252165
mae;sgd;30;30;0.07847667510890025;0.22871359935423147;0.2801368863768216;-0.6344077040151772
mae;sgd;30;50;0.07183584289165328;0.21862700884034036;0.2680220940363933;-0.496101292309036
mae;sgd;30;70;0.13565463449515305;0.2937844687740819;0.3683132287810921;-1.8252341144240942
mae;sgd;30;90;0.0828228642855007;0.23616563537493862;0.2877896180988826;-0.7249243455967156
mae;sgd;50;10;0.16044653348148094;0.3481419194798892;0.4005577779565402;-2.341566778163882
mae;sgd;50;30;0.08741745597193644;0.23732083690409758;0.2956644313608528;-0.8206143839258624
mae;sgd;50;50;0.12017805599484233;0.2955086058013294;0.34666706794104674;-1.502908543194144
mae;sgd;50;70;0.15457959512216488;0.3420611774678134;0.39316611644718935;-2.219377997355547
mae;sgd;50;90;0.1472913667572707;0.3327790989518977;0.38378557393063994;-2.067588480640229
mae;sgd;70;10;0.0683817492679913;0.21141692868706322;0.2614990425756685;-0.42416402915321494
mae;sgd;70;30;0.06411342370198127;0.20825191951933367;0.25320628685319263;-0.3352690271841452
mae;sgd;70;50;0.1158458499657501;0.29191292133461055;0.3403613520447792;-1.4126831239915112
mae;sgd;70;70;0.11076205119472483;0.2848066078237937;0.3328093315920166;-1.3068045318429986
mae;sgd;70;90;0.062208141788932976;0.2043123966658197;0.24941560053239048;-0.2955883522232645
mae;sgd;90;10;0.13597175821697127;0.3190874030963094;0.36874348566038595;-1.8318387450783167
mae;sgd;90;30;0.17401371549848235;0.3641704892787804;0.41714951216378326;-2.624125981641763
mae;sgd;90;50;0.10804638392051744;0.28061684446269963;0.3287040978152196;-1.2502462295404704
mae;sgd;90;70;0.05989138297126278;0.19784145770429756;0.2447271602647789;-0.24733798414012664
mae;sgd;90;90;0.06882577829726508;0.21523364813149387;0.26234667578847853;-0.43341167458728025
mae;rmsprop;10;10;0.41966821513787583;0.5809569539180418;0.647818041689081;-7.740290831636576
mae;rmsprop;10;30;0.37292859176715853;0.5472030352897386;0.6106787959043269;-6.766860185984714
mae;rmsprop;10;50;0.22871454831395918;0.4132797726481951;0.47824109852035845;-3.763362097922154
mae;rmsprop;10;70;0.3282701368572636;0.512248071164501;0.5729486336987493;-5.836773346132489
mae;rmsprop;10;90;0.26618237147502233;0.45456733807414573;0.5159286495970371;-4.5436920334366455
mae;rmsprop;30;10;0.1455213042131615;0.26731371548711036;0.3814725471290975;-2.0307239746622914
mae;rmsprop;30;30;0.4159817205159542;0.596056931813558;0.6449664491397628;-7.663513429911564
