Loss;Optimizer;Epochs;Batch Size;MSE;MAE;RMSE;R2_Score
logcosh;rmsprop;10;70;0.05947569344252707;0.2015085970301207;0.24387638967831032;-0.23868055609158478
mae;adam;10;30;0.16957252843000842;0.3254422778174991;0.41179185085429804;-2.53163085045006
mae;adam;10;50;0.14630929406620435;0.30674399473229236;0.3825039791508114;-2.0471351781786455
mae;adam;10;70;0.13199323836811253;0.2907793739215047;0.36330873698290345;-1.7489794307339124
mae;adam;10;90;0.13342386321432084;0.29336307149355106;0.36527231378017255;-1.7787745802729789
mae;adam;30;10;0.08283306207904004;0.2346362780875901;0.2878073349986759;-0.7251367316630408
mae;adam;30;30;0.11038570887145734;0.2736322047434697;0.33224344819944507;-1.298966575002424
mae;adam;30;50;0.10558958647212408;0.2662336711494291;0.32494551308199976;-1.199079323306397
mae;adam;30;70;0.10567287115741948;0.2639842762590266;0.32507363959173846;-1.2008138658451117
mae;adam;30;90;0.10625025755379898;0.26523023073365093;0.32596051532938614;-1.212838900967034
mae;adam;50;10;0.12117164361399241;0.2861476450550313;0.3480971755329141;-1.5236016632466884
mae;adam;50;30;0.09919676549542072;0.2529278676039508;0.3149551801374613;-1.0659381595119997
mae;adam;50;50;0.10931744642484897;0.26842704967576636;0.3306318896066273;-1.2767182270668878
mae;adam;50;70;0.11242779641439977;0.2731893530346099;0.3353025445987545;-1.3414964554774444
mae;adam;50;90;0.09802347942693368;0.2495475544572688;0.3130870157431216;-1.0415025194101752
mae;adam;70;10;0.0785685825181297;0.22314391376209913;0.28030087855397406;-0.6363218291675521
mae;adam;70;30;0.09834494594556077;0.25050037267256764;0.3135999775917734;-1.0481975960542602
mae;adam;70;50;0.10766144101896383;0.26303155834172054;0.3281180290977072;-1.2422291513063057
mae;adam;70;70;0.0974790871091949;0.24759676952751322;0.31221641069808437;-1.0301646410293155
mae;adam;70;90;0.11762727627011664;0.2762389403622167;0.34296833129330856;-1.4497842992381895
mae;adam;90;10;0.11611645010497668;0.27838410358039706;0.34075863907607196;-1.4183188234097877
mae;adam;90;30;0.10221326462843937;0.2571510804104967;0.31970809284164103;-1.1287617872372984
mae;adam;90;50;0.11459651462369662;0.2751642952484339;0.33852106968946055;-1.386663630873115
mae;adam;90;70;0.12116648069937459;0.284614670552364;0.3480897595439639;-1.5234941369350188
mae;adam;90;90;0.10688326939341497;0.26471696918513504;0.32693006804730423;-1.2260224287600439
mae;sgd;10;10;9.659316392235944;2.4309834416707354;3.1079440780419367;-200.17138124268007
mae;sgd;10;30;2.4738070556405285;1.015650291118492;1.5728340839518098;-50.521159686942845
mae;sgd;10;50;1.7445959608035206;0.8673665083022344;1.3208315414175726;-35.33412188748108
mae;sgd;10;70;1.3803109650169887;0.7712748253750962;1.1748663604925407;-27.747279010353132
mae;sgd;10;90;1.179947712765513;0.713999053864252;1.08625398170295;-23.57437995943235
mae;sgd;30;10;0.12545425649077044;0.27584673641490287;0.3541952236984153;-1.6127942223020701
mae;sgd;30;30;0.1332147490664041;0.29665047859659005;0.36498595735507977;-1.7744194292182298
mae;sgd;30;50;0.12537755508439483;0.2880480104563188;0.3540869315357386;-1.6111967875316098
