Loss;Optimizer;Epochs;Batch Size;MSE;MAE;RMSE;R2_Score
mse;adam;70;10;0.05893542443842775;0.19392178983104474;0.24276619294792212;-0.2274285525973596
mae;adam;10;30;0.15150885690331348;0.32374844505673367;0.3892413864214769;-2.1554247501653463
mae;adam;10;50;0.13299630135168836;0.2961874345532891;0.3646865796155493;-1.7698698910610582
mae;adam;10;70;0.1425818700436015;0.31174888844392745;0.3776001457144866;-1.9695053533903324
mae;adam;10;90;0.11464106362975245;0.2779081720884155;0.338586862754231;-1.3875914382579566
mae;adam;30;10;0.1700620910196982;0.3433820928197329;0.41238585210903905;-2.541826808256329
mae;adam;30;30;0.07507902352501121;0.22481814507724482;0.27400551732585826;-0.5636459405158745
mae;adam;30;50;0.09464186682345008;0.25645486675963114;0.3076391828481055;-0.9710747944401912
mae;adam;30;70;0.08429469482397389;0.2360724277885593;0.2903354866770059;-0.7555776724323295
mae;adam;30;90;0.08487251992123743;0.23884884620199406;0.29132888617718194;-0.7676118442321709
mae;adam;50;10;0.081399275071703;0.22624602467024418;0.2853055819147305;-0.6952757248421393
mae;adam;50;30;0.0765235421870554;0.22664593171100236;0.27662888892350956;-0.5937304519527125
mae;adam;50;50;0.0858468249917877;0.2386818814439839;0.29299628835838126;-0.7879033730355849
mae;adam;50;70;0.0876425256099958;0.24401172715790423;0.29604480338285927;-0.825301834685896
mae;adam;50;90;0.08995834176588921;0.24763443083990197;0.29993056157365694;-0.8735325702646226
mae;adam;70;10;0.1274262758586915;0.30332993578748646;0.3569681720527637;-1.6538648161176819
mae;adam;70;30;0.10109411964617342;0.26025629264156835;0.317953014840516;-1.1054537255949426
mae;adam;70;50;0.09955685613947067;0.2523996696991175;0.3155263160807204;-1.073437648015588
mae;adam;70;70;0.10555697302061556;0.26356393152353724;0.3248953262523417;-1.1984000937604704
mae;adam;70;90;0.10525310206868276;0.26514468342268555;0.3244273448226625;-1.1920714741524634
mae;adam;90;10;0.11166887602040225;0.2683744373451285;0.3341689333561728;-1.3256906719505235
mae;adam;90;30;0.10977057460572717;0.2713402473034502;0.3313164267067469;-1.2861553775158079
mae;adam;90;50;0.1219896259651782;0.28992515343387115;0.34927013322810496;-1.5406375105818526
mae;adam;90;70;0.12060791426300786;0.28580140872877474;0.3472865016999766;-1.5118610588830341
mae;adam;90;90;0.1238201536566568;0.2930144216576402;0.3518808799248075;-1.578761304144896
mae;sgd;10;10;0.6717702138570191;0.5627530036329411;0.8196158940973626;-12.9907356081567
mae;sgd;10;30;0.1966174050541546;0.3783335497590149;0.4434156121001544;-3.094885532778356
mae;sgd;10;50;0.22442896665971487;0.4032818812415714;0.47373934463976586;-3.674107709122384
mae;sgd;10;70;0.10429400580190334;0.2693098501607674;0.32294582487145324;-1.172096694064734
mae;sgd;10;90;0.12397595209752622;0.29779201222114826;0.35210218985051234;-1.5820060666386837
mae;sgd;30;10;0.09470093633045179;0.2449822589329311;0.30773517239739073;-0.9723050154858968
mae;sgd;30;30;0.1442588374186927;0.3195912894424127;0.37981421434524104;-2.004430997136423
mae;sgd;30;50;0.06358234325982488;0.20163220866196824;0.2521553950638869;-0.32420839082426256
mae;sgd;30;70;0.11663669268887475;0.2852550893251588;0.34152114530271;-1.429153743287571
mae;sgd;30;90;0.06691559802153624;0.20677579282903352;0.25868049408785393;-0.3936289830502506
mae;sgd;50;10;0.09994566615538254;0.24697193807485152;0.3161418449926908;-1.0815352653588661
mae;sgd;50;30;0.13412706681137698;0.3075626475794786;0.3662336232671394;-1.7934199685354764
mae;sgd;50;50;0.07083601607167858;0.21101653481827307;0.26615036365122363;-0.47527823048869244
mae;sgd;50;70;0.06698811048737105;0.20692062014625193;0.2588206144946168;-0.395139176144353
mae;sgd;50;90;0.08849861923267341;0.23878839298170448;0.2974871749045216;-0.8431314128417098
mae;sgd;70;10;0.08022722420252097;0.22460018728866057;0.28324410709231174;-0.6708658098268747
mae;sgd;70;30;0.10211598928857872;0.2558958524587203;0.31955592513451964;-1.1267358659726896
mae;sgd;70;50;0.12641753747365508;0.2897431130960686;0.3555524398364538;-1.6328561560852384
mae;sgd;70;70;0.10965003399893794;0.27202261022969987;0.33113446513303013;-1.2836449182473744
mae;sgd;70;90;0.07333571135661913;0.21598043844002449;0.270805670835415;-0.5273385557474766
mae;sgd;90;10;0.08030613637021677;0.22318064190092543;0.28338337348937176;-0.672509287390668
mae;sgd;90;30;0.08544796691396049;0.22687633527379458;0.29231484210344244;-0.7795964880368911
mae;sgd;90;50;0.12563936310850943;0.2908221471877325;0.3544564333010609;-1.616649376482303
mae;sgd;90;70;0.07266304825023287;0.21590495570176316;0.26956084331785446;-0.5133292241625327
mae;sgd;90;90;0.10319745204215466;0.25860494211417484;0.3212436023365363;-1.1492591323266375
mae;rmsprop;10;10;0.7711401291213588;0.6262096471202617;0.878145847294946;-15.060279900521255
mae;rmsprop;10;30;0.22171812438784266;0.39690205230193887;0.4708695407305963;-3.617649895544404
mae;rmsprop;10;50;0.18454629274148782;0.3669394721465857;0.42958851560707234;-2.8434844772102212
mae;rmsprop;10;70;0.10896688548782547;0.2710076097241876;0.3301013260921947;-1.269417210613236
mae;rmsprop;10;90;0.07825195416931287;0.2211839108888795;0.2797355075232904;-0.6297275154826552
mae;rmsprop;30;10;0.1164926705692256;0.28736598189996215;0.34131022628867363;-1.4261542423329687
mae;rmsprop;30;30;0.10989465655469571;0.27044989838892103;0.3315036297760489;-1.2887395911441506
mae;rmsprop;30;50;0.0814908088001665;0.22873961857387004;0.2854659503341274;-0.6971820674690459
mae;rmsprop;30;70;0.09464287340080127;0.24423205135630918;0.307640818814411;-0.9710957580930879
mae;rmsprop;30;90;0.08510291708568399;0.2233082106973039;0.2917240426939199;-0.7724102496186396
mae;rmsprop;50;10;0.13715338980136751;0.28808634764483193;0.3703422603502975;-1.8564481944741384
mae;rmsprop;50;30;0.11553874775572087;0.2782919166201637;0.3399099112349048;-1.4062872080420226
mae;rmsprop;50;50;0.09553505190729869;0.24458121954989276;0.3090874502584967;-0.989676864165085
mae;rmsprop;50;70;0.1448166651887463;0.2794545461693589;0.38054784875064834;-2.016048691229911
mae;rmsprop;50;90;0.15353479549303833;0.30363209017280013;0.3918351636760518;-2.1976183017437365
mae;rmsprop;70;10;0.10717666844012709;0.2615402413712067;0.32737847888968985;-1.232132953468584
mae;rmsprop;70;30;0.11366931446411521;0.2634823018028623;0.3371488016649551;-1.3673531404390968
mae;rmsprop;70;50;0.11685658309173995;0.2664228597628016;0.3418429216639419;-1.4337333278327007
mae;rmsprop;70;70;0.10728875340647866;0.25869491473347156;0.3275496197623784;-1.2344673099159627
mae;rmsprop;70;90;0.10069519975746216;0.2468090511503674;0.31732506953826095;-1.097145553281452
mae;rmsprop;90;10;0.11853600655902075;0.28050987139851064;0.34429058447628325;-1.4687101237968343
mae;rmsprop;90;30;0.11096366742146384;0.26677469266515197;0.33311209437885;-1.3110035261783142
mae;rmsprop;90;50;0.10919925923939146;0.256240092167238;0.3304531120134768;-1.2742567817245671
mae;rmsprop;90;70;0.13434590072434308;0.2983087595466043;0.3665322642337821;-1.7979775499156156
mae;rmsprop;90;90;0.14864974256417848;0.3073660803814324;0.3855512191190406;-2.095878923382319
mae;adagrad;10;10;173.7926682884215;9.903823468343539;13.183044727543843;-3618.5223046565548
mae;adagrad;10;30;186.97583032047535;9.798322965602587;13.673910571613204;-3893.0836511785546
mae;adagrad;10;50;189.01296725914375;9.784002999029799;13.748198691433862;-3935.5104270590723
mae;adagrad;10;70;189.40607095592668;9.75991800671735;13.762487818556886;-3943.697467470855
mae;adagrad;10;90;189.29233079943262;9.737472971017873;13.758354945248092;-3941.3286389269365
mae;adagrad;30;10;170.2121748684577;8.99679331833408;13.046538807992627;-3543.9525548341544
mae;adagrad;30;30;156.14566452457066;8.595724010285066;12.495825884053069;-3250.9940057779545
mae;adagrad;30;50;145.01398270592404;8.2820538010433;12.042175165057351;-3019.1581577658576
mae;adagrad;30;70;135.43740738260172;8.004039038950893;11.63775783313099;-2819.709997343673
mae;adagrad;30;90;128.12993304451368;7.786825138559553;11.31944932602791;-2667.519651123083
mae;adagrad;50;10;18.70155624403152;3.1536868001246936;4.324529598006183;-388.4911138870572
mae;adagrad;50;30;7.693942999746779;2.0505574875137436;2.773795774700578;-159.23920095480204
mae;adagrad;50;50;5.634843878651877;1.749035042743294;2.373782609813265;-116.35502597952066
mae;adagrad;50;70;4.8048673455640145;1.6134722254876375;2.192000763130345;-99.06937979295375
mae;adagrad;50;90;4.432142935475503;1.5488320194296286;2.1052655261214683;-91.30677203112103
mae;adagrad;70;10;2.578582757725655;1.157891893321965;1.6057966115687425;-52.70328850985609
mae;adagrad;70;30;2.246613905149836;1.0716914604472465;1.4988708767435026;-45.78948323726927
mae;adagrad;70;50;2.0571389028750984;1.0215131177707595;1.4342729527098732;-41.84335016006652
mae;adagrad;70;70;1.9196006478472536;0.9825154996080464;1.3854965347655164;-38.978886505071294
mae;adagrad;70;90;1.8242278073225058;0.9555695518182249;1.3506397770399425;-36.992587963611044
mae;adagrad;90;10;1.0866274290321187;0.7170210724136457;1.0424142310195688;-21.630829338014095
mae;adagrad;90;30;0.8961076703892259;0.6511991535238668;0.9466296373921672;-17.662937466181454
mae;adagrad;90;50;0.8208632949126379;0.6246581967022955;0.9060150632923483;-16.09584779537048
mae;adagrad;90;70;0.7543646166395677;0.598712901031079;0.8685416608543125;-14.71090186174738
mae;adagrad;90;90;0.7207908208572932;0.5865922691708519;0.8489940051951446;-14.011671543905354
mae;adadelta;10;10;146.0341002175395;12.041431469162102;12.084456968252214;-3040.40380709633
mae;adadelta;10;30;145.2855554874008;12.017753840395992;12.053445793108326;-3024.8141140819293
mae;adadelta;10;50;144.78224757865092;12.001538228715967;12.032549504516943;-3014.3318870710236
mae;adadelta;10;70;144.37667505827167;11.988171055599743;12.015684543889776;-3005.885162602577
mae;adadelta;10;90;144.07074287954666;11.977996685235274;12.002947258050693;-2999.513614507293
mae;adadelta;30;10;138.2555652719865;11.75067046278695;11.758212673360969;-2878.4028377214026
mae;adadelta;30;30;136.44496167841962;11.662118343045986;11.680965785345817;-2840.693996742388
mae;adadelta;30;50;135.33530618454392;11.599737373754433;11.633370370814466;-2817.5835695297615
mae;adadelta;30;70;134.51065678539004;11.547229871024333;11.597872942285152;-2800.4088697961365
mae;adadelta;30;90;133.95340227654282;11.507230727379369;11.57382401268236;-2788.803114823806
mae;adadelta;50;10;130.2187012860503;11.075939966933106;11.411340906574052;-2711.021735036963
mae;adadelta;50;30;130.1445872436662;10.91610889664262;11.408093059037789;-2709.478186438858
mae;adadelta;50;50;130.6253997357992;10.807162607694108;11.429146938236432;-2719.491908863239
mae;adadelta;50;70;131.3376901686757;10.717229535692708;11.460265711085222;-2734.3265456438394
mae;adadelta;50;90;132.10692033220346;10.64877815278868;11.493777461400732;-2750.3470473239367
mae;adadelta;70;10;139.38874047333456;10.069589446663452;11.80630088017981;-2902.0031020867336
mae;adadelta;70;30;144.32299464876726;9.8627968231619;12.013450572119872;-3004.767178504411
