autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
0.0;1.0;0.0;0.0439735099337748;0.004750993377483434;0.06892745010141775
0.0;0.0;1.0;1.022133970836335;1.0967329655822662;1.047250192447949
0.0;0.0;2.0;0.6106345011198825;0.38815091537002716;0.623017588331202
0.0;1.0;0.0;0.0439735099337748;0.004750993377483434;0.06892745010141775
0.0;1.0;1.0;0.043997900342634344;0.004752921821836912;0.0689414376252549
0.0;1.0;2.0;0.04401176703266096;0.0047546537439492114;0.0689539973021812
1.0;0.0;0.0;0.045059824514289915;0.004811536477359117;0.06936523969077824
1.0;0.0;1.0;0.04507389600586481;0.004813160139289804;0.06937694241813921
1.0;0.0;2.0;0.045087550583802365;0.0048154084588304495;0.06939314417743621
1.0;1.0;0.0;0.043998813634125396;0.004752950047910739;0.06894164233546181
1.0;1.0;1.0;0.04399860331053638;0.004752969966557678;0.06894178679551087
1.0;1.0;2.0;0.04491455038097009;0.004826616294476905;0.06947385331530781
2.0;0.0;0.0;0.045073608931153294;0.0048131411903486465;0.06937680585288318
2.0;0.0;1.0;0.045414820605406886;0.004889451837473365;0.0699246153902427
2.0;0.0;2.0;0.04508983111477568;0.004840249984505498;0.06957190513781765
2.0;1.0;0.0;0.04400810979080138;0.004754472211065531;0.06895268095633071
2.0;1.0;1.0;0.04454475278795673;0.004803677817492413;0.06930856958192409
2.0;1.0;2.0;0.04461271886175458;0.004805596233511043;0.06932240787444592
