autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
1.0;1.0;1.0;0.39378201451479916;0.29907671282724163;0.5468790659983628
0.0;0.0;1.0;2.8399025105396754;9.244963558503407;3.040553166531282
0.0;1.0;0.0;0.40203351955307165;0.3083145810055863;0.5552608225019898
0.0;1.0;1.0;0.4019552079243249;0.3080212509442342;0.5549966224620058
1.0;0.0;0.0;0.4015137678771212;0.30986766649430975;0.5566575846014403
1.0;0.0;1.0;0.40181076828421;0.3097904084772968;0.5565881857148036
1.0;1.0;0.0;0.4019678208098681;0.3080191104850809;0.5549946941053409
1.0;1.0;1.0;0.39378201451479916;0.29907671282724163;0.5468790659983628
0.0;0.0;0.0;110.95107911870812;16586.516337688474;128.78864987912743
0.0;0.0;1.0;57.084326551886925;4843.569059094025;69.5957546053926
0.0;1.0;0.0;7.336290816326528;103.70001332142849;10.183320348561587
0.0;1.0;1.0;7.348912611330768;103.83063824842058;10.189732000814377
1.0;0.0;0.0;7.336510322561508;103.60948725598269;10.17887455743427
1.0;0.0;1.0;7.3463634033190095;103.72527000572143;10.184560373708893
1.0;1.0;0.0;7.349892069079551;103.84349672759637;10.190362934046872
1.0;1.0;1.0;7.362013550449459;103.70826104478951;10.183725302893313
