dist;p;q;MAE;MSE;RMSE
ged;2;4;0.14023071260920944;0.03250670163858724;0.18029614981631537
normal;1;2;0.14067341266298708;0.03274308065188588;0.18095049226759755
normal;1;3;0.1404423237709217;0.03267363136153142;0.18075848904417025
normal;1;4;0.1406271349088185;0.03271424266246115;0.18087078996471806
normal;2;1;0.14050277820991222;0.03267921969149507;0.18077394638469083
normal;2;2;0.14054298142423585;0.03271115177849137;0.18086224530976985
normal;2;3;0.14053183098349709;0.032682040046613896;0.18078174699513747
normal;2;4;0.14041486451881433;0.03267502861808451;0.18076235398468485
normal;3;1;0.14059592685222447;0.032712462594892536;0.1808658690712334
normal;3;2;0.1404152294586674;0.03266620228207057;0.18073793813715638
normal;3;3;0.14047991059771686;0.032657574956867115;0.180714069615144
normal;3;4;0.14052990681086486;0.03268577179982659;0.1807920678564925
normal;4;1;0.14050484126352827;0.03267236249875713;0.18075497918109235
normal;4;2;0.14059555073146823;0.032722834171215846;0.1808945388098155
normal;4;3;0.14046581366328778;0.0326979721379271;0.18082580606187573
normal;4;4;0.14027061452390807;0.03263653861586075;0.18065585685457516
t;1;1;107724.57116959935;3305898615413.102;1818213.0280616465
t;1;2;123269.93523803902;4575184425125.503;2138968.074826154
t;1;3;247636.0724223412;10110405612868.639;3179686.4016548297
t;1;4;380623577.74555695;5.675134679293898e+19;7533348975.916287
t;2;1;164090.2071365293;9403527410329.758;3066517.146589883
t;2;2;6281573.222699216;1.4439683002796724e+16;120165232.08814073
t;2;3;45892409.34005303;7.665509728736494e+17;875528967.4668962
t;2;4;46623654.28090502;3.2359912953759795e+17;568857741.036894
t;3;1;85165437.96228689;2.7713684166135444e+18;1664742747.8783455
t;3;2;451773903.6045861;3.997407229513311e+19;6322505223.021418
t;3;3;47272070.499995306;8.624179745545098e+17;928664618.9849756
t;3;4;78175.38707926722;1569815795113.5215;1252922.9007059936
t;4;1;232411.1804026215;6999814567692.751;2645716.2674203655
t;4;2;398012.348037645;62098158954727.23;7880238.508746244
t;4;3;1596104.3399475494;478272153251884.06;21869434.223406058
t;4;4;1005.1226371212955;368234217.22773165;19189.42983070971
studentst;1;1;107724.57116959935;3305898615413.102;1818213.0280616465
studentst;1;2;123269.93523803902;4575184425125.503;2138968.074826154
studentst;1;3;247636.0724223412;10110405612868.639;3179686.4016548297
studentst;1;4;380623577.74555695;5.675134679293898e+19;7533348975.916287
studentst;2;1;164090.2071365293;9403527410329.758;3066517.146589883
studentst;2;2;6281573.222699216;1.4439683002796724e+16;120165232.08814073
studentst;2;3;45892409.34005303;7.665509728736494e+17;875528967.4668962
studentst;2;4;46623654.28090502;3.2359912953759795e+17;568857741.036894
studentst;3;1;85165437.96228689;2.7713684166135444e+18;1664742747.8783455
studentst;3;2;451773903.6045861;3.997407229513311e+19;6322505223.021418
studentst;3;3;47272070.499995306;8.624179745545098e+17;928664618.9849756
studentst;3;4;78175.38707926722;1569815795113.5215;1252922.9007059936
studentst;4;1;232411.1804026215;6999814567692.751;2645716.2674203655
studentst;4;2;398012.348037645;62098158954727.23;7880238.508746244
studentst;4;3;1596104.3399475494;478272153251884.06;21869434.223406058
studentst;4;4;1005.1226371212955;368234217.22773165;19189.42983070971
ged;1;1;0.1405253167612021;0.03262353655028492;0.18061986754032605
ged;1;2;0.14032493886646438;0.03254281723572108;0.180396278331126
ged;1;3;0.14057867208510227;0.032639503245748804;0.18066406185445075
ged;1;4;0.14033644891375643;0.03254748468423061;0.1804092145214058
ged;2;1;0.14036625578859074;0.032642688135292273;0.18067287603647725
ged;2;2;0.1405339474167828;0.03263661927861285;0.18065608010419368
ged;2;3;0.14040212910808025;0.03255045162323343;0.18041743713741593
ged;2;4;0.14023071260920944;0.03250670163858724;0.18029614981631537
ged;3;1;0.14069514399534397;0.032754880842566766;0.18098309546078264
ged;3;2;0.14034078510377784;0.03263387905932091;0.18064849586786186
ged;3;3;0.1404565495715353;0.032579449880324074;0.18049778358839777
ged;3;4;0.1405165169226358;0.03256583678466454;0.1804600697790637
ged;4;1;0.14062332324949575;0.032607715306016985;0.180576065152658
ged;4;2;0.14027774594631787;0.03248283101799174;0.180229939294202
ged;4;3;0.14061787445313345;0.03261897386464735;0.18060723646810875
ged;4;4;0.1403033850659883;0.03261864917316503;0.18060633757751976
gaussian;1;1;0.14062257072020434;0.03273651017031761;0.18093233588918706
gaussian;1;2;0.14067341266298708;0.03274308065188588;0.18095049226759755
gaussian;1;3;0.1404423237709217;0.03267363136153142;0.18075848904417025
gaussian;1;4;0.1406271349088185;0.03271424266246115;0.18087078996471806
gaussian;2;1;0.14050277820991222;0.03267921969149507;0.18077394638469083
gaussian;2;2;0.14054298142423585;0.03271115177849137;0.18086224530976985
gaussian;2;3;0.14053183098349709;0.032682040046613896;0.18078174699513747
gaussian;2;4;0.14041486451881433;0.03267502861808451;0.18076235398468485
gaussian;3;1;0.14059592685222447;0.032712462594892536;0.1808658690712334
gaussian;3;2;0.1404152294586674;0.03266620228207057;0.18073793813715638
gaussian;3;3;0.14047991059771686;0.032657574956867115;0.180714069615144
gaussian;3;4;0.14052990681086486;0.03268577179982659;0.1807920678564925
gaussian;4;1;0.14050484126352827;0.03267236249875713;0.18075497918109235
gaussian;4;2;0.14059555073146823;0.032722834171215846;0.1808945388098155
gaussian;4;3;0.14046581366328778;0.0326979721379271;0.18082580606187573
gaussian;4;4;0.14027061452390807;0.03263653861586075;0.18065585685457516
