p;q;MAE;MSE;RMSE
1.0;1.0;109.46698887589075;11983.47289568513;109.46904994419715
1.0;2.0;109.54881297147901;12001.416538268892;109.55097689326595
1.0;3.0;109.54762312396588;12001.179420596127;109.54989466264277
1.0;4.0;109.51932128180316;11994.97599602424;109.52157776449461
2.0;1.0;109.53418450440378;11998.166885206483;109.53614419545032
2.0;2.0;109.56291519004239;12004.488854663878;109.56499830997068
2.0;3.0;109.55679970296387;12003.15877016835;109.55892829965228
2.0;4.0;109.55755691833556;12003.320101605934;109.5596645741759
3.0;1.0;109.50218155349343;11991.154302887908;109.50412915907741
3.0;2.0;109.53193510775168;11997.679135960836;109.53391774222648
3.0;3.0;109.60471501895582;12013.658897852585;109.60683782434646
3.0;4.0;109.58632742278452;12009.627746044313;109.5884471376628
4.0;1.0;109.52862366946282;11996.931087169185;109.53050299879565
4.0;2.0;109.51500483363888;11993.961486810136;109.51694611707421
4.0;3.0;109.53662863085249;11998.721648499593;109.5386764960194
4.0;4.0;109.57085990701951;12006.222424211432;109.57290917106943
