dist;p;q;MAE;MSE;RMSE
normal;3;3;3.6880969390939287;16.871125279102657;4.107447538204554
normal;1;2;3.7614192237421777;17.173918403141105;4.144142662016006
normal;1;3;3.7804547803090864;17.276938499028397;4.15655368051808
normal;2;1;3.9151397873043927;18.300545270102514;4.277913658560971
normal;2;2;3.8573991084464634;17.870010052296944;4.227293466545343
normal;2;3;3.7421938502660397;17.06054699462839;4.130441501174952
normal;3;1;3.7936923307755968;17.46232500878577;4.178794683731874
normal;3;2;3.857405083635365;17.86728234878029;4.226970824216828
normal;3;3;3.6880969390939287;16.871125279102657;4.107447538204554
t;1;1;3.83852976422119;17.808315136312455;4.219989945048739
t;1;2;3.8765703401483416;18.034814394577094;4.246741620887371
t;1;3;3.75037225159257;16.997804827282355;4.1228394132299595
t;2;1;3.8860940586347215;18.071916481251453;4.251107676976844
t;2;2;3.8659236271681054;17.86282423848696;4.2264434502885475
t;2;3;3.7899572497822933;17.339699703876235;4.164096505110831
t;3;1;3.923763348035966;18.34412235652424;4.283003894058963
t;3;2;3.8659244453463586;17.870208249357997;4.227316909028468
t;3;3;3.799173938473389;17.38363774953634;4.169368986973489
gaussian;1;1;3.89588881409084;18.16353904567728;4.261870369412622
gaussian;1;2;3.7614192237421777;17.173918403141105;4.144142662016006
gaussian;1;3;3.7804547803090864;17.276938499028397;4.15655368051808
gaussian;2;1;3.9151397873043927;18.300545270102514;4.277913658560971
gaussian;2;2;3.8573991084464634;17.870010052296944;4.227293466545343
gaussian;2;3;3.7421938502660397;17.06054699462839;4.130441501174952
gaussian;3;1;3.7936923307755968;17.46232500878577;4.178794683731874
gaussian;3;2;3.857405083635365;17.86728234878029;4.226970824216828
gaussian;3;3;3.6880969390939287;16.871125279102657;4.107447538204554
normal;1;1;181.77690845144872;42562.02846296184;206.3056675492989
normal;1;2;181.31868383533313;42375.074366321875;205.85206913296227
normal;1;3;181.38760206423956;42382.91083878285;205.87110248595565
normal;2;1;181.77702338708505;42562.02260908806;206.30565336191847
normal;2;2;181.31869806776226;42375.07216864488;205.85206379496145
normal;2;3;181.3877356039073;42382.96011846594;205.87122217169144
normal;3;1;180.23060278677863;41860.84823068528;204.5992380989853
normal;3;2;180.22774473951404;41859.8746594289;204.59685886989786
normal;3;3;180.28932670340177;41865.77092001073;204.61126782269525
t;1;1;181.7590325185324;42527.28387980523;206.22144379235937
t;1;2;181.37225371327295;42389.542029004646;205.88720705523363
t;1;3;181.40660280661396;42389.672466428085;205.88752382412122
t;2;1;181.7369168149894;42519.84261969324;206.20340108662913
t;2;2;181.35702316224567;42385.45063668348;205.87727081123717
t;2;3;181.4043181948844;42387.65261666239;205.88261853945414
t;3;1;180.4922098238451;41973.345694792544;204.87397515251308
t;3;2;180.4648619681149;41960.49032160487;204.84259889389432
t;3;3;180.53705087530133;41968.26587918611;204.86157736185208
gaussian;1;1;181.77690845144872;42562.02846296184;206.3056675492989
gaussian;1;2;181.31868383533313;42375.074366321875;205.85206913296227
gaussian;1;3;181.38760206423956;42382.91083878285;205.87110248595565
gaussian;2;1;181.77702338708505;42562.02260908806;206.30565336191847
gaussian;2;2;181.31869806776226;42375.07216864488;205.85206379496145
gaussian;2;3;181.3877356039073;42382.96011846594;205.87122217169144
gaussian;3;1;180.23060278677863;41860.84823068528;204.5992380989853
gaussian;3;2;180.22774473951404;41859.8746594289;204.59685886989786
gaussian;3;3;180.28932670340177;41865.77092001073;204.61126782269525
