dist;p;q;MAE;MSE;RMSE
normal;1;1;0.4313748283748979;0.2659367562255267;0.5156905624747526
normal;1;2;0.4353066002572017;0.26766704110319867;0.517365481167036
normal;1;3;0.43200037543515646;0.2655750400184844;0.5153397326215827
normal;2;1;0.43702785391797544;0.2719207388833158;0.5214601987528059
normal;2;2;0.43352193478876155;0.2701728124328082;0.5197815045120481
normal;2;3;0.4385619290413543;0.2719177756582505;0.5214573574687105
normal;3;1;0.4373323599954838;0.27207442339799115;0.521607537712015
normal;3;2;0.44264281511032016;0.27407965863236405;0.5235261775999019
normal;3;3;0.43756753665216774;0.2717478187343463;0.5212943686002625
t;1;1;0.43621871058961253;0.270161016812005;0.5197701576774152
t;1;2;0.4346307338962622;0.2691542926362152;0.5188008217381842
t;1;3;0.431023172624505;0.26700575591443665;0.5167259969407739
t;2;1;0.43444603030177054;0.27192338504146074;0.5214627360046552
t;2;2;0.4356567350133106;0.27163749581086905;0.5211885415191598
t;2;3;0.42835580721252337;0.2691496466367732;0.5187963440857821
t;3;1;0.43597178311431506;0.27202601552741773;0.5215611330682317
t;3;2;0.4336776951526013;0.27086139992565716;0.5204434646776316
t;3;3;0.43185116676255325;0.2700233816039612;0.5196377407424919
gaussian;1;1;0.4313748283748979;0.2659367562255267;0.5156905624747526
gaussian;1;2;0.4353066002572017;0.26766704110319867;0.517365481167036
gaussian;1;3;0.43200037543515646;0.2655750400184844;0.5153397326215827
gaussian;2;1;0.43702785391797544;0.2719207388833158;0.5214601987528059
gaussian;2;2;0.43352193478876155;0.2701728124328082;0.5197815045120481
gaussian;2;3;0.4385619290413543;0.2719177756582505;0.5214573574687105
gaussian;3;1;0.4373323599954838;0.27207442339799115;0.521607537712015
gaussian;3;2;0.44264281511032016;0.27407965863236405;0.5235261775999019
gaussian;3;3;0.43756753665216774;0.2717478187343463;0.5212943686002625
normal;1;1;3.4884119783187075;15.80660964493365;3.975752714258477
normal;1;2;3.4591877267155944;15.624791590005175;3.9528207131117363
normal;1;3;3.577081226933968;16.279184508295433;4.034747143043221
normal;2;1;3.627050329120983;16.444059521657127;4.055127559233757
normal;2;2;3.538000554746505;16.042961270227337;4.005366558784269
normal;2;3;3.6047629757107327;16.37649187767506;4.046787846882396
normal;3;1;3.730093584565962;16.903946443958162;4.111440920645482
normal;3;2;3.759209185213574;17.12846703404771;4.138655220484996
normal;3;3;3.7620759278771256;17.253103286362517;4.153685506434318
t;1;1;3.437017081323135;15.469332703776855;3.9331072581073676
t;1;2;3.6041228236885776;16.34728873524406;4.043178048916973
t;1;3;3.61717728255466;16.398593639016838;4.0495177044948
t;2;1;3.5700649779846647;16.17359282245488;4.0216405635579715
t;2;2;3.644927962652489;16.516191002201875;4.064011688246218
t;2;3;3.663016257634689;16.58368811802251;4.072307468502656
t;3;1;3.6123802061245995;16.403244121860602;4.050091865854477
t;3;2;3.630856427609912;16.467545947271244;4.058022418281008
t;3;3;3.6750714264657516;16.62603738486243;4.07750381788447
gaussian;1;1;3.4884119783187075;15.80660964493365;3.975752714258477
gaussian;1;2;3.4591877267155944;15.624791590005175;3.9528207131117363
gaussian;1;3;3.577081226933968;16.279184508295433;4.034747143043221
gaussian;2;1;3.627050329120983;16.444059521657127;4.055127559233757
gaussian;2;2;3.538000554746505;16.042961270227337;4.005366558784269
gaussian;2;3;3.6047629757107327;16.37649187767506;4.046787846882396
gaussian;3;1;3.730093584565962;16.903946443958162;4.111440920645482
gaussian;3;2;3.759209185213574;17.12846703404771;4.138655220484996
gaussian;3;3;3.7620759278771256;17.253103286362517;4.153685506434318
