autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;15.0;0.0549882277431516;0.005798556939503003;0.0761482563129518
0.0;0.0;0.0;1.0;0.0;1.0;10.0;0.21592534144612704;0.06649530348103105;0.2578668328440691
0.0;0.0;0.0;1.0;0.0;1.0;15.0;0.26114168287279715;0.09791084434265776;0.3129070857980972
0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.1070963602163358;0.017224066245273055;0.1312404901136576
0.0;0.0;1.0;1.0;0.0;1.0;10.0;0.13037125227740062;0.025820393519819903;0.1606872537565438
0.0;0.0;1.0;1.0;0.0;1.0;15.0;0.15946266723159158;0.036831576339826345;0.19191554481027936
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.055195336972911214;0.005815274967309926;0.07625795019084847
0.0;1.0;0.0;1.0;0.0;1.0;10.0;0.055989622842826;0.0060215047774920955;0.07759835550765297
0.0;1.0;0.0;1.0;0.0;1.0;15.0;0.0549882277431516;0.005798556939503003;0.0761482563129518
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.055172942067534064;0.005822104000312524;0.07630271292891573
0.0;1.0;1.0;1.0;0.0;1.0;10.0;0.055912970747655465;0.006028459260798074;0.07764315334141236
0.0;1.0;1.0;1.0;0.0;1.0;15.0;0.054940209694843756;0.005805769416832536;0.07619559972093229
1.0;0.0;0.0;1.0;0.0;1.0;5.0;0.054871287391779516;0.005829510657238274;0.07635123219201033
1.0;0.0;0.0;1.0;0.0;1.0;10.0;0.0563526629254565;0.006032318863213029;0.07766800411503458
1.0;0.0;0.0;1.0;0.0;1.0;15.0;0.05468572979037945;0.005820781926816758;0.07629404909176572
1.0;0.0;1.0;1.0;0.0;1.0;5.0;0.05487391630861618;0.005850949143646332;0.07649149719835749
1.0;0.0;1.0;1.0;0.0;1.0;10.0;0.05652452576341799;0.006063335036669421;0.07786741960967643
1.0;0.0;1.0;1.0;0.0;1.0;15.0;0.05455945463269519;0.00580734646079076;0.07620594767333295
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.05516725496328196;0.005820487891039832;0.07629212207718325
1.0;1.0;0.0;1.0;0.0;1.0;10.0;0.055923949220336604;0.006027607634894221;0.07763766891718363
1.0;1.0;0.0;1.0;0.0;1.0;15.0;0.054948637515044585;0.005804211797105013;0.07618537784315972
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.05702769302925686;0.005989162233804643;0.07738967782465982
1.0;1.0;1.0;1.0;0.0;1.0;10.0;0.05834001613167728;0.006195983768961642;0.07871457151608997
1.0;1.0;1.0;1.0;0.0;1.0;15.0;0.05677194312196471;0.005970492957345995;0.07726896503348543
