autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;5.0;10.458208889974776;213.13868571189593;14.599270040378592
0.0;0.0;1.0;1.0;0.0;1.0;5.0;589.1351138810096;1508811.4163070624;1228.3368496902885
0.0;1.0;0.0;1.0;0.0;1.0;5.0;10.458208889974776;213.13868571189593;14.599270040378592
0.0;1.0;0.0;1.0;0.0;1.0;12.0;10.507453824979892;216.39581389845137;14.710398155673808
0.0;1.0;1.0;1.0;0.0;1.0;5.0;10.45687016921852;213.5377648209537;14.612931424630505
0.0;1.0;1.0;1.0;0.0;1.0;12.0;10.508953617495452;216.86140753475607;14.726214976522517
1.0;0.0;0.0;1.0;0.0;1.0;5.0;3368.9951643351897;2056437434.9309576;45347.95954539694
1.0;0.0;0.0;1.0;0.0;1.0;12.0;44.17111940618454;203585.02979146838;451.20397803151997
1.0;0.0;1.0;1.0;0.0;1.0;5.0;36.009487370846934;118455.68145849009;344.1739116471353
1.0;0.0;1.0;1.0;0.0;1.0;12.0;2354.242125139064;1938337396.424075;44026.55331074731
1.0;1.0;0.0;1.0;0.0;1.0;5.0;10.460787541833996;213.58614298137067;14.61458665106101
1.0;1.0;0.0;1.0;0.0;1.0;12.0;10.508543115792456;216.8124502451423;14.724552633107136
1.0;1.0;1.0;1.0;0.0;1.0;5.0;10.515850297740226;215.6831919430286;14.686156472781725
1.0;1.0;1.0;1.0;0.0;1.0;12.0;10.524378291165325;217.08772260021388;14.733897060866616
