autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.055195336972911214;0.005815274967309926;0.07625795019084847
0.0;0.0;0.0;1.0;0.0;1.0;12.0;0.23409890332664346;0.07928141562879869;0.2815695573544816
0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.1070963602163358;0.017224066245273055;0.1312404901136576
0.0;0.0;1.0;1.0;0.0;1.0;12.0;0.1448836844661446;0.0310470476119142;0.17620172420244418
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.055195336972911214;0.005815274967309926;0.07625795019084847
0.0;1.0;0.0;1.0;0.0;1.0;12.0;0.05661520769157389;0.006092780280425321;0.07805626355665073
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.055172942067534064;0.005822104000312524;0.07630271292891573
0.0;1.0;1.0;1.0;0.0;1.0;12.0;0.05630555020828711;0.006076073427359466;0.07794917207616425
1.0;0.0;0.0;1.0;0.0;1.0;5.0;0.054871287391779516;0.005829510657238274;0.07635123219201033
1.0;0.0;0.0;1.0;0.0;1.0;12.0;0.05527599642791829;0.006121835230204302;0.0782421576274856
1.0;0.0;1.0;1.0;0.0;1.0;5.0;0.05487391630861618;0.005850949143646332;0.07649149719835749
1.0;0.0;1.0;1.0;0.0;1.0;12.0;0.054857014669481924;0.005895595246389431;0.0767827796214062
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.05516725496328196;0.005820487891039832;0.07629212207718325
1.0;1.0;0.0;1.0;0.0;1.0;12.0;0.05653584368672043;0.006090951443103299;0.07804454781151146
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.05702769302925686;0.005989162233804643;0.07738967782465982
1.0;1.0;1.0;1.0;0.0;1.0;12.0;0.05784632324033109;0.006278922449409407;0.07923965200207159
0.0;0.0;0.0;1.0;0.0;1.0;5.0;0.6412420181969755;0.6782922466517374;0.8235849966164618
0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.9637832589468964;69.12178112216635;8.313950993490781
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.28249371450554117;0.15469978375665044;0.3933189338903614
0.0;1.0;0.0;1.0;0.0;1.0;12.0;0.2830089858591758;0.1559642816614858;0.39492313386466205
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.28332621481464565;0.1549770009063235;0.39367118373881965
0.0;1.0;1.0;1.0;0.0;1.0;12.0;0.2837824935840917;0.15618655147520488;0.39520444263090576
1.0;0.0;0.0;1.0;0.0;1.0;5.0;363.8325887648201;47071666.59313209;6860.879432924914
1.0;0.0;1.0;1.0;0.0;1.0;5.0;1.143524674863868;133.42438712961334;11.550947455928165
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.283239648067534;0.1549380073420664;0.39362165507256636
1.0;1.0;0.0;1.0;0.0;1.0;12.0;0.28370616492638756;0.15615731663347007;0.39516745391475505
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.2840716846074727;0.15456202472143493;0.39314377105765635
1.0;1.0;1.0;1.0;0.0;1.0;12.0;0.2856003828962594;0.15548184084736716;0.3943118573507106
