up;down;class
5529.253072368054;-5528.253072368054;1
5515.850957862386;-5514.850957862386;1
5535.311514172529;-5534.311514172529;1
5549.708813930947;-5548.708813930947;1
5555.292226846553;-5554.292226846553;1
5556.658374758038;-5555.658374758038;1
5556.503575531614;-5555.503575531614;1
5560.0231124856655;-5559.0231124856655;1
5469.747214600354;-5468.747214600354;1
5467.779928038247;-5466.779928038247;1
5523.19736443395;-5522.19736443395;1
5438.163806813511;-5437.163806813511;1
5449.487121065896;-5448.487121065896;1
5568.409782792739;-5567.409782792739;1
5555.053928311014;-5554.053928311014;1
5546.688881286281;-5545.688881286281;1
5533.64721477556;-5532.64721477556;1
5516.188726934861;-5515.188726934861;1
5525.862128550857;-5524.862128550857;1
5524.885292014208;-5523.885292014208;1
5494.198726003048;-5493.198726003048;1
5455.939940471902;-5454.939940471902;1
5435.031714590294;-5434.031714590294;1
5425.505496093998;-5424.505496093998;1
5394.61860278382;-5393.61860278382;1
5378.604152631081;-5377.604152631081;1
5339.053135968099;-5338.053135968099;1
5360.841076637197;-5359.841076637197;1
5367.308358880193;-5366.308358880193;1
5386.230031673702;-5385.230031673702;1
5420.67221138223;-5419.67221138223;1
5407.453788419665;-5406.453788419665;1
5390.257911506887;-5389.257911506887;1
5347.955700795455;-5346.955700795455;1
5323.465916463513;-5322.465916463513;1
5337.379675704692;-5336.379675704692;1
5332.675847948728;-5331.675847948728;1
5315.28112874084;-5314.28112874084;1
5287.255455547082;-5286.255455547082;1
5257.08383978441;-5256.08383978441;1
5258.2652287259825;-5257.2652287259825;1
5275.07708087101;-5274.07708087101;1
5288.529921899402;-5287.529921899402;1
5289.871863017719;-5288.871863017719;1
5299.520692508659;-5298.520692508659;1
5299.574688839404;-5298.574688839404;1
5276.231384974176;-5275.231384974176;1
5255.09484808995;-5254.09484808995;1
5232.9779401916285;-5231.9779401916285;1
5235.829328874078;-5234.829328874078;1
5222.4576509728295;-5221.4576509728295;1
5232.303522268856;-5231.303522268856;1
5234.119883258605;-5233.119883258605;1
5240.890568539135;-5239.890568539135;1
5250.087978281364;-5249.087978281364;1
5247.557236401996;-5246.557236401996;1
5251.819415648447;-5250.819415648447;1
5271.815771233797;-5270.815771233797;1
5303.022515953421;-5302.022515953421;1
5334.641292912136;-5333.641292912136;1
5326.249593083537;-5325.249593083537;1
5343.35246669364;-5342.35246669364;1
5326.060977270428;-5325.060977270428;1
5331.67834233409;-5330.67834233409;1
5371.446614154583;-5370.446614154583;1
5348.801949143576;-5347.801949143576;1
5342.933682238817;-5341.933682238817;1
5400.8575727034195;-5399.8575727034195;1
5398.656678659898;-5397.656678659898;1
5356.812983959006;-5355.812983959006;1
5347.7337167578735;-5346.7337167578735;1
5384.1410663348;-5383.1410663348;1
5341.528824569127;-5340.528824569127;1
5332.1590294457465;-5331.1590294457465;1
5332.959908565962;-5331.959908565962;1
5337.860036464465;-5336.860036464465;1
5355.645444600143;-5354.645444600143;1
5409.667604625323;-5408.667604625323;1
5398.51753224294;-5397.51753224294;1
5392.5495942594525;-5391.5495942594525;1
5389.19233644523;-5388.19233644523;1
5403.314854310768;-5402.314854310768;1
5403.349027767639;-5402.349027767639;1
5418.901818317592;-5417.901818317592;1
5410.918683106671;-5409.918683106671;1
5389.231457965582;-5388.231457965582;1
5418.5412136545465;-5417.5412136545465;1
5385.20632708526;-5384.20632708526;1
5350.638088160047;-5349.638088160047;1
5360.559232293547;-5359.559232293547;1
5352.653970783711;-5351.653970783711;1
5329.894938226259;-5328.894938226259;1
5281.069493191217;-5280.069493191217;1
5249.466133040858;-5248.466133040858;1
5255.1195517281485;-5254.1195517281485;1
5217.961083924792;-5216.961083924792;1
5228.265158094667;-5227.265158094667;1
5247.873384490819;-5246.873384490819;1
5247.959881188135;-5246.959881188135;1
5268.128009932481;-5267.128009932481;1
5262.377850422818;-5261.377850422818;1
5269.002698413087;-5268.002698413087;1
5306.897816896382;-5305.897816896382;1
5355.909436156594;-5354.909436156594;1
5372.235034075675;-5371.235034075675;1
5347.478656288382;-5346.478656288382;1
5337.612854151243;-5336.612854151243;1
5325.155813593955;-5324.155813593955;1
5312.650814694657;-5311.650814694657;1
5325.024222727506;-5324.024222727506;1
5324.015656641813;-5323.015656641813;1
5360.970149508491;-5359.970149508491;1
5321.356863407764;-5320.356863407764;1
5316.1845860682915;-5315.1845860682915;1
5331.648929760803;-5330.648929760803;1
5369.1707803118015;-5368.1707803118015;1
5402.58282913887;-5401.58282913887;1
5349.299023678145;-5348.299023678145;1
5322.252892397842;-5321.252892397842;1
5302.333093205119;-5301.333093205119;1
5304.7184232228465;-5303.7184232228465;1
5291.094989774256;-5290.094989774256;1
5337.770830645625;-5336.770830645625;1
5330.318357061517;-5329.318357061517;1
5312.903524869188;-5311.903524869188;1
5288.228023925672;-5287.228023925672;1
5288.960652536364;-5287.960652536364;1
5267.455394593754;-5266.455394593754;1
5268.9205848798765;-5267.9205848798765;1
5261.438253844525;-5260.438253844525;1
5248.696507235187;-5247.696507235187;1
5244.514820045564;-5243.514820045564;1
5239.374833515003;-5238.374833515003;1
5269.002342412645;-5268.002342412645;1
5293.103694766821;-5292.103694766821;1
5320.182978000961;-5319.182978000961;1
5347.933874278819;-5346.933874278819;1
5365.233528643494;-5364.233528643494;1
5399.553639334524;-5398.553639334524;1
5417.336271849278;-5416.336271849278;1
5418.8046091018805;-5417.8046091018805;1
5431.202833830966;-5430.202833830966;1
5442.952431519091;-5441.952431519091;1
5351.2926099615;-5350.2926099615;1
5349.18800593174;-5348.18800593174;1
5420.578399074449;-5419.578399074449;1
5392.593073153444;-5391.593073153444;1
5386.83263251605;-5385.83263251605;1
