up;down;class
116.72027857607196;-115.72027857607196;1
116.7936856577747;-115.7936856577747;1
117.64769652444414;-116.64769652444414;1
117.19045661841224;-116.19045661841224;1
117.0775544482934;-116.0775544482934;1
116.98616402746379;-115.98616402746379;1
116.75529409980449;-115.75529409980449;1
117.37728123861467;-116.37728123861467;1
117.16179609756455;-116.16179609756455;1
117.21869696880498;-116.21869696880498;1
118.60543064574891;-117.60543064574891;1
118.7279564606224;-117.7279564606224;1
118.14936641188746;-117.14936641188746;1
118.88156636430278;-117.88156636430278;1
118.97580966218578;-117.97580966218578;1
119.69112362699015;-118.69112362699015;1
118.77380551557849;-117.77380551557849;1
118.3047142388492;-117.3047142388492;1
117.36526970719149;-116.36526970719149;1
117.6686329643812;-116.6686329643812;1
118.65749013483169;-117.65749013483169;1
119.82261775813402;-118.82261775813402;1
120.23954547099368;-119.23954547099368;1
120.57158713658593;-119.57158713658593;1
120.69028798440883;-119.69028798440883;1
120.9320366680013;-119.9320366680013;1
121.33926925322952;-120.33926925322952;1
121.43710030964235;-120.43710030964235;1
121.30238497508469;-120.30238497508469;1
120.62977123781059;-119.62977123781059;1
121.0422507786945;-120.0422507786945;1
120.98842399242753;-119.98842399242753;1
120.31357848191254;-119.31357848191254;1
120.12165955034477;-119.12165955034477;1
119.85478091163355;-118.85478091163355;1
120.07484882640078;-119.07484882640078;1
120.32518860965715;-119.32518860965715;1
120.73012618067752;-119.73012618067752;1
120.4376590056057;-119.4376590056057;1
120.70089842573398;-119.70089842573398;1
120.9710752363756;-119.9710752363756;1
121.35888335095889;-120.35888335095889;1
120.42885483929217;-119.42885483929217;1
120.5481264031955;-119.5481264031955;1
120.93099149658167;-119.93099149658167;1
120.54388080464892;-119.54388080464892;1
121.70101680059824;-120.70101680059824;1
121.89361082413646;-120.89361082413646;1
121.34669977033926;-120.34669977033926;1
120.78298715773833;-119.78298715773833;1
121.93109666013677;-120.93109666013677;1
122.03255427076036;-121.03255427076036;1
121.74756069691934;-120.74756069691934;1
121.05614947235934;-120.05614947235934;1
120.32071232787845;-119.32071232787845;1
120.37970865401805;-119.37970865401805;1
120.48718121888395;-119.48718121888395;1
120.70323698675028;-119.70323698675028;1
121.40501291203059;-120.40501291203059;1
121.25067629558237;-120.25067629558237;1
121.06639934772804;-120.06639934772804;1
120.80778780802467;-119.80778780802467;1
120.74705880955959;-119.74705880955959;1
120.73961835852197;-119.73961835852197;1
120.66163402532392;-119.66163402532392;1
120.7942055884612;-119.7942055884612;1
121.01142250441332;-120.01142250441332;1
121.14539797087127;-120.14539797087127;1
120.63719563325307;-119.63719563325307;1
120.89298163681758;-119.89298163681758;1
120.31785768608053;-119.31785768608053;1
120.34458065986102;-119.34458065986102;1
120.64269764945817;-119.64269764945817;1
120.47782130740643;-119.47782130740643;1
120.55809352768486;-119.55809352768486;1
120.18692195516806;-119.18692195516806;1
120.24376603169458;-119.24376603169458;1
121.00821384410058;-120.00821384410058;1
120.2739949504361;-119.2739949504361;1
121.03940206324557;-120.03940206324557;1
120.31969235960217;-119.31969235960217;1
119.85075689699332;-118.85075689699332;1
117.78742933616074;-116.78742933616074;1
118.41722676959054;-117.41722676959054;1
118.65420361659541;-117.65420361659541;1
119.66819099394165;-118.66819099394165;1
119.56438425198321;-118.56438425198321;1
120.0289311388936;-119.0289311388936;1
119.28435385297496;-118.28435385297496;1
119.33520354394899;-118.33520354394899;1
